,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
17993,run,run,run,run,run,run,run
17994,-0.29577303,0.0061941147,0.091525316,0.04885254,-0.10301514,-0.033984374,94.0
17995,-0.23990202,0.0047478676,0.07336664,0.04885254,-0.10301514,-0.033984374,94.0
17996,-0.23990202,0.0047478676,0.07336664,-0.007434082,-0.013806152,-0.028674318,94.0
17997,-0.23990202,0.0047478676,0.07336664,0.0031860352,-0.03186035,-0.057348635,94.0
17998,-0.19895267,0.002418995,0.058351517,0.0031860352,-0.03186035,-0.057348635,94.0
17999,-0.58460164,-2.0088196,-0.261168,0.0031860352,-0.03186035,-0.057348635,94.0
18000,-0.58460164,-2.0088196,-0.261168,0.015930176,-0.06265869,-0.06478272,94.0
18001,-0.5147152,-1.689075,-0.28057742,0.015930176,-0.06265869,-0.06478272,94.0
18002,-0.5147152,-1.689075,-0.28057742,0.029736329,-0.06796875,-0.047790527,94.0
18003,-0.35553432,-1.4447536,-0.2006582,0.029736329,-0.06796875,-0.047790527,94.0
18004,-0.35553432,-1.4447536,-0.2006582,0.032922365,-0.060534667,-0.015930176,94.0
18005,-0.19790411,-1.1817307,-0.072916746,0.032922365,-0.060534667,-0.015930176,94.0
18006,-0.19790411,-1.1817307,-0.072916746,0.04460449,-0.039294433,-0.016992187,94.0
18007,-0.10864067,-0.9341788,0.032145143,0.04460449,-0.039294433,-0.016992187,94.0
18008,-0.10864067,-0.9341788,0.032145143,0.052038576,-0.02442627,-0.02442627,94.0
18009,-2.1220322,-3.888017,-0.845341,0.052038576,-0.02442627,-0.02442627,94.0
18010,-2.1220322,-3.888017,-0.845341,0.052038576,-0.022302246,-0.045666505,94.0
18011,-1.7608582,-3.0651133,-0.7102084,0.052038576,-0.022302246,-0.045666505,94.0
18012,-1.7608582,-3.0651133,-0.7102084,0.0180542,-0.03717041,-0.05522461,94.0
18013,-1.4447949,-2.4402986,-0.6051418,0.0180542,-0.03717041,-0.05522461,94.0
18014,-1.4447949,-2.4402986,-0.6051418,0.0010620117,-0.03717041,-0.032922365,94.0
18015,-1.1571909,-1.982439,-0.50199676,0.0010620117,-0.03717041,-0.032922365,94.0
18016,-1.1571909,-1.982439,-0.50199676,0.0063720704,-0.04141846,-0.015930176,94.0
18017,-0.9377401,-1.5556656,-0.40632153,0.0063720704,-0.04141846,-0.015930176,94.0
18018,-0.9377401,-1.5556656,-0.40632153,-0.0010620117,-0.06796875,-0.013806152,94.0
18019,-0.8040007,-1.2000257,-0.35237655,-0.0010620117,-0.06796875,-0.013806152,94.0
18020,-0.8040007,-1.2000257,-0.35237655,0.03717041,-0.093457036,-0.0063720704,94.0
18021,-0.7516234,-1.0114244,-0.34547547,0.03717041,-0.093457036,-0.0063720704,94.0
18022,-0.7516234,-1.0114244,-0.34547547,0.121069334,-0.1083252,0.0,94.0
18023,-0.7516234,-1.0114244,-0.34547547,0.27293703,-0.11257324,0.04248047,94.0
18024,-0.7078295,-1.0180874,-0.43156835,0.27293703,-0.11257324,0.04248047,94.0
18025,-0.4792641,-1.0530562,-0.4509554,0.27293703,-0.11257324,0.04248047,94.0
18026,-0.4792641,-1.0530562,-0.4509554,0.29417726,-0.11044922,0.18160401,94.0
18027,-0.238111,-0.8935559,-0.2800026,0.29417726,-0.11044922,0.18160401,94.0
18028,-0.238111,-0.8935559,-0.2800026,0.44498292,-0.04248047,0.29417726,94.0
18029,-0.23528862,-0.59126073,-0.12461243,0.44498292,-0.04248047,0.29417726,94.0
18030,-0.23528862,-0.59126073,-0.12461243,0.3982544,-0.04885254,0.30161133,94.0
18031,-0.32999116,-0.16872393,-0.099055186,0.3982544,-0.04885254,0.30161133,94.0
18032,-0.32999116,-0.16872393,-0.099055186,0.2899292,-0.09664307,0.2166504,94.0
18033,-0.38871217,0.17656872,-0.08195411,0.2899292,-0.09664307,0.2166504,94.0
18034,-0.38871217,0.17656872,-0.08195411,0.06796875,-0.15717773,0.12000733,94.0
18035,-0.33594534,0.1958204,-0.054772273,0.06796875,-0.15717773,0.12000733,94.0
18036,-0.33594534,0.1958204,-0.054772273,0.09133301,-0.16779785,0.107263185,94.0
18037,-0.22394425,0.02668807,-0.037213817,0.09133301,-0.16779785,0.107263185,94.0
18038,-0.22394425,0.02668807,-0.037213817,0.07646485,-0.15505372,0.11469727,94.0
18039,-0.12354016,-0.14764369,-0.001719296,0.07646485,-0.15505372,0.11469727,94.0
18040,-0.12354016,-0.14764369,-0.001719296,0.033984374,-0.14655761,0.15080567,94.0
18041,-0.11882725,-0.2895261,0.0669229,0.033984374,-0.14655761,0.15080567,94.0
18042,-0.11882725,-0.2895261,0.0669229,0.027612304,-0.14549561,0.18797608,94.0
18043,-0.1835506,-0.34265605,0.15811595,0.027612304,-0.14549561,0.18797608,94.0
18044,-0.1835506,-0.34265605,0.15811595,0.025488282,-0.18054199,0.22833252,94.0
