,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
20523,run,run,run,run,run,run,run
20524,-2.5197792,2.5643768,-7.1250076,0.057348635,-0.0063720704,-0.039294433,113.0
20525,-2.0172393,2.067955,-5.6966133,0.057348635,-0.0063720704,-0.039294433,113.0
20526,-2.0172393,2.067955,-5.6966133,-0.03717041,0.016992187,-0.115759276,113.0
20527,-1.6146584,1.6598663,-4.556961,-0.03717041,0.016992187,-0.115759276,113.0
20528,-1.6146584,1.6598663,-4.556961,0.035046387,0.0021240234,-0.043542482,113.0
20529,-1.6146584,1.6598663,-4.556961,0.10938721,-0.0021240234,0.015930176,113.0
20530,-2.4559114,-1.2861176,3.5725098,0.10938721,-0.0021240234,0.015930176,113.0
20531,-2.036702,-0.95770264,2.948021,0.10938721,-0.0021240234,0.015930176,113.0
20532,-2.036702,-0.95770264,2.948021,-0.007434082,-0.014868164,0.039294433,113.0
20533,-2.036702,-0.95770264,2.948021,-0.13381349,-0.039294433,0.0180542,113.0
20534,-1.7032019,-0.72216034,2.4564743,-0.13381349,-0.039294433,0.0180542,113.0
20535,-1.3623052,-0.7002411,1.9460869,-0.13381349,-0.039294433,0.0180542,113.0
20536,-1.3623052,-0.7002411,1.9460869,-0.0361084,-0.07434082,0.0180542,113.0
20537,-1.0168462,-0.72470856,1.5194206,-0.0361084,-0.07434082,0.0180542,113.0
20538,-1.0168462,-0.72470856,1.5194206,0.052038576,-0.06584473,0.0180542,113.0
20539,-0.7285526,-0.60227966,1.2673302,0.052038576,-0.06584473,0.0180542,113.0
20540,-0.7285526,-0.60227966,1.2673302,0.08071289,-0.04991455,-0.007434082,113.0
20541,-0.5276297,-0.33275604,1.1315384,0.08071289,-0.04991455,-0.007434082,113.0
20542,-0.5276297,-0.33275604,1.1315384,0.03717041,-0.014868164,-0.05628662,113.0
20543,-0.5276297,-0.33275604,1.1315384,-0.08283692,0.028674318,-0.11363526,113.0
20544,-0.4116789,-0.13854218,0.9859543,-0.08283692,0.028674318,-0.11363526,113.0
20545,-0.3247655,-0.16736603,0.7430725,-0.08283692,0.028674318,-0.11363526,113.0
20546,-0.3247655,-0.16736603,0.7430725,-0.053100586,0.047790527,-0.093457036,113.0
20547,-0.24864298,-0.2155304,0.49339294,-0.053100586,0.047790527,-0.093457036,113.0
20548,-0.24864298,-0.2155304,0.49339294,-0.045666505,0.06796875,-0.025488282,113.0
20549,-0.24864298,-0.2155304,0.49339294,0.028674318,0.0637207,0.019116212,113.0
20550,-0.19795004,-0.19078827,0.32715988,0.028674318,0.0637207,0.019116212,113.0
20551,-0.22071356,-0.1753006,0.24247742,0.028674318,0.0637207,0.019116212,113.0
20552,-0.22071356,-0.1753006,0.24247742,0.09239502,0.028674318,0.18479005,113.0
20553,-0.28244242,-0.24900818,0.21355057,0.09239502,0.028674318,0.18479005,113.0
20554,-0.28244242,-0.24900818,0.21355057,0.27293703,-0.027612304,0.4725952,113.0
20555,-0.14207943,-0.58940125,0.120121,0.27293703,-0.027612304,0.4725952,113.0
20556,-0.14207943,-0.58940125,0.120121,0.6711914,-0.13168946,0.06478272,113.0
20557,-0.031583473,-0.6668472,-0.0357399,0.6711914,-0.13168946,0.06478272,113.0
20558,-0.031583473,-0.6668472,-0.0357399,0.4343628,-0.1539917,0.1709839,113.0
20559,-0.1442121,-0.16382599,-0.101566315,0.4343628,-0.1539917,0.1709839,113.0
20560,-0.1442121,-0.16382599,-0.101566315,0.24320069,-0.13381349,0.22514649,113.0
20561,-0.1926768,0.41984558,-0.04140854,0.24320069,-0.13381349,0.22514649,113.0
20562,-0.1926768,0.41984558,-0.04140854,-0.070092775,-0.13062744,0.17735596,113.0
20563,-0.21686116,0.5799637,0.009304047,-0.070092775,-0.13062744,0.17735596,113.0
20564,-0.21686116,0.5799637,0.009304047,-0.3334717,-0.10620117,0.10089111,113.0
20565,-0.2611232,0.25489807,0.024253845,-0.3334717,-0.10620117,0.10089111,113.0
20566,-0.2611232,0.25489807,0.024253845,-0.06796875,-0.16779785,-0.046728518,113.0
20567,-0.19019741,-0.1350708,0.042060852,-0.06796875,-0.16779785,-0.046728518,113.0
20568,-0.19019741,-0.1350708,0.042060852,0.07965088,-0.18372802,-0.023364259,113.0
20569,-0.07905001,-0.22707367,0.036712646,0.07965088,-0.18372802,-0.023364259,113.0
20570,-0.07905001,-0.22707367,0.036712646,0.09451904,-0.15717773,-0.0010620117,113.0
20571,0.0046921223,-0.10824585,0.012744904,0.09451904,-0.15717773,-0.0010620117,113.0
20572,0.0046921223,-0.10824585,0.012744904,0.2177124,-0.17523193,-0.058410645,113.0
20573,0.10551152,0.11755371,0.025505066,0.2177124,-0.17523193,-0.058410645,113.0
20574,0.10551152,0.11755371,0.025505066,0.15505372,-0.16142578,-0.095581055,113.0
20575,0.10551152,0.11755371,0.025505066,0.009558106,-0.13168946,-0.06265869,113.0
20576,0.18086918,0.233078,0.07333374,0.009558106,-0.13168946,-0.06265869,113.0
20577,0.12028128,0.05013275,0.07584,0.009558106,-0.13168946,-0.06265869,113.0
20578,0.12028128,0.05013275,0.07584,0.0021240234,-0.124255374,-0.009558106,113.0
20579,-0.069363356,-0.18112183,0.00289917,0.0021240234,-0.124255374,-0.009558106,113.0
20580,-0.069363356,-0.18112183,0.00289917,0.05628662,-0.13699952,0.052038576,113.0
20581,-0.251206,-0.1912384,-0.12181473,0.05628662,-0.13699952,0.052038576,113.0
20582,-0.251206,-0.1912384,-0.12181473,0.081774905,-0.14124756,0.08920898,113.0
20583,-0.3394414,0.030654907,-0.24853897,0.081774905,-0.14124756,0.08920898,113.0
20584,-0.3394414,0.030654907,-0.24853897,0.07115479,-0.13912354,0.07965088,113.0
20585,-0.33306435,0.24806976,-0.31316376,0.07115479,-0.13912354,0.07965088,113.0
20586,-0.33306435,0.24806976,-0.31316376,-0.011682129,-0.13168946,0.07540283,113.0
20587,-0.26684213,0.19833374,-0.301239,-0.011682129,-0.13168946,0.07540283,113.0
20588,-0.26684213,0.19833374,-0.301239,-0.09451904,-0.1263794,0.043542482,113.0
20589,-0.19035357,-0.022315979,-0.2467308,-0.09451904,-0.1263794,0.043542482,113.0
20590,-0.19035357,-0.022315979,-0.2467308,-0.15505372,-0.11151123,0.038232423,113.0
20591,-0.16129166,-0.16142273,-0.21041107,-0.15505372,-0.11151123,0.038232423,113.0
20592,-0.16129166,-0.16142273,-0.21041107,-0.18054199,-0.08496094,0.07434082,113.0
20593,-0.16129166,-0.16142273,-0.21041107,-0.18797608,-0.07646485,0.0998291,113.0
20594,-0.21316421,-0.13864899,-0.259964,-0.18797608,-0.07646485,0.0998291,113.0
20595,-0.2729728,-0.04181671,-0.3664322,-0.18797608,-0.07646485,0.0998291,113.0
20596,-0.2729728,-0.04181671,-0.3664322,-0.24213867,-0.06796875,0.10195313,113.0
20597,-0.25224054,-0.022323608,-0.450531,-0.24213867,-0.06796875,0.10195313,113.0
