,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
18010,run,run,run,run,run,run,run
18011,-0.13102245,-0.1007843,0.6170502,0.08496094,-0.03186035,-0.081774905,75.0
18012,-1.2991171,-2.0426388,-7.405884,0.08496094,-0.03186035,-0.081774905,75.0
18013,-1.2991171,-2.0426388,-7.405884,0.083898924,-0.033984374,-0.093457036,75.0
18014,-1.0468988,-1.6266041,-5.941086,0.083898924,-0.033984374,-0.093457036,75.0
18015,-1.0468988,-1.6266041,-5.941086,0.1083252,-0.047790527,-0.07646485,75.0
18016,-1.0468988,-1.6266041,-5.941086,0.04885254,-0.053100586,-0.06584473,75.0
18017,-0.855073,-1.0388317,2.875229,0.04885254,-0.053100586,-0.06584473,75.0
18018,-0.6684952,-0.7882309,2.301941,0.04885254,-0.053100586,-0.06584473,75.0
18019,-0.6684952,-0.7882309,2.301941,-0.0063720704,-0.046728518,-0.081774905,75.0
18020,-0.5326357,-0.70446205,1.9330139,-0.0063720704,-0.046728518,-0.081774905,75.0
18021,-0.5326357,-0.70446205,1.9330139,0.015930176,-0.05628662,-0.107263185,75.0
18022,-0.44949722,-0.6847496,1.6179657,0.015930176,-0.05628662,-0.107263185,75.0
18023,-0.44949722,-0.6847496,1.6179657,0.057348635,-0.06478272,-0.1274414,75.0
18024,-0.36018372,-0.59698105,1.3164368,0.057348635,-0.06478272,-0.1274414,75.0
18025,-0.36018372,-0.59698105,1.3164368,0.1274414,-0.06903076,-0.12531738,75.0
18026,-0.28524113,-0.34644508,1.0369568,0.1274414,-0.06903076,-0.12531738,75.0
18027,-0.28524113,-0.34644508,1.0369568,0.09664307,-0.06265869,-0.12850343,75.0
18028,-0.23034096,-0.048908234,0.8152313,0.09664307,-0.06265869,-0.12850343,75.0
18029,-0.23034096,-0.048908234,0.8152313,0.060534667,-0.05628662,-0.09133301,75.0
18030,-0.17941475,0.044319153,0.66322327,0.060534667,-0.05628662,-0.09133301,75.0
18031,-0.17941475,0.044319153,0.66322327,0.008496094,-0.04460449,-0.06265869,75.0
18032,-0.17695427,-0.047101974,0.5033417,0.008496094,-0.04460449,-0.06265869,75.0
18033,-0.17695427,-0.047101974,0.5033417,0.06796875,-0.06159668,-0.022302246,75.0
18034,-0.17695427,-0.047101974,0.5033417,0.15717773,-0.10195313,-0.083898924,75.0
18035,-0.18526459,-0.10372162,0.304245,0.15717773,-0.10195313,-0.083898924,75.0
18036,-0.12709332,-0.14183998,-0.03227234,0.15717773,-0.10195313,-0.083898924,75.0
18037,-0.12709332,-0.14183998,-0.03227234,0.18054199,-0.12319336,-0.004248047,75.0
18038,-0.046523094,-0.11704826,-0.39363098,0.18054199,-0.12319336,-0.004248047,75.0
18039,-0.046523094,-0.11704826,-0.39363098,0.22833252,-0.15505372,-0.004248047,75.0
18040,0.047901154,-0.06945801,-0.4069519,0.22833252,-0.15505372,-0.004248047,75.0
18041,0.047901154,-0.06945801,-0.4069519,0.30161133,-0.2538208,0.043542482,75.0
18042,0.047901154,-0.06945801,-0.4069519,0.35152587,-0.23364258,-0.016992187,75.0
18043,0.08529377,-0.10079193,-0.12176514,0.35152587,-0.23364258,-0.016992187,75.0
18044,0.09434605,-0.18899536,0.17486572,0.35152587,-0.23364258,-0.016992187,75.0
18045,0.09434605,-0.18899536,0.17486572,0.5012695,-0.20709229,0.03079834,75.0
