,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
40528,type,type,type,type,type,type,type
40529,1.7852094,1.8316758,0.15802829,0.021240234,0.16248779,0.04991455,103.0
40530,1.7852094,1.8316758,0.15802829,-0.11363526,0.2538208,0.081774905,103.0
40531,1.4071226,1.3905238,-0.018743385,-0.11363526,0.2538208,0.081774905,103.0
40532,1.4071226,1.3905238,-0.018743385,-0.10407715,0.25700685,0.11469727,103.0
40533,1.1663353,1.054106,-0.24028768,-0.10407715,0.25700685,0.11469727,103.0
40534,1.1663353,1.054106,-0.24028768,-0.12213135,0.2793091,0.14018555,103.0
40535,0.99002624,0.87734246,-0.36740106,-0.12213135,0.2793091,0.14018555,103.0
40536,0.99002624,0.87734246,-0.36740106,-0.14655761,0.29736328,0.16567384,103.0
40537,0.8351362,0.7508731,-0.3806762,-0.14655761,0.29736328,0.16567384,103.0
40538,0.8351362,0.7508731,-0.3806762,-0.083898924,0.28780517,0.15505372,103.0
40539,0.69839454,0.6213405,-0.32966304,-0.083898924,0.28780517,0.15505372,103.0
40540,0.69839454,0.6213405,-0.32966304,-0.07540283,0.32072756,0.14230958,103.0
40541,0.4760008,0.43095922,-0.30713862,-0.07540283,0.32072756,0.14230958,103.0
40542,0.4760008,0.43095922,-0.30713862,-0.078588866,0.33134767,0.14230958,103.0
40543,0.19067597,0.15142012,-0.3435136,-0.078588866,0.33134767,0.14230958,103.0
40544,0.19067597,0.15142012,-0.3435136,-0.13912354,0.3525879,0.14124756,103.0
40545,-0.067478895,-0.13170815,-0.38169563,-0.13912354,0.3525879,0.14124756,103.0
40546,-0.067478895,-0.13170815,-0.38169563,-0.17735596,0.34833986,0.16779785,103.0
40547,-0.119718075,-0.23844767,-0.33969486,-0.17735596,0.34833986,0.16779785,103.0
40548,-0.119718075,-0.23844767,-0.33969486,-0.15717773,0.3345337,0.20709229,103.0
40549,-0.1298933,-0.2413075,-0.22517383,-0.15717773,0.3345337,0.20709229,103.0
40550,-0.1298933,-0.2413075,-0.22517383,-0.124255374,0.32072756,0.2347046,103.0
40551,-0.13404155,-0.16641021,-0.11013174,-0.124255374,0.32072756,0.2347046,103.0
40552,-0.13404155,-0.16641021,-0.11013174,-0.0361084,0.28674316,0.25594482,103.0
40553,-0.18416214,-0.067503214,-0.0070263147,-0.0361084,0.28674316,0.25594482,103.0
40554,-0.18416214,-0.067503214,-0.0070263147,0.015930176,0.27293703,0.2442627,103.0
40555,-0.22505188,0.0033459663,0.06901276,0.015930176,0.27293703,0.2442627,103.0
40556,-0.22505188,0.0033459663,0.06901276,0.0180542,0.26019287,0.2357666,103.0
40557,-0.12858891,0.08142424,0.08666772,0.0180542,0.26019287,0.2357666,103.0
40558,-0.12858891,0.08142424,0.08666772,-0.016992187,0.26019287,0.22833252,103.0
40559,-0.06820321,0.013528109,0.08547187,-0.016992187,0.26019287,0.22833252,103.0
40560,-0.06820321,0.013528109,0.08547187,-0.027612304,0.25063476,0.2357666,103.0
40561,-0.07608366,-0.16406775,0.07385844,-0.027612304,0.25063476,0.2357666,103.0
40562,-0.07608366,-0.16406775,0.07385844,-0.0063720704,0.24638672,0.2357666,103.0
40563,-0.15814471,-0.30458188,0.0475145,-0.0063720704,0.24638672,0.2357666,103.0
40564,-0.15814471,-0.30458188,0.0475145,0.019116212,0.2442627,0.23045655,103.0
40565,-0.23410845,-0.33568215,0.043516994,0.019116212,0.2442627,0.23045655,103.0
40566,-0.23410845,-0.33568215,0.043516994,0.04885254,0.24320069,0.22196046,103.0
40567,-0.23410845,-0.33568215,0.043516994,0.05628662,0.23895264,0.20603028,103.0
40568,-0.27897382,-0.33059406,0.045738935,0.05628662,0.23895264,0.20603028,103.0
40569,-0.31498814,-0.34711683,0.052411437,0.05628662,0.23895264,0.20603028,103.0
