,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
35650,type,type,type,type,type,type,type
35651,0.017478228,0.0043411255,0.08681488,0.057348635,-0.04991455,0.13699952,97.0
35652,0.017478228,0.0043411255,0.08681488,0.14337158,-0.0361084,0.11151123,97.0
35653,-0.004315853,0.18154907,-0.019733429,0.14337158,-0.0361084,0.11151123,97.0
35654,-0.004315853,0.18154907,-0.019733429,0.09770508,-0.022302246,0.0541626,97.0
35655,-0.025413036,0.2567978,-0.08484268,0.09770508,-0.022302246,0.0541626,97.0
35656,-0.025413036,0.2567978,-0.08484268,0.070092775,0.0361084,0.045666505,97.0
35657,-0.018633842,0.16884613,-0.16957092,0.070092775,0.0361084,0.045666505,97.0
35658,-0.018633842,0.16884613,-0.16957092,0.012744141,0.070092775,0.038232423,97.0
35659,0.027719975,0.009986877,-0.27020264,0.012744141,0.070092775,0.038232423,97.0
35660,0.027719975,0.009986877,-0.27020264,0.029736329,0.038232423,0.004248047,97.0
35661,0.027719975,0.009986877,-0.27020264,0.029736329,0.038232423,0.004248047,97.0
35662,0.04597974,-0.078933716,-0.29058838,0.029736329,0.038232423,0.004248047,97.0
35663,0.04597974,-0.078933716,-0.29058838,0.07327881,-0.004248047,-0.012744141,97.0
35664,0.04311943,-0.13294983,-0.17551422,0.07327881,-0.004248047,-0.012744141,97.0
35665,0.04311943,-0.13294983,-0.17551422,0.10513916,-0.021240234,-0.027612304,97.0
35666,0.04814291,-0.17073059,-0.0037765503,0.10513916,-0.021240234,-0.027612304,97.0
35667,0.04814291,-0.17073059,-0.0037765503,0.08283692,-0.025488282,-0.03079834,97.0
35668,0.048560858,-0.17555237,0.08757782,0.08283692,-0.025488282,-0.03079834,97.0
35669,0.048560858,-0.17555237,0.08757782,0.04885254,-0.0180542,-0.020178223,97.0
35670,0.017205477,-0.12390137,0.048431396,0.04885254,-0.0180542,-0.020178223,97.0
35671,0.017205477,-0.12390137,0.048431396,0.06584473,-0.03717041,-0.0180542,97.0
