,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
40474,type,type,type,type,type,type,type
40475,0.12360835,0.13339233,0.2179184,-0.04141846,0.014868164,-0.078588866,102.0
40476,0.12360835,0.13339233,0.2179184,-0.016992187,0.09239502,-0.03717041,102.0
40477,0.12360835,0.13339233,0.2179184,-0.020178223,0.118945315,-0.027612304,102.0
40478,0.092380285,-0.005744934,0.19589233,-0.020178223,0.118945315,-0.027612304,102.0
40479,0.092380285,-0.005744934,0.19589233,-0.03717041,0.124255374,-0.0053100586,102.0
40480,-0.0047945976,-0.018928528,0.09928894,-0.03717041,0.124255374,-0.0053100586,102.0
40481,-0.090700865,0.070510864,-0.08280182,-0.03717041,0.124255374,-0.0053100586,102.0
40482,-0.090700865,0.070510864,-0.08280182,-0.038232423,0.10407715,-0.013806152,102.0
40483,-0.11899614,0.108688354,-0.22213745,-0.038232423,0.10407715,-0.013806152,102.0
40484,-0.11899614,0.108688354,-0.22213745,-0.03717041,0.06903076,-0.03079834,102.0
40485,-0.10226488,0.0710907,-0.2833748,-0.03717041,0.06903076,-0.03079834,102.0
40486,-0.10226488,0.0710907,-0.2833748,-0.04885254,0.014868164,-0.04460449,102.0
40487,-0.10226488,0.0710907,-0.2833748,-0.028674318,-0.032922365,-0.02442627,102.0
40488,-0.05615282,0.033103943,-0.27140045,-0.028674318,-0.032922365,-0.02442627,102.0
40489,-0.008862734,0.019950867,-0.2089386,-0.028674318,-0.032922365,-0.02442627,102.0
40490,-0.008862734,0.019950867,-0.2089386,0.004248047,-0.0541626,-0.021240234,102.0
40491,0.024574757,-0.03895569,-0.110435486,0.004248047,-0.0541626,-0.021240234,102.0
40492,0.024574757,-0.03895569,-0.110435486,0.010620117,-0.05522461,-0.04460449,102.0
40493,0.04733324,-0.09714508,0.006389618,0.010620117,-0.05522461,-0.04460449,102.0
40494,0.04733324,-0.09714508,0.006389618,0.022302246,-0.05522461,-0.035046387,102.0
40495,0.05816698,-0.019828796,0.10910416,0.022302246,-0.05522461,-0.035046387,102.0
40496,0.05816698,-0.019828796,0.10910416,0.0031860352,-0.045666505,-0.046728518,102.0
40497,0.052075624,0.104782104,0.15945053,0.0031860352,-0.045666505,-0.046728518,102.0
40498,0.052075624,0.104782104,0.15945053,-0.008496094,-0.026550293,-0.053100586,102.0
40499,0.052075624,0.104782104,0.15945053,-0.008496094,-0.026550293,-0.053100586,102.0
40500,0.033005714,0.08534241,0.16886902,-0.008496094,-0.026550293,-0.053100586,102.0
40501,0.033005714,0.08534241,0.16886902,-0.021240234,-0.0031860352,-0.043542482,102.0
40502,-6.2179565E-4,-0.020935059,0.15481949,-0.021240234,-0.0031860352,-0.043542482,102.0
40503,-6.2179565E-4,-0.020935059,0.15481949,-0.04248047,0.0063720704,-0.015930176,102.0
40504,-0.02670598,-0.05696869,0.09618378,-0.04248047,0.0063720704,-0.015930176,102.0
40505,-0.02670598,-0.05696869,0.09618378,-0.050976563,0.011682129,-0.014868164,102.0
40506,-0.02670598,-0.05696869,0.09618378,-0.043542482,0.007434082,-0.015930176,102.0
40507,-0.036684513,0.0018997192,0.01637268,-0.043542482,0.007434082,-0.015930176,102.0
40508,-0.02214551,0.056266785,-0.058876038,-0.043542482,0.007434082,-0.015930176,102.0
40509,-0.02214551,0.056266785,-0.058876038,-0.045666505,-0.004248047,-0.033984374,102.0
40510,0.007698536,0.02620697,-0.114910126,-0.045666505,-0.004248047,-0.033984374,102.0
40511,0.007698536,0.02620697,-0.114910126,-0.019116212,-0.02442627,-0.040356446,102.0
40512,0.015314102,-0.035110474,-0.13559341,-0.019116212,-0.02442627,-0.040356446,102.0
40513,0.015314102,-0.035110474,-0.13559341,0.009558106,-0.04248047,-0.053100586,102.0
40514,0.023848057,-0.049186707,-0.12786102,0.009558106,-0.04248047,-0.053100586,102.0
40515,0.023848057,-0.049186707,-0.12786102,0.04460449,-0.04885254,-0.10089111,102.0
40516,0.044249535,0.04019165,-0.098213196,0.04460449,-0.04885254,-0.10089111,102.0
40517,0.044249535,0.04019165,-0.098213196,0.10513916,-0.070092775,-0.15186767,102.0
40518,0.054698944,0.1758194,-0.058639526,0.10513916,-0.070092775,-0.15186767,102.0
40519,0.054698944,0.1758194,-0.058639526,0.14230958,-0.081774905,-0.20178223,102.0
40520,0.077304125,0.427536,-0.035194397,0.14230958,-0.081774905,-0.20178223,102.0
40521,0.077304125,0.427536,-0.035194397,0.13912354,-0.07540283,-0.24851075,102.0
40522,0.07022953,0.83249664,0.047164917,0.13912354,-0.07540283,-0.24851075,102.0
40523,0.07022953,0.83249664,0.047164917,-0.18479005,-0.07646485,-0.10620117,102.0
40524,5.440712E-4,0.89009094,0.14111328,-0.18479005,-0.07646485,-0.10620117,102.0
40525,5.440712E-4,0.89009094,0.14111328,-0.35789797,-0.03079834,-0.1720459,102.0
40526,0.07367754,0.16703033,0.19313812,-0.35789797,-0.03079834,-0.1720459,102.0
40527,0.07367754,0.16703033,0.19313812,-0.1083252,-0.1178833,-0.28461915,102.0
40528,0.1922183,-0.7648392,0.26940155,-0.1083252,-0.1178833,-0.28461915,102.0
40529,0.1922183,-0.7648392,0.26940155,0.15717773,-0.04141846,-0.20709229,102.0
40530,0.12971449,-1.0096741,0.3047905,0.15717773,-0.04141846,-0.20709229,102.0
40531,0.12971449,-1.0096741,0.3047905,0.121069334,0.053100586,-0.09451904,102.0
40532,0.12971449,-1.0096741,0.3047905,0.1263794,0.11044922,-0.0541626,102.0
40533,-0.01195097,-0.6665039,0.22481537,0.1263794,0.11044922,-0.0541626,102.0
40534,-0.14587688,-0.31519318,0.07420349,0.1263794,0.11044922,-0.0541626,102.0
40535,-0.14587688,-0.31519318,0.07420349,0.13168946,0.107263185,0.0063720704,102.0
40536,-0.2422142,-0.030960083,-0.07181549,0.13168946,0.107263185,0.0063720704,102.0
40537,-0.2422142,-0.030960083,-0.07181549,0.035046387,0.07115479,0.03079834,102.0
40538,-0.2976532,0.10266113,-0.21693802,0.035046387,0.07115479,0.03079834,102.0
40539,-0.2976532,0.10266113,-0.21693802,0.078588866,0.0361084,0.03717041,102.0
40540,-0.28953862,0.13765717,-0.33255005,0.078588866,0.0361084,0.03717041,102.0
40541,-0.28953862,0.13765717,-0.33255005,0.03186035,0.013806152,0.027612304,102.0
40542,-0.2004664,0.19249725,-0.35774994,0.03186035,0.013806152,0.027612304,102.0
40543,-0.2004664,0.19249725,-0.35774994,0.08071289,-0.023364259,0.032922365,102.0
40544,-0.16993117,0.19025421,-0.31511688,0.08071289,-0.023364259,0.032922365,102.0
40545,-0.16993117,0.19025421,-0.31511688,0.0637207,-0.10195313,0.047790527,102.0
40546,-0.15502453,1.0681152E-4,-0.24572372,0.0637207,-0.10195313,0.047790527,102.0
40547,-0.15502453,1.0681152E-4,-0.24572372,0.20921631,-0.18054199,-0.032922365,102.0
40548,-0.06562114,-0.18520355,-0.1566124,0.20921631,-0.18054199,-0.032922365,102.0
40549,-0.06562114,-0.18520355,-0.1566124,0.2814331,-0.24744873,0.0021240234,102.0
40550,-0.06562114,-0.18520355,-0.1566124,0.3164795,-0.2623169,-0.022302246,102.0
40551,-0.099445105,-0.08943939,-0.09103775,0.3164795,-0.2623169,-0.022302246,102.0
40552,-0.35630178,0.11656952,-0.053115845,0.3164795,-0.2623169,-0.022302246,102.0
40553,-0.35630178,0.11656952,-0.053115845,0.31223145,-0.25594482,-0.025488282,102.0
40554,-0.43092775,0.1367569,-0.029201508,0.31223145,-0.25594482,-0.025488282,102.0
40555,-0.43092775,0.1367569,-0.029201508,0.26868898,-0.20178223,-0.06159668,102.0
40556,-0.030521035,0.023422241,-0.16614532,0.26868898,-0.20178223,-0.06159668,102.0
40557,-0.030521035,0.023422241,-0.16614532,0.540564,-0.090270996,0.16248779,102.0
40558,-0.030521035,0.023422241,-0.16614532,0.66588134,-0.13062744,0.6711914,102.0
40559,0.51080036,0.16003418,-0.45658493,0.66588134,-0.13062744,0.6711914,102.0
40560,0.8434913,0.2066803,-0.78512955,0.66588134,-0.13062744,0.6711914,102.0
40561,0.8434913,0.2066803,-0.78512955,0.4258667,-0.11363526,0.58304447,102.0
40562,0.59762025,0.3710785,-0.8656616,0.4258667,-0.11363526,0.58304447,102.0
40563,0.59762025,0.3710785,-0.8656616,-0.4598511,0.16036378,0.58304447,102.0
40564,0.043635845,0.8848114,-0.5741577,-0.4598511,0.16036378,0.58304447,102.0
40565,0.043635845,0.8848114,-0.5741577,-0.92926025,-0.06796875,0.5479981,102.0
40566,0.22104144,0.7064209,-0.13542557,-0.92926025,-0.06796875,0.5479981,102.0
40567,0.22104144,0.7064209,-0.13542557,-1.454956,-0.15186767,0.22514649,102.0
40568,0.9330466,-0.43271637,0.4154358,-1.454956,-0.15186767,0.22514649,102.0
40569,0.9330466,-0.43271637,0.4154358,-1.2011353,-0.44073486,-0.040356446,102.0
40570,1.3689959,-1.5364304,0.8843384,-1.2011353,-0.44073486,-0.040356446,102.0
40571,1.3689959,-1.5364304,0.8843384,0.09664307,-0.632959,-0.07115479,102.0
