,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
31857,type,type,type,type,type,type,type
31858,-0.034264565,0.15037537,0.04708481,-0.11469727,0.052038576,0.02442627,101.0
31859,-0.034264565,0.15037537,0.04708481,-0.09239502,0.09451904,0.083898924,101.0
31860,-0.09718704,0.20050812,-0.05083084,-0.09239502,0.09451904,0.083898924,101.0
31861,-0.09718704,0.20050812,-0.05083084,-0.059472658,0.090270996,0.03717041,101.0
31862,-0.09718704,0.20050812,-0.05083084,-0.059472658,0.0637207,0.03079834,101.0
31863,-0.15730286,0.16067505,-0.048599243,-0.059472658,0.0637207,0.03079834,101.0
31864,-0.18688965,0.1028595,-0.02418518,-0.059472658,0.0637207,0.03079834,101.0
31865,-0.18688965,0.1028595,-0.02418518,-0.08496094,0.04141846,0.029736329,101.0
31866,-0.2055912,0.06259918,-5.264282E-4,-0.08496094,0.04141846,0.029736329,101.0
31867,-0.2055912,0.06259918,-5.264282E-4,-0.16142578,0.008496094,-0.009558106,101.0
31868,-0.13036633,0.015838623,0.0020103455,-0.16142578,0.008496094,-0.009558106,101.0
31869,-0.13036633,0.015838623,0.0020103455,-0.15505372,0.011682129,-0.026550293,101.0
31870,-0.008101463,-0.04927063,-0.022865295,-0.15505372,0.011682129,-0.026550293,101.0
31871,-0.008101463,-0.04927063,-0.022865295,-0.095581055,0.014868164,-0.014868164,101.0
31872,0.094519615,-0.08589935,-0.015655518,-0.095581055,0.014868164,-0.014868164,101.0
31873,0.094519615,-0.08589935,-0.015655518,-0.06478272,0.027612304,0.0021240234,101.0
31874,0.10038376,-0.047920227,0.048851013,-0.06478272,0.027612304,0.0021240234,101.0
31875,0.10038376,-0.047920227,0.048851013,-0.0998291,0.020178223,0.0010620117,101.0
31876,0.036105156,-0.022880554,0.118694305,-0.0998291,0.020178223,0.0010620117,101.0
31877,0.036105156,-0.022880554,0.118694305,-0.14761963,0.015930176,0.012744141,101.0
31878,0.02314663,-0.101753235,0.13656998,-0.14761963,0.015930176,0.012744141,101.0
31879,0.02314663,-0.101753235,0.13656998,-0.12531738,0.015930176,0.013806152,101.0
31880,0.02314663,-0.101753235,0.13656998,-0.046728518,0.032922365,0.03186035,101.0
31881,0.052257538,-0.21526337,0.11902237,-0.046728518,0.032922365,0.03186035,101.0
31882,0.052257538,-0.21526337,0.11902237,-0.046728518,0.032922365,0.03186035,100.0
31883,0.042562485,-0.1818695,0.09381485,-0.046728518,0.032922365,0.03186035,100.0
31884,0.042562485,-0.1818695,0.09381485,-0.04248047,0.043542482,0.052038576,100.0
31885,-0.0024366379,-0.0024795532,0.07006073,-0.04248047,0.043542482,0.052038576,100.0
31886,-0.0024366379,-0.0024795532,0.07006073,-0.078588866,0.05522461,0.06159668,100.0
31887,-0.060970306,0.12660217,0.042987823,-0.078588866,0.05522461,0.06159668,100.0
31888,-0.060970306,0.12660217,0.042987823,-0.09133301,0.06478272,0.060534667,100.0
31889,-0.060970306,0.12660217,0.042987823,-0.087084964,0.06690674,0.04248047,100.0
31890,-0.08925438,0.14311981,0.024402618,-0.087084964,0.06690674,0.04248047,100.0
31891,-0.06912041,0.103279114,0.0042381287,-0.087084964,0.06690674,0.04248047,100.0
31892,-0.06912041,0.103279114,0.0042381287,-0.09451904,0.08071289,0.04460449,100.0
31893,-0.053489685,0.0344162,-0.024612427,-0.09451904,0.08071289,0.04460449,100.0
31894,-0.053489685,0.0344162,-0.024612427,-0.10620117,0.09451904,0.020178223,100.0
31895,-0.0403862,-0.0104904175,-0.055274963,-0.10620117,0.09451904,0.020178223,100.0
31896,-0.0403862,-0.0104904175,-0.055274963,-0.08496094,0.115759276,0.023364259,100.0
31897,-0.026144028,-0.0071868896,-0.020744324,-0.08496094,0.115759276,0.023364259,100.0
31898,-0.026144028,-0.0071868896,-0.020744324,-0.13062744,0.10407715,0.0180542,100.0
31899,0.03438282,-0.0785141,0.02696991,-0.13062744,0.10407715,0.0180542,100.0
31900,0.03438282,-0.0785141,0.02696991,-0.1263794,0.12213135,0.008496094,100.0
31901,0.07877636,-0.16797638,-0.0023765564,-0.1263794,0.12213135,0.008496094,100.0
