,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
27595,type,type,type,type,type,type,type
27596,-0.39156818,-0.03412819,1.0885162,-0.25700685,0.05628662,0.03079834,106
27597,-0.39156818,-0.03412819,1.0885162,-0.2347046,0.040356446,-0.020178223,106
27598,-0.52249527,-0.18264961,0.44332886,-0.2347046,0.040356446,-0.020178223,106
27599,-0.52249527,-0.18264961,0.44332886,-0.029736329,0.045666505,-0.1274414,106
27600,-0.39728165,-0.1523571,-0.24560547,-0.029736329,0.045666505,-0.1274414,106
27601,-0.39728165,-0.1523571,-0.24560547,0.08814698,-0.011682129,-0.08283692,106
27602,-0.21330929,-0.066991806,-0.46110535,0.08814698,-0.011682129,-0.08283692,106
27603,-0.21330929,-0.066991806,-0.46110535,0.046728518,-0.010620117,-0.08920898,106
27604,-0.15029812,-0.12228203,0.044036865,0.046728518,-0.010620117,-0.08920898,106
27605,-0.15029812,-0.12228203,0.044036865,0.00637207,-0.015930176,-0.10089111,106
27606,-0.10949612,-0.15589523,0.22441101,0.00637207,-0.015930176,-0.10089111,106
27607,-0.10949612,-0.15589523,0.22441101,-0.002124023,0.008496094,-0.115759276,106
27608,-0.10949612,-0.15589523,0.22441101,0.035046387,0.035046387,-0.09664307,106
27609,-0.01953125,-0.23571396,0.3391571,0.035046387,0.035046387,-0.09664307,106
27610,0.08543682,-0.24163437,0.10044861,0.035046387,0.035046387,-0.09664307,106
27611,0.08543682,-0.24163437,0.10044861,0.107263185,0.039294433,-0.0722168,106
27612,0.13720894,-0.15486717,-0.20414734,0.107263185,0.039294433,-0.0722168,106
27613,0.13720894,-0.15486717,-0.20414734,0.13699952,0.0361084,-0.039294433,106
27614,0.10636139,0.004512787,-0.28982544,0.13699952,0.0361084,-0.039294433,106
27615,0.10636139,0.004512787,-0.28982544,0.14868164,0.009558106,-0.005310059,106
27616,0.014764786,0.17812157,-0.1098938,0.14868164,0.009558106,-0.005310059,106
27617,0.014764786,0.17812157,-0.1098938,0.13275146,0.022302246,0.025488282,106
27618,-0.08544159,0.28352547,0.06932068,0.13275146,0.022302246,0.025488282,106
27619,-0.08544159,0.28352547,0.06932068,0.09133301,0.0637207,0.050976563,106
27620,-0.16954994,0.30418777,0.07118225,0.09133301,0.0637207,0.050976563,106
27621,-0.16954994,0.30418777,0.07118225,0.07965088,0.10301514,0.07540283,106
27622,-0.21730518,0.28552628,0.003067017,0.07965088,0.10301514,0.07540283,106
27623,-0.21730518,0.28552628,0.003067017,0.05522461,0.13699952,0.081774905,106
27624,-0.22361279,0.25741196,0.011505127,0.05522461,0.13699952,0.081774905,106
