,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
37195,type,type,type,type,type,type,type
37196,0.036661148,0.2467804,0.062335968,-0.29417726,-0.10938721,0.04141846,94.0
37197,0.036661148,0.2467804,0.062335968,-0.09133301,0.0,0.06159668,94.0
37198,0.104243755,-0.05407715,0.029644012,-0.09133301,0.0,0.06159668,94.0
37199,0.104243755,-0.05407715,0.029644012,-0.1083252,-0.045666505,0.0541626,94.0
37200,0.10285282,-0.21927643,0.20329285,-0.1083252,-0.045666505,0.0541626,94.0
37201,0.10285282,-0.21927643,0.20329285,-0.058410645,-0.07965088,0.013806152,94.0
37202,0.12053871,-0.24198914,0.3851471,-0.058410645,-0.07965088,0.013806152,94.0
37203,0.12053871,-0.24198914,0.3851471,-0.09451904,-0.087084964,-0.014868164,94.0
37204,0.12053871,-0.24198914,0.3851471,-0.08920898,-0.1083252,-0.0053100586,94.0
37205,0.12886524,-0.17409515,0.3781891,-0.08920898,-0.1083252,-0.0053100586,94.0
37206,0.12159777,-0.042461395,0.20046234,-0.08920898,-0.1083252,-0.0053100586,94.0
37207,0.12159777,-0.042461395,0.20046234,-0.10620117,-0.1274414,0.0053100586,94.0
37208,0.13984394,0.10298157,0.011711121,-0.10620117,-0.1274414,0.0053100586,94.0
37209,0.13984394,0.10298157,0.011711121,-0.07327881,-0.08071289,0.022302246,94.0
37210,0.096982956,0.1503067,-0.042800903,-0.07327881,-0.08071289,0.022302246,94.0
37211,0.096982956,0.1503067,-0.042800903,-0.021240234,-0.010620117,0.029736329,94.0
37212,-0.035499573,0.12094116,0.03763199,-0.021240234,-0.010620117,0.029736329,94.0
37213,-0.035499573,0.12094116,0.03763199,0.025488282,0.046728518,0.06796875,94.0
37214,-0.19729614,0.11230469,0.104335785,0.025488282,0.046728518,0.06796875,94.0
37215,-0.19729614,0.11230469,0.104335785,0.029736329,0.07752686,0.10938721,94.0
37216,-0.31417227,0.11405182,0.053035736,0.029736329,0.07752686,0.10938721,94.0
37217,-0.31417227,0.11405182,0.053035736,-0.0063720704,0.07752686,0.09664307,94.0
37218,-0.27948713,0.04473114,-0.09461975,-0.0063720704,0.07752686,0.09664307,94.0
37219,-0.27948713,0.04473114,-0.09461975,-0.004248047,0.07434082,0.014868164,94.0
37220,-0.11221266,-0.030792236,-0.25909424,-0.004248047,0.07434082,0.014868164,94.0
37221,-0.11221266,-0.030792236,-0.25909424,0.07965088,0.1178833,-0.0021240234,94.0
37222,-0.11221266,-0.030792236,-0.25909424,0.16248779,0.13806152,-0.0010620117,94.0
37223,-0.03918457,-0.049865723,-0.3581543,0.16248779,0.13806152,-0.0010620117,94.0
37224,-0.14647198,-0.1083374,-0.35743332,0.16248779,0.13806152,-0.0010620117,94.0
37225,-0.14647198,-0.1083374,-0.35743332,0.21452637,0.10620117,0.02442627,94.0
37226,-0.27824926,-0.25833893,-0.2917328,0.21452637,0.10620117,0.02442627,94.0
37227,-0.27824926,-0.25833893,-0.2917328,0.26337892,0.06265869,0.07115479,94.0
37228,-0.348979,-0.37248993,-0.23591614,0.26337892,0.06265869,0.07115479,94.0
37229,-0.348979,-0.37248993,-0.23591614,0.24532472,0.033984374,0.13275146,94.0
37230,-0.348979,-0.37248993,-0.23591614,0.124255374,0.02442627,0.1539917,94.0
37231,-0.37112665,-0.3356247,-0.18843079,0.124255374,0.02442627,0.1539917,94.0
37232,-0.29342222,-0.2519226,-0.14126968,0.124255374,0.02442627,0.1539917,94.0
37233,-0.29342222,-0.2519226,-0.14126968,-0.0063720704,-0.0053100586,0.14974366,94.0
