,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
56731,type,type,type,type,type,type,type
56732,-0.14532852,0.285141,0.11688614,0.029736329,0.098767094,0.07646485,62.0
56733,-0.14532852,0.285141,0.11688614,-0.06903076,0.11257324,0.29523927,62.0
56734,-0.23295021,0.3612175,-0.040668488,-0.06903076,0.11257324,0.29523927,62.0
56735,-0.23295021,0.3612175,-0.040668488,-0.10301514,0.18054199,0.43117675,62.0
56736,-0.02009964,0.082969666,-0.020694733,-0.10301514,0.18054199,0.43117675,62.0
56737,-0.02009964,0.082969666,-0.020694733,-0.053100586,0.18266602,0.26125488,62.0
56738,0.2361412,-0.22761917,0.050178528,-0.053100586,0.18266602,0.26125488,62.0
56739,0.2361412,-0.22761917,0.050178528,0.09664307,0.18479005,0.010620117,62.0
56740,0.21222878,-0.20417786,-0.02451706,0.09664307,0.18479005,0.010620117,62.0
56741,0.21222878,-0.20417786,-0.02451706,0.07965088,0.1263794,-0.053100586,62.0
56742,0.016841888,0.08592224,-0.24639511,0.07965088,0.1263794,-0.053100586,62.0
56743,0.016841888,0.08592224,-0.24639511,-0.019116212,0.16036378,0.0722168,62.0
56744,-0.042470932,0.2567978,-0.33555603,-0.019116212,0.16036378,0.0722168,62.0
56745,-0.042470932,0.2567978,-0.33555603,-0.07752686,0.15717773,0.16885987,62.0
56746,0.035604477,0.14427948,-0.17798996,-0.07752686,0.15717773,0.16885987,62.0
56747,0.035604477,0.14427948,-0.17798996,-0.07540283,0.03079834,0.13062744,62.0
56748,0.09701347,-0.008441925,-0.058311462,-0.07540283,0.03079834,0.13062744,62.0
56749,0.09701347,-0.008441925,-0.058311462,-0.043542482,0.0010620117,0.05628662,62.0
56750,0.08926773,0.0388031,-0.104068756,-0.043542482,0.0010620117,0.05628662,62.0
56751,0.08926773,0.0388031,-0.104068756,-0.10089111,0.06690674,0.098767094,62.0
56752,0.08911514,0.1254158,-0.094768524,-0.10089111,0.06690674,0.098767094,62.0
56753,0.08911514,0.1254158,-0.094768524,-0.11044922,0.07434082,0.1083252,62.0
56754,0.15626526,0.08300018,0.0042877197,-0.11044922,0.07434082,0.1083252,62.0
56755,0.15626526,0.08300018,0.0042877197,-0.026550293,0.05522461,0.040356446,62.0
56756,0.21422195,-0.026275635,0.06093979,-0.026550293,0.05522461,0.040356446,62.0
56757,0.21422195,-0.026275635,0.06093979,0.08496094,0.052038576,-0.04885254,62.0
56758,0.21422195,-0.026275635,0.06093979,0.07752686,0.0010620117,-0.09770508,62.0
56759,0.13066673,-0.05485916,0.020553589,0.07752686,0.0010620117,-0.09770508,62.0
56760,-0.040180206,0.05700302,-0.06888199,0.07752686,0.0010620117,-0.09770508,62.0
56761,-0.040180206,0.05700302,-0.06888199,0.012744141,0.014868164,-0.0063720704,62.0
56762,-0.13121605,0.15295029,-0.11362457,0.012744141,0.014868164,-0.0063720704,62.0
56763,-0.13121605,0.15295029,-0.11362457,0.032922365,0.0,0.043542482,62.0
56764,-0.11174774,0.14097595,-0.12294388,0.032922365,0.0,0.043542482,62.0
56765,-0.11174774,0.14097595,-0.12294388,0.090270996,0.023364259,0.03717041,62.0
56766,-0.07121086,0.12296295,-0.14380264,0.090270996,0.023364259,0.03717041,62.0
56767,-0.07121086,0.12296295,-0.14380264,0.07434082,0.10195313,0.07327881,62.0
56768,-0.042564392,0.097969055,-0.15158844,0.07434082,0.10195313,0.07327881,62.0
56769,-0.042564392,0.097969055,-0.15158844,0.047790527,0.13168946,0.081774905,62.0
56770,-0.00894165,0.069171906,-0.16423798,0.047790527,0.13168946,0.081774905,62.0
56771,-0.00894165,0.069171906,-0.16423798,0.013806152,0.118945315,0.08920898,62.0
56772,0.016637802,0.072841644,-0.15940857,0.013806152,0.118945315,0.08920898,62.0
56773,0.016637802,0.072841644,-0.15940857,-0.039294433,0.14974366,0.115759276,62.0
56774,0.013614655,0.03496933,-0.06430817,-0.039294433,0.14974366,0.115759276,62.0
56775,0.013614655,0.03496933,-0.06430817,-0.05628662,0.07327881,0.078588866,62.0
56776,0.013614655,0.03496933,-0.06430817,0.011682129,0.007434082,0.007434082,62.0
56777,8.69751E-4,-0.034088135,-0.015571594,0.011682129,0.007434082,0.007434082,62.0
56778,0.076293945,-0.034301758,-0.11857605,0.011682129,0.007434082,0.007434082,62.0
56779,0.076293945,-0.034301758,-0.11857605,0.021240234,0.11151123,-0.025488282,62.0
56780,0.20487022,-0.054431915,-0.14631653,0.021240234,0.11151123,-0.025488282,62.0
56781,0.20487022,-0.054431915,-0.14631653,0.016992187,0.14549561,-0.10301514,62.0
56782,0.20972061,-0.025344849,-0.0031738281,0.016992187,0.14549561,-0.10301514,62.0
56783,0.20972061,-0.025344849,-0.0031738281,0.009558106,-0.0031860352,-0.15930176,62.0
56784,-0.03727722,0.20301819,-0.0072746277,0.009558106,-0.0031860352,-0.15930176,62.0
56785,-0.03727722,0.20301819,-0.0072746277,-0.09451904,-0.026550293,0.07327881,62.0
56786,-0.30249023,0.31059265,-0.07333374,-0.09451904,-0.026550293,0.07327881,62.0
56787,-0.30249023,0.31059265,-0.07333374,-0.12956543,-0.058410645,0.26550293,62.0
56788,-0.25709152,-0.0024642944,0.064071655,-0.12956543,-0.058410645,0.26550293,62.0
56789,-0.25709152,-0.0024642944,0.064071655,-0.015930176,-0.22408448,0.0180542,62.0
56790,-0.062740326,-0.27812195,0.16188812,-0.015930176,-0.22408448,0.0180542,62.0
56791,-0.062740326,-0.27812195,0.16188812,0.16779785,-0.32603762,-0.1901001,62.0
