,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
37123,type,type,type,type,type,type,type
37124,-0.00726375,0.16030604,0.48938087,-0.121069334,0.039294433,0.07434082,96.0
37125,-0.00726375,0.16030604,0.48938087,-0.16354981,0.059472658,-0.025488282,96.0
37126,-0.05658005,0.033896685,0.11119463,-0.16354981,0.059472658,-0.025488282,96.0
37127,-0.05658005,0.033896685,0.11119463,0.13699952,-0.03079834,-0.06584473,96.0
37128,-0.03939247,-0.20641537,-0.0050628474,0.13699952,-0.03079834,-0.06584473,96.0
37129,-0.03939247,-0.20641537,-0.0050628474,0.4248047,-0.059472658,-0.0541626,96.0
37130,-0.03939247,-0.20641537,-0.0050628474,0.28674316,0.03717041,-0.04885254,96.0
37131,0.017216489,-0.11053024,0.15804689,0.28674316,0.03717041,-0.04885254,96.0
37132,0.0801184,0.14516957,0.2920015,0.28674316,0.03717041,-0.04885254,96.0
37133,0.0801184,0.14516957,0.2920015,0.098767094,0.08071289,-0.070092775,96.0
37134,0.11846483,0.17929485,0.15653819,0.098767094,0.08071289,-0.070092775,96.0
37135,0.11846483,0.17929485,0.15653819,-0.009558106,0.11363526,-0.06796875,96.0
37136,0.10389051,-0.07566813,-0.17819963,-0.009558106,0.11363526,-0.06796875,96.0
37137,0.10389051,-0.07566813,-0.17819963,0.13062744,0.10089111,-0.026550293,96.0
37138,0.031342387,-0.29583722,-0.3956603,0.13062744,0.10089111,-0.026550293,96.0
37139,0.031342387,-0.29583722,-0.3956603,0.33665773,0.046728518,0.007434082,96.0
37140,-0.024901688,-0.18872058,-0.30178216,0.33665773,0.046728518,0.007434082,96.0
37141,-0.024901688,-0.18872058,-0.30178216,0.29205322,0.045666505,0.050976563,96.0
37142,-0.016491175,0.031311125,-0.072614685,0.29205322,0.045666505,0.050976563,96.0
37143,-0.016491175,0.031311125,-0.072614685,0.16673584,0.046728518,0.08602295,96.0
37144,-0.009372145,0.054150462,-0.0054306164,0.16673584,0.046728518,0.08602295,96.0
37145,-0.009372145,0.054150462,-0.0054306164,0.06265869,0.10407715,0.1178833,96.0
37146,-0.084707186,-0.2965478,-0.1652942,0.06265869,0.10407715,0.1178833,96.0
37147,-0.084707186,-0.2965478,-0.1652942,0.44073486,0.0063720704,0.1731079,96.0
37148,-0.15955041,-0.51449656,-0.26709867,0.44073486,0.0063720704,0.1731079,96.0
37149,-0.15955041,-0.51449656,-0.26709867,0.7072998,-0.090270996,0.18797608,96.0
37150,-0.066422075,-0.12150934,-0.10563448,0.7072998,-0.090270996,0.18797608,96.0
37151,-0.066422075,-0.12150934,-0.10563448,0.5586182,-0.070092775,0.12213135,96.0
37152,0.04556839,0.3711641,0.09868333,0.5586182,-0.070092775,0.12213135,96.0
37153,0.04556839,0.3711641,0.09868333,0.29523927,-0.019116212,0.15717773,96.0
37154,0.06796107,0.21321547,0.049796283,0.29523927,-0.019116212,0.15717773,96.0
37155,0.06796107,0.21321547,0.049796283,0.7699585,-0.16885987,0.23364258,96.0
37156,0.06796107,0.21321547,0.049796283,1.359375,-0.2824951,0.25700685,96.0
37157,-0.010401651,-0.41719618,-0.20324159,1.359375,-0.2824951,0.25700685,96.0
37158,-0.099996135,-0.47065878,-0.18722707,1.359375,-0.2824951,0.25700685,96.0
37159,-0.099996135,-0.47065878,-0.18722707,1.3243287,-0.2262085,0.24107666,96.0
37160,-0.076774254,0.17989391,0.19896102,1.3243287,-0.2262085,0.24107666,96.0
37161,-0.076774254,0.17989391,0.19896102,0.9451904,-0.1996582,0.17629395,96.0
37162,0.038177773,0.7720767,0.5313368,0.9451904,-0.1996582,0.17629395,96.0
37163,0.038177773,0.7720767,0.5313368,0.1720459,0.007434082,0.095581055,96.0
37164,0.06889671,0.6144388,0.5048302,0.1720459,0.007434082,0.095581055,96.0
37165,0.06889671,0.6144388,0.5048302,0.021240234,0.10195313,0.09770508,96.0
37166,-0.034824044,-0.07756521,0.16281189,0.021240234,0.10195313,0.09770508,96.0
37167,-0.034824044,-0.07756521,0.16281189,0.48321533,0.021240234,0.1359375,96.0
37168,-0.09424107,-0.44224018,-0.13676709,0.48321533,0.021240234,0.1359375,96.0
37169,-0.09424107,-0.44224018,-0.13676709,0.7625244,-0.058410645,0.11257324,96.0
