,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
37235,type,type,type,type,type,type,type
37236,-0.20664406,0.5356369,-0.63671494,0.24320069,-0.19116211,-0.3812622,111.0
37237,-0.20664406,0.5356369,-0.63671494,0.02442627,-0.31223145,-0.31010744,111.0
37238,-0.051472664,0.5727844,-0.75302505,0.02442627,-0.31223145,-0.31010744,111.0
37239,-0.051472664,0.5727844,-0.75302505,-0.16461182,-0.16461182,-0.24638672,111.0
37240,-0.051472664,0.5727844,-0.75302505,-0.34727785,0.032922365,-0.19541016,111.0
37241,0.20491552,0.34487152,-0.28730774,-0.34727785,0.032922365,-0.19541016,111.0
37242,0.24806309,-0.056854248,0.20631409,-0.34727785,0.032922365,-0.19541016,111.0
37243,0.24806309,-0.056854248,0.20631409,-0.13381349,0.04141846,0.0541626,111.0
37244,0.07677078,-0.39128113,0.28886795,-0.13381349,0.04141846,0.0541626,111.0
37245,0.07677078,-0.39128113,0.28886795,0.020178223,0.083898924,0.0722168,111.0
37246,-0.23149109,-0.23806,0.07186508,0.020178223,0.083898924,0.0722168,111.0
37247,-0.23149109,-0.23806,0.07186508,-0.08496094,-0.08920898,-0.4630371,111.0
37248,-0.23149109,-0.23806,0.07186508,-0.26125488,-0.07752686,-0.27399904,111.0
37249,-0.22285128,0.113773346,-0.23884583,-0.26125488,-0.07752686,-0.27399904,111.0
37250,-0.22285128,0.113773346,-0.23884583,-0.26125488,-0.07752686,-0.27399904,111.0
37251,0.043435097,0.08740616,-0.3730011,-0.26125488,-0.07752686,-0.27399904,111.0
37252,0.043435097,0.08740616,-0.3730011,-0.14124756,0.07752686,-0.22302246,111.0
37253,0.03508997,-0.15163422,-0.20011139,-0.14124756,0.07752686,-0.22302246,111.0
37254,0.03508997,-0.15163422,-0.20011139,-0.0021240234,0.022302246,-0.29417726,111.0
37255,-0.15499687,-0.1095047,0.04584503,-0.0021240234,0.022302246,-0.29417726,111.0
37256,-0.15499687,-0.1095047,0.04584503,0.03186035,0.032922365,-0.30373535,111.0
37257,-0.29477406,0.24712753,0.1328659,0.03186035,0.032922365,-0.30373535,111.0
37258,-0.29477406,0.24712753,0.1328659,-0.1539917,0.0053100586,-0.32178956,111.0
37259,-0.3630042,0.52510834,0.03696823,-0.1539917,0.0053100586,-0.32178956,111.0
37260,-0.3630042,0.52510834,0.03696823,-0.34727785,-0.038232423,-0.36745605,111.0
37261,-0.27614594,0.38586807,-0.106399536,-0.34727785,-0.038232423,-0.36745605,111.0
37262,-0.27614594,0.38586807,-0.106399536,-0.38763428,-0.08496094,-0.42905274,111.0
37263,-0.0111022,-0.16850281,-0.17094803,-0.38763428,-0.08496094,-0.42905274,111.0
37264,-0.0111022,-0.16850281,-0.17094803,-0.20284425,-0.07115479,-0.4970215,111.0
37265,0.086637974,-0.6442261,-0.11634827,-0.20284425,-0.07115479,-0.4970215,111.0
37266,0.086637974,-0.6442261,-0.11634827,0.04141846,0.0180542,-0.5851685,111.0
37267,-0.20793581,-0.48482513,-0.0061912537,0.04141846,0.0180542,-0.5851685,111.0
37268,-0.20793581,-0.48482513,-0.0061912537,0.021240234,-0.04885254,-0.6711914,111.0
37269,-0.48751545,0.19760132,-0.03333664,0.021240234,-0.04885254,-0.6711914,111.0
37270,-0.48751545,0.19760132,-0.03333664,-0.47471926,-0.15505372,-0.77951664,111.0
37271,-0.31252193,0.6580696,-0.34077835,-0.47471926,-0.15505372,-0.77951664,111.0
37272,-0.31252193,0.6580696,-0.34077835,-1.2117554,-0.2538208,-0.9611206,111.0
37273,0.21046829,0.6258087,-0.6989403,-1.2117554,-0.2538208,-0.9611206,111.0
37274,0.21046829,0.6258087,-0.6989403,-2.075171,-0.2899292,-1.2489258,111.0
37275,0.21046829,0.6258087,-0.6989403,-3.2614381,-0.16673584,-1.6418701,111.0
37276,0.5575962,0.45957184,-0.6654968,-3.2614381,-0.16673584,-1.6418701,111.0
37277,0.2749467,-0.027412415,-0.2380104,-3.2614381,-0.16673584,-1.6418701,111.0
37278,0.2749467,-0.027412415,-0.2380104,-4.251233,-0.0637207,-2.0082643,111.0
37279,-0.40413952,-1.205986,0.20787048,-4.251233,-0.0637207,-2.0082643,111.0
37280,-0.40413952,-1.205986,0.20787048,-4.4031005,0.014868164,-2.4203248,111.0
37281,-0.93117285,-3.1109543,0.54605484,-4.4031005,0.014868164,-2.4203248,111.0
37282,-0.93117285,-3.1109543,0.54605484,-3.1594849,0.18266602,-2.8408813,111.0
37283,-1.5121746,-4.9794617,1.1665077,-3.1594849,0.18266602,-2.8408813,111.0
37284,-1.5121746,-4.9794617,1.1665077,-1.8871949,0.27612305,-3.0097413,111.0
37285,-2.30482,-5.8391953,2.2849388,-1.8871949,0.27612305,-3.0097413,111.0
37286,-2.30482,-5.8391953,2.2849388,-1.3052124,-0.07434082,-3.076648,111.0
37287,-2.6990194,-5.8470764,3.2945786,-1.3052124,-0.07434082,-3.076648,111.0
37288,-2.6990194,-5.8470764,3.2945786,-0.9526245,-0.2803711,-2.622107,111.0
37289,-2.6856804,-5.2809906,3.6951714,-0.9526245,-0.2803711,-2.622107,111.0
37290,-2.6856804,-5.2809906,3.6951714,-0.5894165,-0.45878908,-2.0592408,111.0
37291,-2.5148659,-4.134178,3.6174927,-0.5894165,-0.45878908,-2.0592408,111.0
37292,-2.5148659,-4.134178,3.6174927,-0.85491943,-0.7189819,-1.6482422,111.0
37293,-2.5148659,-4.134178,3.6174927,-1.0163453,-0.8772217,-1.1395386,111.0
37294,-2.0138578,-3.0877,3.134781,-1.0163453,-0.8772217,-1.1395386,111.0
37295,-1.4191923,-2.823166,2.2611847,-1.0163453,-0.8772217,-1.1395386,111.0
37296,-1.4191923,-2.823166,2.2611847,-0.7657105,-1.0120972,-0.91864014,111.0
37297,-0.8325949,-2.9312134,1.5559196,-0.7657105,-1.0120972,-0.91864014,111.0
37298,-0.8325949,-2.9312134,1.5559196,0.04885254,-1.0917481,-0.79013675,111.0
37299,0.32235146,-3.331871,2.557003,0.04885254,-1.0917481,-0.79013675,111.0
37300,0.32235146,-3.331871,2.557003,-1.0312134,-1.2298096,-1.6811646,111.0
37301,1.2672691,-3.076126,2.9789505,-1.0312134,-1.2298096,-1.6811646,111.0
37302,1.2672691,-3.076126,2.9789505,-1.0014771,-1.081128,-0.4630371,111.0
37303,1.0223484,-0.87635803,0.085235596,-1.0014771,-1.081128,-0.4630371,111.0
37304,1.0223484,-0.87635803,0.085235596,0.4980835,-0.727478,-0.16885987,111.0
37305,0.9150715,0.858902,-2.4768066,0.4980835,-0.727478,-0.16885987,111.0
37306,0.9150715,0.858902,-2.4768066,0.86766356,-0.6680054,0.016992187,111.0
37307,1.3398571,0.847229,-2.1190948,0.86766356,-0.6680054,0.016992187,111.0
37308,1.3398571,0.847229,-2.1190948,0.7593384,-0.6149048,0.4078125,111.0
37309,1.5322866,0.79774475,-0.6834717,0.7593384,-0.6149048,0.4078125,111.0
37310,1.5322866,0.79774475,-0.6834717,-0.098767094,-0.9505005,0.45666504,111.0
37311,1.6715078,0.72203064,-0.13624191,-0.098767094,-0.9505005,0.45666504,111.0
37312,1.6715078,0.72203064,-0.13624191,0.31116945,-0.92501223,-0.098767094,111.0
37313,2.208068,0.5005264,-0.33350372,0.31116945,-0.92501223,-0.098767094,111.0
37314,2.208068,0.5005264,-0.33350372,0.6754395,-1.1098022,-0.24638672,111.0
37315,2.8003774,0.7446594,-0.29696655,0.6754395,-1.1098022,-0.24638672,111.0
37316,2.8003774,0.7446594,-0.29696655,0.24001466,-0.7306641,-0.22939454,111.0
37317,2.734003,0.87363434,-0.062194824,0.24001466,-0.7306641,-0.22939454,111.0
37318,2.734003,0.87363434,-0.062194824,-0.0998291,-0.32391357,-0.02442627,111.0
37319,2.734003,0.87363434,-0.062194824,0.29523927,-0.0361084,0.08283692,111.0
37320,1.8777051,0.46871185,-0.11072922,0.29523927,-0.0361084,0.08283692,111.0
37321,0.6433263,0.21110535,-0.13664246,0.29523927,-0.0361084,0.08283692,111.0
37322,0.6433263,0.21110535,-0.13664246,0.41418457,0.032922365,0.16142578,111.0
37323,-0.31588078,0.5587387,0.11544037,0.41418457,0.032922365,0.16142578,111.0
37324,-0.31588078,0.5587387,0.11544037,0.058410645,-0.07752686,0.10938721,111.0
37325,-0.51940393,0.7864685,0.20867538,0.058410645,-0.07752686,0.10938721,111.0
37326,-0.51940393,0.7864685,0.20867538,-0.04885254,-0.039294433,0.13275146,111.0
37327,-0.36523008,0.52732086,0.08583832,-0.04885254,-0.039294433,0.13275146,111.0
37328,-0.36523008,0.52732086,0.08583832,-0.15611573,0.08496094,0.04885254,111.0
37329,-0.44036484,-0.060905457,-0.05109024,-0.15611573,0.08496094,0.04885254,111.0
37330,-0.44036484,-0.060905457,-0.05109024,0.10407715,0.095581055,0.0021240234,111.0
37331,-0.462265,-0.4828186,-0.104652405,0.10407715,0.095581055,0.0021240234,111.0
37332,-0.462265,-0.4828186,-0.104652405,0.42905274,0.0021240234,-0.18585205,111.0
37333,-0.20058584,-0.21691132,-0.1281662,0.42905274,0.0021240234,-0.18585205,111.0
37334,-0.20058584,-0.21691132,-0.1281662,0.542688,0.16992188,-0.08602295,111.0
37335,-0.03191614,0.4306488,-0.18300247,0.542688,0.16992188,-0.08602295,111.0
37336,-0.03191614,0.4306488,-0.18300247,0.34090576,0.12000733,-0.09133301,111.0
37337,0.09401035,0.6554184,-0.26788712,0.34090576,0.12000733,-0.09133301,111.0
37338,0.09401035,0.6554184,-0.26788712,0.33665773,-0.14655761,-0.08814698,111.0
37339,0.6596322,0.46733856,-0.39108276,0.33665773,-0.14655761,-0.08814698,111.0
37340,0.6596322,0.46733856,-0.39108276,0.9218262,-0.3334717,-0.04460449,111.0
37341,1.3764486,0.83351135,-0.42926025,0.9218262,-0.3334717,-0.04460449,111.0
37342,1.3764486,0.83351135,-0.42926025,0.7880127,-0.25806886,0.14230958,111.0
37343,1.4525871,1.6363525,-0.34697342,0.7880127,-0.25806886,0.14230958,111.0
37344,1.4525871,1.6363525,-0.34697342,0.14337158,-0.10407715,0.010620117,111.0
37345,1.0018525,1.5222664,0.0821991,0.14337158,-0.10407715,0.010620117,111.0
37346,1.0018525,1.5222664,0.0821991,0.16885987,0.07540283,-0.07327881,111.0
37347,0.3886404,0.5609741,0.4525528,0.16885987,0.07540283,-0.07327881,111.0
37348,0.3886404,0.5609741,0.4525528,0.2347046,0.26019287,0.15823975,111.0
37349,-0.3261237,-0.02999115,0.13721466,0.2347046,0.26019287,0.15823975,111.0
37350,-0.3261237,-0.02999115,0.13721466,0.2548828,0.14549561,0.13381349,111.0
37351,-0.6890974,0.11647415,-0.33799362,0.2548828,0.14549561,0.13381349,111.0
37352,-0.6890974,0.11647415,-0.33799362,0.16248779,0.08814698,0.07115479,111.0
37353,-0.56525517,0.694767,-0.37055588,0.16248779,0.08814698,0.07115479,111.0
37354,-0.56525517,0.694767,-0.37055588,-0.2824951,0.078588866,0.022302246,111.0
37355,-0.300251,0.83701324,0.15580368,-0.2824951,0.078588866,0.022302246,111.0
37356,-0.300251,0.83701324,0.15580368,-0.6711914,0.10620117,-0.09770508,111.0
37357,-0.2934847,0.43767548,0.59381104,-0.6711914,0.10620117,-0.09770508,111.0
37358,-0.2934847,0.43767548,0.59381104,-0.9430664,0.043542482,-0.10089111,111.0
37359,-0.2934847,0.43767548,0.59381104,-0.9430664,0.043542482,-0.10089111,111.0
37360,-0.3654151,-0.31279755,0.47545242,-0.9430664,0.043542482,-0.10089111,111.0
37361,-0.3654151,-0.31279755,0.47545242,-0.83474123,0.0010620117,-0.13381349,111.0
37362,-0.29902124,-1.3247757,0.11061096,-0.83474123,0.0010620117,-0.13381349,111.0
37363,-0.29902124,-1.3247757,0.11061096,-0.26762697,0.04885254,-0.032922365,111.0
37364,-0.22805977,-1.3488464,-0.30277252,-0.26762697,0.04885254,-0.032922365,111.0
37365,-0.22805977,-1.3488464,-0.30277252,-0.11257324,-0.0541626,-0.019116212,111.0
37366,-0.06977701,-0.5167694,-0.4682541,-0.11257324,-0.0541626,-0.019116212,111.0
37367,-0.06977701,-0.5167694,-0.4682541,-0.08602295,-0.004248047,0.047790527,111.0
37368,0.13263035,-0.011024475,-0.19588089,-0.08602295,-0.004248047,0.047790527,111.0
37369,0.13263035,-0.011024475,-0.19588089,-0.12850343,0.13699952,0.13275146,111.0
37370,0.27063084,-0.31902313,0.3623047,-0.12850343,0.13699952,0.13275146,111.0
37371,0.27063084,-0.31902313,0.3623047,0.095581055,0.3419678,0.16567384,111.0
37372,0.13870907,-0.69597626,0.5809784,0.095581055,0.3419678,0.16567384,111.0
37373,0.13870907,-0.69597626,0.5809784,0.11682129,0.3802002,0.27718505,111.0
37374,-0.31564426,-0.40331268,0.09574127,0.11682129,0.3802002,0.27718505,111.0
37375,-0.31564426,-0.40331268,0.09574127,0.14549561,0.1529297,0.10195313,111.0
37376,-0.64233446,-0.134552,-0.3835907,0.14549561,0.1529297,0.10195313,111.0
37377,-0.64233446,-0.134552,-0.3835907,0.4364868,-0.07646485,-0.022302246,111.0
37378,-0.64696074,0.11238861,-0.3252945,0.4364868,-0.07646485,-0.022302246,111.0
37379,-0.64696074,0.11238861,-0.3252945,0.51082766,-0.27506104,-0.19434814,111.0
37380,-0.4024806,0.73026276,-0.11721802,0.51082766,-0.27506104,-0.19434814,111.0
37381,-0.4024806,0.73026276,-0.11721802,0.30373535,-0.3706421,-0.1985962,111.0
37382,0.1319828,1.1867752,0.32811356,0.30373535,-0.3706421,-0.1985962,111.0
37383,0.1319828,1.1867752,0.32811356,-0.4715332,0.0,-0.007434082,111.0
37384,0.47317648,0.5389252,0.57263184,-0.4715332,0.0,-0.007434082,111.0
37385,0.47317648,0.5389252,0.57263184,-0.45772704,0.32497558,0.087084964,111.0
37386,0.3049326,-0.61403656,0.22806549,-0.45772704,0.32497558,0.087084964,111.0
37387,0.3049326,-0.61403656,0.22806549,0.025488282,0.2357666,-0.026550293,111.0
37388,-0.020336151,-0.5844803,-0.3109703,0.025488282,0.2357666,-0.026550293,111.0
37389,-0.020336151,-0.5844803,-0.3109703,-0.060534667,0.052038576,-0.0361084,111.0
37390,-0.33927917,-0.07530975,-0.5643501,-0.060534667,0.052038576,-0.0361084,111.0
37391,-0.33927917,-0.07530975,-0.5643501,0.19753419,-0.20921631,-0.0063720704,111.0
37392,-0.40981436,0.006843567,0.08546829,0.19753419,-0.20921631,-0.0063720704,111.0
37393,-0.40981436,0.006843567,0.08546829,-0.0063720704,-0.13062744,-0.013806152,111.0
37394,-0.25513458,0.20710754,0.6683388,-0.0063720704,-0.13062744,-0.013806152,111.0
37395,-0.25513458,0.20710754,0.6683388,-0.76677245,0.04885254,-0.2984253,111.0
37396,-0.35355854,0.016174316,0.24317932,-0.76677245,0.04885254,-0.2984253,111.0
37397,-0.35355854,0.016174316,0.24317932,-1.0875,0.1731079,-0.1274414,111.0
37398,-0.5362401,-0.76247406,-0.5027466,-1.0875,0.1731079,-0.1274414,111.0
37399,-0.5362401,-0.76247406,-0.5027466,-0.65207523,0.078588866,-0.23682861,111.0
37400,-0.26956797,-1.3110428,-0.47106934,-0.65207523,0.078588866,-0.23682861,111.0
37401,-0.26956797,-1.3110428,-0.47106934,-0.14549561,0.08283692,-0.5235718,111.0
37402,0.21071291,-0.9807434,0.08946228,-0.14549561,0.08283692,-0.5235718,111.0
37403,0.21071291,-0.9807434,0.08946228,-0.14018555,0.10620117,-0.47471926,111.0
37404,0.4013586,-0.37859344,0.22528076,-0.14018555,0.10620117,-0.47471926,111.0
37405,0.4013586,-0.37859344,0.22528076,0.3695801,-0.22514649,-0.19222413,111.0
37406,0.24863815,-0.088157654,0.01966858,0.3695801,-0.22514649,-0.19222413,111.0
37407,0.24863815,-0.088157654,0.01966858,0.8241211,-0.29948732,-0.36533204,111.0
37408,0.42464304,0.7566681,0.23685074,0.8241211,-0.29948732,-0.36533204,111.0
37409,0.42464304,0.7566681,0.23685074,-0.25063476,-0.16885987,0.0010620117,111.0
37410,0.7568898,1.1759644,0.40143204,-0.25063476,-0.16885987,0.0010620117,111.0
37411,0.7568898,1.1759644,0.40143204,-0.6881836,0.32922363,-0.009558106,111.0
37412,0.28783607,0.33966064,0.0015792847,-0.6881836,0.32922363,-0.009558106,111.0
37413,0.28783607,0.33966064,0.0015792847,-0.4258667,0.14018555,0.098767094,111.0
37414,-0.3464527,-0.447464,-0.37407684,-0.4258667,0.14018555,0.098767094,111.0
37415,-0.3464527,-0.447464,-0.37407684,-0.11151123,-0.025488282,-0.007434082,111.0
37416,-0.33651304,-0.674942,-0.30834198,-0.11151123,-0.025488282,-0.007434082,111.0
37417,-0.33651304,-0.674942,-0.30834198,0.07965088,-0.013806152,-0.022302246,111.0
37418,-0.1699915,-0.5845413,0.06929016,0.07965088,-0.013806152,-0.022302246,111.0
37419,-0.1699915,-0.5845413,0.06929016,0.13168946,0.045666505,-0.095581055,111.0
37420,-0.09657669,-0.4207306,0.37446594,0.13168946,0.045666505,-0.095581055,111.0
37421,-0.09657669,-0.4207306,0.37446594,-0.011682129,0.03186035,0.07115479,111.0
37422,-0.12722445,-0.19791412,0.3987198,-0.011682129,0.03186035,0.07115479,111.0
37423,-0.12722445,-0.19791412,0.3987198,0.0,0.09770508,0.17416993,111.0
37424,-0.19191647,-0.032913208,0.15878296,0.0,0.09770508,0.17416993,111.0
