,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
34509,type,type,type,type,type,type,type
34510,0.08055085,-0.35694385,0.48019338,0.095581055,-0.0722168,0.009558106,100.0
34511,0.15720192,-0.55347514,0.45624942,0.095581055,-0.0722168,0.009558106,100.0
34512,0.059416324,-0.73987484,0.2613008,0.095581055,-0.0722168,0.009558106,100.0
34513,0.059416324,-0.73987484,0.2613008,0.52250975,-0.107263185,0.011682129,100.0
34514,-0.073438615,-0.579937,0.087776005,0.52250975,-0.107263185,0.011682129,100.0
34515,-0.073438615,-0.579937,0.087776005,0.6425171,-0.16779785,0.04991455,100.0
34516,-0.07690275,-0.061459303,-0.03224504,0.6425171,-0.16779785,0.04991455,100.0
34517,-0.07690275,-0.061459303,-0.03224504,0.22408448,-0.090270996,0.06690674,100.0
34518,-0.07690275,-0.061459303,-0.03224504,-0.06159668,-0.053100586,0.04991455,100.0
34519,-0.010447979,0.3175683,-0.12597916,-0.06159668,-0.053100586,0.04991455,100.0
34520,0.025479496,0.29068804,-0.1672262,-0.06159668,-0.053100586,0.04991455,100.0
34521,0.025479496,0.29068804,-0.1672262,-0.1539917,-0.047790527,0.035046387,100.0
34522,-0.003554374,0.060663223,-0.12690839,-0.1539917,-0.047790527,0.035046387,100.0
34523,-0.003554374,0.060663223,-0.12690839,-0.107263185,-0.0541626,0.047790527,100.0
34524,-0.056359112,-0.10120082,-0.045069188,-0.107263185,-0.0541626,0.047790527,100.0
34525,-0.056359112,-0.10120082,-0.045069188,-0.004248047,-0.06903076,0.06478272,100.0
34526,-0.07894957,-0.07501578,0.01363948,-0.004248047,-0.06903076,0.06478272,100.0
34527,-0.07894957,-0.07501578,0.01363948,-0.0063720704,-0.059472658,0.045666505,100.0
34528,-0.06146288,0.03324914,0.030528277,-0.0063720704,-0.059472658,0.045666505,100.0
34529,-0.06146288,0.03324914,0.030528277,-0.081774905,-0.028674318,0.011682129,100.0
34530,-0.0117435455,-0.0587523,0.04692018,-0.081774905,-0.028674318,0.011682129,100.0
34531,-0.0117435455,-0.0587523,0.04692018,-0.093457036,-0.019116212,-0.014868164,100.0
34532,0.01914519,-0.21853518,0.061364263,-0.093457036,-0.019116212,-0.014868164,100.0
34533,0.01914519,-0.21853518,0.061364263,-0.047790527,-0.022302246,-0.016992187,100.0
34534,0.03821653,-0.33023596,0.051654875,-0.047790527,-0.022302246,-0.016992187,100.0
34535,0.03821653,-0.33023596,0.051654875,0.0031860352,-0.02442627,-0.012744141,100.0
34536,0.06342232,-0.33291435,0.017276049,0.0031860352,-0.02442627,-0.012744141,100.0
34537,0.06342232,-0.33291435,0.017276049,-0.0053100586,-0.022302246,-0.010620117,100.0
34538,0.06721735,-0.29658055,-0.014670372,-0.0053100586,-0.022302246,-0.010620117,100.0
34539,0.06721735,-0.29658055,-0.014670372,-0.03079834,-0.019116212,-0.011682129,100.0
