,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
28365,type,type,type,type,type,type,type
28366,0.09353566,-0.44617462,0.26042938,0.452417,-0.06796875,0.33134767,92.0
28367,0.09353566,-0.44617462,0.26042938,0.85598147,-0.083898924,0.3079834,92.0
28368,0.062120914,-7.6293945E-4,-0.025260925,0.85598147,-0.083898924,0.3079834,92.0
28369,0.062120914,-7.6293945E-4,-0.025260925,0.86978763,-0.12213135,0.35895997,92.0
28370,-0.10583305,0.5579605,-0.11727905,0.86978763,-0.12213135,0.35895997,92.0
28371,-0.10583305,0.5579605,-0.11727905,-0.06690674,-0.078588866,0.057348635,92.0
28372,-0.19931483,0.74031067,-0.007946014,-0.06690674,-0.078588866,0.057348635,92.0
28373,-0.19931483,0.74031067,-0.007946014,-0.541626,0.038232423,-0.05522461,92.0
28374,-0.09140992,0.35661316,0.14090729,-0.541626,0.038232423,-0.05522461,92.0
28375,-0.09140992,0.35661316,0.14090729,-0.4364868,0.04885254,0.053100586,92.0
28376,0.007877827,-0.01550293,0.14277649,-0.4364868,0.04885254,0.053100586,92.0
28377,0.007877827,-0.01550293,0.14277649,-0.26019287,0.052038576,0.08920898,92.0
28378,-0.02890277,-0.12324524,-0.012901306,-0.26019287,0.052038576,0.08920898,92.0
28379,-0.02890277,-0.12324524,-0.012901306,-0.08602295,0.039294433,0.1274414,92.0
28380,-0.061623096,-0.10119629,-0.16942596,-0.08602295,0.039294433,0.1274414,92.0
28381,-0.061623096,-0.10119629,-0.16942596,0.02442627,0.015930176,0.118945315,92.0
28382,-0.061623096,-0.10119629,-0.16942596,0.098767094,0.023364259,0.057348635,92.0
28383,-0.042901993,-0.046791077,-0.17601776,0.098767094,0.023364259,0.057348635,92.0
28384,0.018107653,-0.03087616,-0.084220886,0.098767094,0.023364259,0.057348635,92.0
28385,0.018107653,-0.03087616,-0.084220886,0.12319336,0.040356446,0.0180542,92.0
28386,0.018107653,-0.03087616,-0.084220886,0.12319336,0.040356446,0.0180542,92.0
28387,0.11072636,-0.028335571,-0.044425964,0.12319336,0.040356446,0.0180542,92.0
28388,0.11072636,-0.028335571,-0.044425964,-0.013806152,0.047790527,-0.029736329,92.0
28389,0.16435003,-0.039779663,-0.07733917,-0.013806152,0.047790527,-0.029736329,92.0
28390,0.16435003,-0.039779663,-0.07733917,-0.04991455,0.04991455,-0.06159668,92.0
28391,0.15855527,-0.096328735,-0.104766846,-0.04991455,0.04991455,-0.06159668,92.0
28392,0.15855527,-0.096328735,-0.104766846,0.013806152,0.027612304,-0.046728518,92.0
28393,0.12913918,-0.14710999,-0.092453,0.013806152,0.027612304,-0.046728518,92.0
28394,0.12913918,-0.14710999,-0.092453,0.08602295,0.012744141,-0.047790527,92.0
28395,0.08285236,-0.13645935,-0.08268738,0.08602295,0.012744141,-0.047790527,92.0
28396,0.08285236,-0.13645935,-0.08268738,0.09239502,0.004248047,-0.06159668,92.0
28397,0.03737569,-0.0797348,-0.103588104,0.09239502,0.004248047,-0.06159668,92.0
28398,0.03737569,-0.0797348,-0.103588104,0.004248047,0.004248047,-0.04991455,92.0
28399,7.379055E-4,-0.044296265,-0.13824081,0.004248047,0.004248047,-0.04991455,92.0
28400,7.379055E-4,-0.044296265,-0.13824081,-0.08071289,-0.010620117,-0.014868164,92.0
28401,-0.033015728,-0.018562317,-0.18158722,-0.08071289,-0.010620117,-0.014868164,92.0
28402,-0.033015728,-0.018562317,-0.18158722,-0.20178223,-0.010620117,0.015930176,92.0
28403,-0.081759214,0.014862061,-0.23667526,-0.20178223,-0.010620117,0.015930176,92.0
28404,-0.081759214,0.014862061,-0.23667526,-0.26975098,-0.0010620117,0.04248047,92.0
28405,-0.13280249,0.03792572,-0.3247795,-0.26975098,-0.0010620117,0.04248047,92.0
28406,-0.13280249,0.03792572,-0.3247795,-0.39613038,0.020178223,0.09451904,92.0
28407,-0.1710124,0.04714966,-0.41524124,-0.39613038,0.020178223,0.09451904,92.0
28408,-0.1710124,0.04714966,-0.41524124,-0.544812,0.04248047,0.1539917,92.0
28409,-0.1710124,0.04714966,-0.41524124,-0.75721437,0.040356446,0.28355715,92.0
28410,-0.19598961,0.06048584,-0.48524475,-0.75721437,0.040356446,0.28355715,92.0
28411,-0.2511642,0.050582886,-0.5341644,-0.75721437,0.040356446,0.28355715,92.0
28412,-0.2511642,0.050582886,-0.5341644,-0.7434082,0.020178223,0.39506838,92.0
28413,-0.40493536,-0.050559998,-0.5490837,-0.7434082,0.020178223,0.39506838,92.0
28414,-0.40493536,-0.050559998,-0.5490837,-0.3419678,-0.09664307,0.10089111,92.0
28415,-0.44468784,0.029327393,-0.54013443,-0.3419678,-0.09664307,0.10089111,92.0
28416,-0.44468784,0.029327393,-0.54013443,-0.28674316,-0.121069334,0.11151123,92.0
28417,-0.24091864,0.3485489,-0.54756165,-0.28674316,-0.121069334,0.11151123,92.0
28418,-0.24091864,0.3485489,-0.54756165,-0.44816896,-0.14124756,0.17416993,92.0
28419,-0.11623335,0.5023346,-0.5371971,-0.44816896,-0.14124756,0.17416993,92.0
28420,-0.11623335,0.5023346,-0.5371971,-0.40462646,-0.18054199,0.18797608,92.0
