,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
32891,type,type,type,type,type,type,type
32892,0.55903506,0.29032898,-0.77648926,0.081774905,-0.2793091,-0.5501221,99.0
32893,0.55903506,0.29032898,-0.77648926,-0.2347046,-0.27506104,-0.5076416,99.0
32894,0.55903506,0.29032898,-0.77648926,-0.5150757,-0.23789063,-0.6435791,99.0
32895,0.43806052,0.3520584,-0.5453987,-0.5150757,-0.23789063,-0.6435791,99.0
32896,0.23107576,-0.014633179,-0.08489227,-0.5150757,-0.23789063,-0.6435791,99.0
32897,0.23107576,-0.014633179,-0.08489227,-0.48533937,-0.2166504,-0.73703617,99.0
32898,0.26926005,-0.5647583,0.20031357,-0.48533937,-0.2166504,-0.73703617,99.0
32899,0.26926005,-0.5647583,0.20031357,-0.18691407,-0.27506104,-0.7614624,99.0
32900,0.52635777,-0.7592392,0.17414093,-0.18691407,-0.27506104,-0.7614624,99.0
32901,0.52635777,-0.7592392,0.17414093,-0.14230958,-0.28355715,-0.88040775,99.0
32902,0.52635777,-0.7592392,0.17414093,-0.2527588,-0.22939454,-1.0503296,99.0
32903,0.76306623,-0.39704895,0.08722687,-0.2527588,-0.22939454,-1.0503296,99.0
32904,0.85535043,0.1209259,0.12271118,-0.2527588,-0.22939454,-1.0503296,99.0
32905,0.85535043,0.1209259,0.12271118,-0.24957275,-0.2177124,-1.2053833,99.0
32906,0.82677305,0.41918945,0.16785812,-0.24957275,-0.2177124,-1.2053833,99.0
32907,0.82677305,0.41918945,0.16785812,-0.27399904,-0.1996582,-1.2414917,99.0
32908,0.850481,0.50354004,0.030197144,-0.27399904,-0.1996582,-1.2414917,99.0
32909,0.850481,0.50354004,0.030197144,-0.45772704,-0.21346436,-1.1958252,99.0
32910,0.9655044,0.5448837,-0.11323547,-0.45772704,-0.21346436,-1.1958252,99.0
32911,0.9655044,0.5448837,-0.11323547,-0.7338501,-0.24107666,-1.1841431,99.0
32912,1.0500158,0.5486603,0.031188965,-0.7338501,-0.24107666,-1.1841431,99.0
32913,1.0500158,0.5486603,0.031188965,-0.8251831,-0.28674316,-1.2181275,99.0
32914,1.0413555,0.42092133,0.36306,-0.8251831,-0.28674316,-1.2181275,99.0
32915,1.0413555,0.42092133,0.36306,-0.63933104,-0.32178956,-1.263794,99.0
32916,0.9972446,0.17886353,0.47014618,-0.63933104,-0.32178956,-1.263794,99.0
32917,0.9972446,0.17886353,0.47014618,-0.3334717,-0.34940186,-1.2032593,99.0
32918,0.95645046,0.02406311,0.16796112,-0.3334717,-0.34940186,-1.2032593,99.0
32919,0.95645046,0.02406311,0.16796112,-0.10301514,-0.34833986,-1.1586548,99.0
32920,0.95645046,0.02406311,0.16796112,0.06903076,-0.30373535,-1.1522827,99.0
32921,0.8573723,0.1295166,-0.292305,0.06903076,-0.30373535,-1.1522827,99.0
32922,0.74638367,0.41497803,-0.63238907,0.06903076,-0.30373535,-1.1522827,99.0
32923,0.74638367,0.41497803,-0.63238907,0.2442627,-0.2782471,-1.0938721,99.0
32924,0.7620727,0.70861816,-0.8140526,0.2442627,-0.2782471,-1.0938721,99.0
32925,0.7620727,0.70861816,-0.8140526,0.25700685,-0.22727051,-1.0280274,99.0
32926,0.8811548,0.91430664,-0.8761444,0.25700685,-0.22727051,-1.0280274,99.0
32927,0.8811548,0.91430664,-0.8761444,0.040356446,-0.11682129,-1.0120972,99.0
32928,0.9694135,0.96528625,-0.877758,0.040356446,-0.11682129,-1.0120972,99.0
32929,0.9694135,0.96528625,-0.877758,-0.2538208,-0.012744141,-1.0439576,99.0
32930,0.9587951,0.8724289,-0.8358116,-0.2538208,-0.012744141,-1.0439576,99.0
32931,0.9587951,0.8724289,-0.8358116,-0.4725952,0.032922365,-1.0821899,99.0
32932,0.8745434,0.70697784,-0.72698593,-0.4725952,0.032922365,-1.0821899,99.0
32933,0.8745434,0.70697784,-0.72698593,-0.5246338,0.007434082,-1.1140503,99.0
32934,0.7492318,0.49494934,-0.58691025,-0.5246338,0.007434082,-1.1140503,99.0
32935,0.7492318,0.49494934,-0.58691025,-0.4619751,-0.083898924,-1.1161743,99.0
