,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
36139,type,type,type,type,type,type,type
36140,0.04917143,0.036771134,-0.028967738,-0.07540283,0.052038576,-0.014868164,103.0
36141,0.04917143,0.036771134,-0.028967738,-0.023364259,0.022302246,0.007434082,103.0
36142,0.007965074,-0.052956134,-0.11536169,-0.023364259,0.022302246,0.007434082,103.0
36143,0.007965074,-0.052956134,-0.11536169,0.04460449,0.019116212,-0.0031860352,103.0
36144,-0.010974132,-0.04396403,-0.13325614,0.04460449,0.019116212,-0.0031860352,103.0
36145,-0.010974132,-0.04396403,-0.13325614,-0.0031860352,0.011682129,-0.011682129,103.0
36146,-0.010974132,-0.04396403,-0.13325614,-0.013806152,0.008496094,-0.010620117,103.0
36147,-0.06411378,0.003769204,-0.10279632,-0.013806152,0.008496094,-0.010620117,103.0
36148,-0.08894972,-0.0026975274,-0.048728757,-0.013806152,0.008496094,-0.010620117,103.0
36149,-0.08894972,-0.0026975274,-0.048728757,-0.029736329,0.0021240234,-0.0053100586,103.0
36150,-0.06385997,-0.027939275,-0.0071958974,-0.029736329,0.0021240234,-0.0053100586,103.0
36151,-0.06385997,-0.027939275,-0.0071958974,-0.04141846,-0.0031860352,0.010620117,103.0
36152,-0.03813632,-0.038586766,0.00762219,-0.04141846,-0.0031860352,0.010620117,103.0
36153,-0.03813632,-0.038586766,0.00762219,-0.021240234,-0.0180542,0.025488282,103.0
36154,-0.023538843,0.0011374205,0.016156346,-0.021240234,-0.0180542,0.025488282,103.0
36155,-0.023538843,0.0011374205,0.016156346,-0.021240234,-0.021240234,0.035046387,103.0
36156,0.019865215,0.073944606,0.040842563,-0.021240234,-0.021240234,0.035046387,103.0
36157,0.019865215,0.073944606,0.040842563,-0.04460449,-0.012744141,0.025488282,103.0
36158,0.059959553,0.08740276,0.05252269,-0.04460449,-0.012744141,0.025488282,103.0
36159,0.059959553,0.08740276,0.05252269,-0.04885254,-0.0063720704,0.013806152,103.0
36160,0.061737176,0.050439782,0.059059165,-0.04885254,-0.0063720704,0.013806152,103.0
36161,0.061737176,0.050439782,0.059059165,-0.03186035,0.0,0.0063720704,103.0
36162,0.04956064,0.03623806,0.056854263,-0.03186035,0.0,0.0063720704,103.0
36163,0.04956064,0.03623806,0.056854263,-0.033984374,0.008496094,-0.007434082,103.0
36164,0.060327224,0.03288449,0.03214112,-0.033984374,0.008496094,-0.007434082,103.0
36165,0.060327224,0.03288449,0.03214112,-0.033984374,0.008496094,-0.013806152,103.0
36166,0.08424811,0.018360816,-0.014265135,-0.033984374,0.008496094,-0.013806152,103.0
36167,0.08424811,0.018360816,-0.014265135,-0.033984374,0.007434082,-0.022302246,103.0
36168,0.093069874,0.016849298,-0.056346193,-0.033984374,0.007434082,-0.022302246,103.0
36169,0.093069874,0.016849298,-0.056346193,-0.052038576,0.012744141,-0.033984374,103.0
36170,0.09071567,0.018899359,-0.09141485,-0.052038576,0.012744141,-0.033984374,103.0
36171,0.09071567,0.018899359,-0.09141485,-0.07540283,0.0180542,-0.060534667,103.0
