,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
32041,type,type,type,type,type,type,type
32042,-0.20181179,0.0951004,-0.043258667,-0.71367186,-0.16248779,-0.22089843,105.0
32043,-0.20181179,0.0951004,-0.043258667,-0.26019287,0.1539917,0.19328614,105.0
32044,-0.09807062,-0.4053154,-0.5833969,-0.26019287,0.1539917,0.19328614,105.0
32045,-0.09807062,-0.4053154,-0.5833969,-0.2527588,0.053100586,0.09664307,105.0
32046,-0.1558857,-0.35888672,-0.47305298,-0.2527588,0.053100586,0.09664307,105.0
32047,-0.1558857,-0.35888672,-0.47305298,-0.2357666,0.040356446,0.06903076,105.0
32048,-0.020460606,-0.20449066,-0.22161865,-0.2357666,0.040356446,0.06903076,105.0
32049,-0.020460606,-0.20449066,-0.22161865,-0.11257324,0.09239502,0.07965088,105.0
32050,0.030347824,-0.08545685,-0.0647316,-0.11257324,0.09239502,0.07965088,105.0
32051,0.030347824,-0.08545685,-0.0647316,-0.12531738,0.08602295,0.06690674,105.0
32052,-0.024830341,-0.091033936,-0.100746155,-0.12531738,0.08602295,0.06690674,105.0
32053,-0.024830341,-0.091033936,-0.100746155,-0.19647217,0.058410645,0.04248047,105.0
32054,-0.013431072,-0.26452637,-0.21081161,-0.19647217,0.058410645,0.04248047,105.0
32055,-0.013431072,-0.26452637,-0.21081161,-0.15505372,0.015930176,0.028674318,105.0
32056,-0.013431072,-0.26452637,-0.21081161,-0.025488282,-0.03079834,0.0361084,105.0
32057,0.15057135,-0.49149323,-0.23005295,-0.025488282,-0.03079834,0.0361084,105.0
32058,0.30099916,-0.4090042,-0.25318527,-0.025488282,-0.03079834,0.0361084,105.0
32059,0.30099916,-0.4090042,-0.25318527,0.098767094,0.02442627,0.011682129,105.0
32060,0.26581144,0.027153015,-0.27788925,0.098767094,0.02442627,0.011682129,105.0
32061,0.26581144,0.027153015,-0.27788925,0.070092775,0.021240234,-0.020178223,105.0
32062,0.099135876,0.3595047,-0.17116547,0.070092775,0.021240234,-0.020178223,105.0
32063,0.099135876,0.3595047,-0.17116547,-0.070092775,0.016992187,-0.052038576,105.0
32064,0.026452541,0.31887817,0.074798584,-0.070092775,0.016992187,-0.052038576,105.0
32065,0.026452541,0.31887817,0.074798584,-0.098767094,0.0053100586,-0.027612304,105.0
32066,0.07656956,0.08175278,0.35951996,-0.098767094,0.0053100586,-0.027612304,105.0
32067,0.07656956,0.08175278,0.35951996,-0.08071289,0.014868164,-0.014868164,105.0
32068,0.09751034,-0.047367096,0.473835,-0.08071289,0.014868164,-0.014868164,105.0
32069,0.09751034,-0.047367096,0.473835,-0.10195313,0.0361084,-0.012744141,105.0
32070,-0.01847601,-0.035072327,0.30885315,-0.10195313,0.0361084,-0.012744141,105.0
32071,-0.01847601,-0.035072327,0.30885315,-0.078588866,0.081774905,-0.010620117,105.0
32072,-0.26288843,0.0066947937,0.038528442,-0.078588866,0.081774905,-0.010620117,105.0
32073,-0.26288843,0.0066947937,0.038528442,-0.0361084,0.12850343,-0.04460449,105.0
32074,-0.4720173,-0.045318604,-0.06943512,-0.0361084,0.12850343,-0.04460449,105.0
32075,-0.4720173,-0.045318604,-0.06943512,-0.047790527,0.12850343,-0.078588866,105.0
