,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
34823,type,type,type,type,type,type,type
34824,-0.031832695,-0.044799805,0.16647339,-0.40250245,0.095581055,0.09770508,98.0
34825,-0.031832695,-0.044799805,0.16647339,-0.38975832,0.22196046,0.046728518,98.0
34826,-0.074355125,-0.23795128,0.08135986,-0.38975832,0.22196046,0.046728518,98.0
34827,-0.074355125,-0.23795128,0.08135986,-0.3079834,0.26762697,0.087084964,98.0
34828,-0.15632248,-0.40352058,0.0038146973,-0.3079834,0.26762697,0.087084964,98.0
34829,-0.15632248,-0.40352058,0.0038146973,-0.2527588,0.29630128,0.16036378,98.0
34830,-0.24638367,-0.46273422,-0.116363525,-0.2527588,0.29630128,0.16036378,98.0
34831,-0.24638367,-0.46273422,-0.116363525,-0.16567384,0.26550293,0.29630128,98.0
34832,-0.26400185,-0.37519264,-0.23997498,-0.16567384,0.26550293,0.29630128,98.0
34833,-0.26400185,-0.37519264,-0.23997498,-0.15823975,0.24001466,0.36745605,98.0
34834,-0.15918732,-0.18948364,-0.32048035,-0.15823975,0.24001466,0.36745605,98.0
34835,-0.15918732,-0.18948364,-0.32048035,-0.098767094,0.23258057,0.4364868,98.0
34836,-0.014093399,0.036071777,-0.28764343,-0.098767094,0.23258057,0.4364868,98.0
34837,-0.014093399,0.036071777,-0.28764343,-0.16673584,0.24213867,0.47790527,98.0
34838,-0.014093399,0.036071777,-0.28764343,-0.2166504,0.2357666,0.4991455,98.0
34839,0.08125496,0.2366581,-0.14195251,-0.2166504,0.2357666,0.4991455,98.0
34840,0.13333893,0.31626892,-0.018157959,-0.2166504,0.2357666,0.4991455,98.0
34841,0.13333893,0.31626892,-0.018157959,-0.18266602,0.23789063,0.53100586,98.0
34842,0.1904602,0.33911133,0.016464233,-0.18266602,0.23789063,0.53100586,98.0
34843,0.1904602,0.33911133,0.016464233,-0.17735596,0.26019287,0.57242435,98.0
34844,0.22003174,0.35152626,-0.021697998,-0.17735596,0.26019287,0.57242435,98.0
34845,0.22003174,0.35152626,-0.021697998,-0.17735596,0.29948732,0.5787964,98.0
34846,0.20645809,0.37578964,-0.07159424,-0.17735596,0.29948732,0.5787964,98.0
34847,0.20645809,0.37578964,-0.07159424,-0.22196046,0.31223145,0.56605226,98.0
34848,0.19612408,0.4095192,-0.100982666,-0.22196046,0.31223145,0.56605226,98.0
34849,0.19612408,0.4095192,-0.100982666,-0.24851075,0.3090454,0.5533081,98.0
34850,0.21329594,0.36992455,-0.131073,-0.24851075,0.3090454,0.5533081,98.0
34851,0.21329594,0.36992455,-0.131073,-0.22089843,0.3058594,0.52038574,98.0
34852,0.22826576,0.3335495,-0.17207336,-0.22089843,0.3058594,0.52038574,98.0
34853,0.22826576,0.3335495,-0.17207336,-0.21877442,0.30479738,0.5246338,98.0
34854,0.22954941,0.36650848,-0.20396423,-0.21877442,0.30479738,0.5246338,98.0
34855,0.22954941,0.36650848,-0.20396423,-0.25806886,0.2984253,0.5299439,98.0
34856,0.22954941,0.36650848,-0.20396423,-0.29099122,0.270813,0.544812,98.0
34857,0.25131607,0.4221363,-0.1971283,-0.29099122,0.270813,0.544812,98.0
34858,0.31217384,0.46068192,-0.14826965,-0.29099122,0.270813,0.544812,98.0
34859,0.31217384,0.46068192,-0.14826965,-0.28674316,0.25063476,0.5607422,98.0
34860,0.38217258,0.47026634,-0.092300415,-0.28674316,0.25063476,0.5607422,98.0
34861,0.38217258,0.47026634,-0.092300415,-0.2538208,0.21877442,0.58304447,98.0
34862,0.4210329,0.480608,-0.08047485,-0.2538208,0.21877442,0.58304447,98.0
34863,0.4210329,0.480608,-0.08047485,-0.25700685,0.18479005,0.61065674,98.0
34864,0.41397476,0.46932602,-0.13807678,-0.25700685,0.18479005,0.61065674,98.0
34865,0.41397476,0.46932602,-0.13807678,-0.29630128,0.16673584,0.5957886,98.0
34866,0.38154602,0.42443657,-0.18841553,-0.29630128,0.16673584,0.5957886,98.0
