,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
34524,type,type,type,type,type,type,type
34525,0.16728881,-0.4372475,0.77570724,-0.18797608,-0.20921631,-0.44710693,109.0
34526,0.16728881,-0.4372475,0.77570724,-0.21134034,-0.20390625,-0.4364868,109.0
34527,0.32125783,-0.3103205,0.68960875,-0.21134034,-0.20390625,-0.4364868,109.0
34528,0.32125783,-0.3103205,0.68960875,-0.27399904,-0.23364258,-0.40462646,109.0
34529,0.30749452,-0.124757856,0.48930907,-0.27399904,-0.23364258,-0.40462646,109.0
34530,0.30749452,-0.124757856,0.48930907,-0.30373535,-0.2623169,-0.3791382,109.0
34531,0.23553419,0.0026961565,0.3406294,-0.30373535,-0.2623169,-0.3791382,109.0
34532,0.23553419,0.0026961565,0.3406294,-0.31860352,-0.26444092,-0.32709962,109.0
34533,0.15994835,0.089827806,0.14883411,-0.31860352,-0.26444092,-0.32709962,109.0
34534,0.15994835,0.089827806,0.14883411,-0.2793091,-0.23364258,-0.26868898,109.0
34535,0.115983546,0.11143744,-0.09575206,-0.2793091,-0.23364258,-0.26868898,109.0
34536,0.115983546,0.11143744,-0.09575206,-0.11151123,-0.18372802,-0.21452637,109.0
34537,0.115983546,0.11143744,-0.09575206,0.09239502,-0.1263794,-0.20921631,109.0
34538,0.14641237,0.0605855,-0.26924086,0.09239502,-0.1263794,-0.20921631,109.0
34539,0.20915872,0.08978921,-0.3810299,0.09239502,-0.1263794,-0.20921631,109.0
34540,0.20915872,0.08978921,-0.3810299,0.20072022,-0.05522461,-0.23789063,109.0
34541,0.25842804,0.20829378,-0.4868796,0.20072022,-0.05522461,-0.23789063,109.0
34542,0.25842804,0.20829378,-0.4868796,0.14124756,0.008496094,-0.24957275,109.0
34543,0.28667408,0.21188648,-0.6089861,0.14124756,0.008496094,-0.24957275,109.0
34544,0.28667408,0.21188648,-0.6089861,0.06159668,0.043542482,-0.2888672,109.0
34545,0.3001889,0.042922273,-0.6816957,0.06159668,0.043542482,-0.2888672,109.0
34546,0.3001889,0.042922273,-0.6816957,0.016992187,0.03079834,-0.3695801,109.0
34547,0.35782695,-0.076636314,-0.62266374,0.016992187,0.03079834,-0.3695801,109.0
34548,0.35782695,-0.076636314,-0.62266374,-0.052038576,-0.0180542,-0.47896728,109.0
34549,0.5026678,0.0039009154,-0.43294543,-0.052038576,-0.0180542,-0.47896728,109.0
34550,0.5026678,0.0039009154,-0.43294543,-0.16567384,-0.059472658,-0.542688,109.0
34551,0.60745656,0.18551819,-0.20123917,-0.16567384,-0.059472658,-0.542688,109.0
34552,0.60745656,0.18551819,-0.20123917,-0.30479738,-0.09664307,-0.60109866,109.0
34553,0.6134188,0.24405664,0.043989122,-0.30479738,-0.09664307,-0.60109866,109.0
34554,0.6134188,0.24405664,0.043989122,-0.33771974,-0.12956543,-0.6425171,109.0
34555,0.6134188,0.24405664,0.043989122,-0.31435546,-0.11044922,-0.64995116,109.0
