,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
33988,type,type,type,type,type,type,type
33989,0.021976471,0.17137909,-0.06484985,0.022302246,0.007434082,-0.03717041,125.0
33990,-0.031332016,-0.12594604,-0.21928787,0.022302246,0.007434082,-0.03717041,125.0
33991,-0.07272148,-0.31604004,-0.08817673,0.022302246,0.007434082,-0.03717041,125.0
33992,-0.07272148,-0.31604004,-0.08817673,0.08496094,-0.03079834,-0.038232423,125.0
33993,-0.026316643,-0.17408752,0.046157837,0.08496094,-0.03079834,-0.038232423,125.0
33994,-0.026316643,-0.17408752,0.046157837,0.04885254,-0.03079834,-0.012744141,125.0
33995,0.039627075,0.08131409,0.076660156,0.04885254,-0.03079834,-0.012744141,125.0
33996,0.039627075,0.08131409,0.076660156,-0.023364259,-0.009558106,-0.028674318,125.0
33997,0.039627075,0.08131409,0.076660156,-0.046728518,0.013806152,-0.033984374,125.0
33998,0.06459999,0.18795013,0.03901291,-0.046728518,0.013806152,-0.033984374,125.0
33999,0.046369553,0.09534454,-0.015018463,-0.046728518,0.013806152,-0.033984374,125.0
34000,0.046369553,0.09534454,-0.015018463,-0.06478272,0.0180542,-0.026550293,125.0
34001,0.028526306,0.028053284,-0.024234772,-0.06478272,0.0180542,-0.026550293,125.0
34002,0.028526306,0.028053284,-0.024234772,-0.060534667,0.021240234,-0.033984374,125.0
34003,-0.014410019,-0.09207153,-0.032463074,-0.060534667,0.021240234,-0.033984374,125.0
34004,-0.014410019,-0.09207153,-0.032463074,-0.011682129,0.0010620117,-0.0180542,125.0
34005,-0.014410019,-0.09207153,-0.032463074,0.07752686,-0.02442627,-0.03186035,125.0
34006,-0.05115223,-0.17254639,-0.02783966,0.07752686,-0.02442627,-0.03186035,125.0
34007,-0.057816505,-0.14796448,-0.009700775,0.07752686,-0.02442627,-0.03186035,125.0
34008,-0.057816505,-0.14796448,-0.009700775,0.1274414,-0.040356446,-0.06265869,125.0
34009,-0.0013923645,0.0028839111,0.02545166,0.1274414,-0.040356446,-0.06265869,125.0
34010,-0.0013923645,0.0028839111,0.02545166,0.07434082,-0.029736329,-0.050976563,125.0
34011,0.075826645,0.15861511,0.048484802,0.07434082,-0.029736329,-0.050976563,125.0
34012,0.075826645,0.15861511,0.048484802,-0.021240234,0.007434082,-0.027612304,125.0
34013,0.07253933,0.16255951,0.03262329,-0.021240234,0.007434082,-0.027612304,125.0
34014,0.07253933,0.16255951,0.03262329,-0.06796875,0.03186035,-0.04248047,125.0
34015,0.021764755,0.026626587,-0.011146545,-0.06796875,0.03186035,-0.04248047,125.0
34016,0.021764755,0.026626587,-0.011146545,-0.03079834,0.0063720704,-0.025488282,125.0
34017,0.010002136,-0.08332062,-0.035736084,-0.03079834,0.0063720704,-0.025488282,125.0
34018,0.010002136,-0.08332062,-0.035736084,0.02442627,-0.033984374,0.053100586,125.0
34019,0.044708252,-0.049224854,-0.005882263,0.02442627,-0.033984374,0.053100586,125.0
34020,0.044708252,-0.049224854,-0.005882263,0.019116212,-0.053100586,0.15717773,125.0
34021,0.049463272,0.047958374,0.023433685,0.019116212,-0.053100586,0.15717773,125.0
34022,0.049463272,0.047958374,0.023433685,-0.060534667,-0.045666505,0.28568116,125.0
34023,0.049463272,0.047958374,0.023433685,0.36427003,-0.0722168,-0.11363526,125.0
34024,-0.17770195,-0.16243744,-0.02336502,0.36427003,-0.0722168,-0.11363526,125.0
34025,-0.23773098,-0.23200989,0.018634796,0.36427003,-0.0722168,-0.11363526,125.0
34026,-0.23773098,-0.23200989,0.018634796,0.28461915,-0.13912354,0.0180542,125.0
34027,0.030762672,0.15052032,0.11872864,0.28461915,-0.13912354,0.0180542,125.0
34028,0.030762672,0.15052032,0.11872864,0.09451904,-0.04460449,0.0031860352,125.0
34029,0.14235878,0.356575,0.094581604,0.09451904,-0.04460449,0.0031860352,125.0
34030,0.14235878,0.356575,0.094581604,0.013806152,-0.011682129,-0.03186035,125.0
34031,0.14235878,0.356575,0.094581604,-0.04885254,0.02442627,-0.0031860352,125.0
34032,0.13423538,0.27926636,0.027385712,-0.04885254,0.02442627,-0.0031860352,125.0
34033,0.0851593,0.14801025,0.00825882,-0.04885254,0.02442627,-0.0031860352,125.0
34034,0.0851593,0.14801025,0.00825882,-0.121069334,0.060534667,0.0,125.0
34035,0.036157608,0.041259766,0.0151023865,-0.121069334,0.060534667,0.0,125.0
34036,0.036157608,0.041259766,0.0151023865,-0.15080567,0.07752686,0.011682129,125.0
34037,-0.025589943,-0.088134766,0.03996277,-0.15080567,0.07752686,0.011682129,125.0
34038,-0.025589943,-0.088134766,0.03996277,-0.10513916,0.081774905,0.014868164,125.0
34039,-0.09406853,-0.190979,0.04088211,-0.10513916,0.081774905,0.014868164,125.0
34040,-0.09406853,-0.190979,0.04088211,-0.022302246,0.023364259,0.010620117,125.0
34041,-0.12964916,-0.16912842,-0.03333664,-0.022302246,0.023364259,0.010620117,125.0
34042,-0.12964916,-0.16912842,-0.03333664,0.058410645,-0.019116212,-0.013806152,125.0
34043,-0.08737373,-0.06349182,-0.076984406,0.058410645,-0.019116212,-0.013806152,125.0
34044,-0.08737373,-0.06349182,-0.076984406,0.07646485,-0.040356446,-0.023364259,125.0
34045,-0.011634827,0.011398315,-0.057193756,0.07646485,-0.040356446,-0.023364259,125.0
34046,-0.011634827,0.011398315,-0.057193756,0.078588866,-0.04248047,-0.033984374,125.0
34047,0.033966064,0.06528473,-0.04471588,0.078588866,-0.04248047,-0.033984374,125.0
34048,0.033966064,0.06528473,-0.04471588,0.09451904,-0.04248047,-0.04141846,125.0
34049,0.033966064,0.06528473,-0.04471588,-0.022302246,0.011682129,-0.04885254,125.0
34050,0.07404709,0.19799042,0.004196167,-0.022302246,0.011682129,-0.04885254,125.0
34051,0.12074852,0.314682,0.045799255,-0.022302246,0.011682129,-0.04885254,125.0
34052,0.12074852,0.314682,0.045799255,-0.22302246,0.09133301,-0.04460449,125.0
