,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
30195,type,type,type,type,type,type,type
30196,-0.050998688,0.05807495,0.17480087,-0.095581055,-0.3345337,-0.038232423,107.0
30197,-0.050998688,0.05807495,0.17480087,-0.046728518,-0.010620117,0.014868164,107.0
30198,0.16090965,0.032798767,0.07453537,-0.046728518,-0.010620117,0.014868164,107.0
30199,0.16090965,0.032798767,0.07453537,-0.026550293,0.038232423,-0.0053100586,107.0
30200,0.15128613,-0.10115051,0.050006866,-0.026550293,0.038232423,-0.0053100586,107.0
30201,0.15128613,-0.10115051,0.050006866,0.009558106,0.107263185,-0.03186035,107.0
30202,0.052046776,-0.18653488,0.087516785,0.009558106,0.107263185,-0.03186035,107.0
30203,0.052046776,-0.18653488,0.087516785,0.013806152,0.11151123,-0.014868164,107.0
30204,-0.020044327,-0.1006546,0.12063599,0.013806152,0.11151123,-0.014868164,107.0
30205,-0.020044327,-0.1006546,0.12063599,-0.023364259,0.07646485,0.023364259,107.0
30206,-0.020044327,-0.1006546,0.12063599,-0.039294433,0.06265869,0.032922365,107.0
30207,-0.06543732,0.035259247,0.048179626,-0.039294433,0.06265869,0.032922365,107.0
30208,-0.08506489,0.03993988,-0.109931946,-0.039294433,0.06265869,0.032922365,107.0
30209,-0.08506489,0.03993988,-0.109931946,-0.021240234,0.12000733,0.019116212,107.0
30210,-0.07815933,-0.05952835,-0.21907425,-0.021240234,0.12000733,0.019116212,107.0
30211,-0.07815933,-0.05952835,-0.21907425,0.0541626,0.12531738,0.019116212,107.0
30212,-0.07184124,-0.009376526,-0.22491455,0.0541626,0.12531738,0.019116212,107.0
30213,-0.07184124,-0.009376526,-0.22491455,0.06159668,0.090270996,0.035046387,107.0
30214,-0.07184124,-0.009376526,-0.22491455,-0.057348635,0.08920898,0.040356446,107.0
30215,-0.050685883,0.1930008,-0.16270828,-0.057348635,0.08920898,0.040356446,107.0
30216,-0.024910927,0.22103882,-0.10732651,-0.057348635,0.08920898,0.040356446,107.0
30217,-0.024910927,0.22103882,-0.10732651,-0.04460449,0.057348635,0.020178223,107.0
30218,-0.022431374,0.059631348,-0.087436676,-0.04460449,0.057348635,0.020178223,107.0
