,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
35405,type,type,type,type,type,type,type
35406,-0.18847084,-0.109809875,0.3197403,-0.18054199,0.04248047,-0.06690674,102.0
35407,-0.18847084,-0.109809875,0.3197403,-0.16779785,0.035046387,-0.029736329,102.0
35408,-0.14097404,-0.06266403,-0.0024223328,-0.16779785,0.035046387,-0.029736329,102.0
35409,-0.14097404,-0.06266403,-0.0024223328,-0.043542482,0.019116212,0.058410645,102.0
35410,-0.06551361,-0.06364441,-0.21796799,-0.043542482,0.019116212,0.058410645,102.0
35411,-0.06551361,-0.06364441,-0.21796799,0.107263185,-0.0063720704,0.05522461,102.0
35412,7.915497E-5,-0.010875702,-0.1932106,0.107263185,-0.0063720704,0.05522461,102.0
35413,7.915497E-5,-0.010875702,-0.1932106,0.0637207,0.019116212,0.019116212,102.0
35414,7.915497E-5,-0.010875702,-0.1932106,0.03186035,0.011682129,0.03079834,102.0
35415,0.053016663,0.06327057,-0.053764343,0.03186035,0.011682129,0.03079834,102.0
35416,0.025091171,0.037345886,0.031742096,0.03186035,0.011682129,0.03079834,102.0
35417,0.025091171,0.037345886,0.031742096,-0.020178223,0.012744141,-0.043542482,102.0
35418,-0.05148506,-0.042671204,0.020694733,-0.020178223,0.012744141,-0.043542482,102.0
35419,-0.05148506,-0.042671204,0.020694733,-0.057348635,0.009558106,-0.07965088,102.0
35420,-0.06580925,-0.06304169,-0.036533356,-0.057348635,0.009558106,-0.07965088,102.0
35421,-0.06580925,-0.06304169,-0.036533356,-0.07115479,0.0021240234,-0.0637207,102.0
35422,-0.06580925,-0.06304169,-0.036533356,-0.052038576,-0.013806152,-0.043542482,102.0
35423,-0.01819992,-0.06653595,-0.08911514,-0.052038576,-0.013806152,-0.043542482,102.0
35424,0.040384293,-0.08192444,-0.09187317,-0.052038576,-0.013806152,-0.043542482,102.0
35425,0.040384293,-0.08192444,-0.09187317,-0.04248047,-0.020178223,-0.021240234,102.0
35426,0.057807922,-0.084228516,-0.020385742,-0.04248047,-0.020178223,-0.021240234,102.0
35427,0.057807922,-0.084228516,-0.020385742,-0.04991455,-0.023364259,-0.008496094,102.0
35428,0.028399467,-0.0488739,0.06311035,-0.04991455,-0.023364259,-0.008496094,102.0
35429,0.028399467,-0.0488739,0.06311035,-0.08283692,-0.013806152,-0.0361084,102.0
