,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
33093,type,type,type,type,type,type,type
33094,-0.1200254,-0.20332146,0.756073,-0.0010620117,-0.02442627,0.016992187,103.0
33095,-0.1200254,-0.20332146,0.756073,0.3462158,-0.007434082,-0.057348635,103.0
33096,-0.25507808,0.25875282,0.35090637,0.3462158,-0.007434082,-0.057348635,103.0
33097,-0.25507808,0.25875282,0.35090637,0.07115479,0.040356446,-0.012744141,103.0
33098,-0.25507808,0.25875282,0.35090637,-0.1529297,0.0637207,-0.008496094,103.0
33099,-0.13298082,0.48074532,-0.085617065,-0.1529297,0.0637207,-0.008496094,103.0
33100,-0.012085438,0.24367905,-0.3140564,-0.1529297,0.0637207,-0.008496094,103.0
33101,-0.012085438,0.24367905,-0.3140564,-0.022302246,0.014868164,-0.032922365,103.0
33102,0.093713045,-0.005350113,-0.30491638,-0.022302246,0.014868164,-0.032922365,103.0
33103,0.093713045,-0.005350113,-0.30491638,-0.06265869,0.009558106,-0.027612304,103.0
33104,0.16099334,-0.12511635,-0.20729065,-0.06265869,0.009558106,-0.027612304,103.0
33105,0.16099334,-0.12511635,-0.20729065,-0.081774905,0.009558106,-0.007434082,103.0
33106,0.16099334,-0.12511635,-0.20729065,-0.06584473,0.0,-0.016992187,103.0
33107,0.12879467,-0.1425724,-0.15774536,-0.06584473,0.0,-0.016992187,103.0
33108,0.06473017,-0.095674515,-0.14674377,-0.06584473,0.0,-0.016992187,103.0
33109,0.06473017,-0.095674515,-0.14674377,-0.09664307,-0.004248047,-0.0180542,103.0
33110,0.016041994,-0.090969086,-0.124298096,-0.09664307,-0.004248047,-0.0180542,103.0
33111,0.016041994,-0.090969086,-0.124298096,-0.058410645,-0.008496094,-0.03079834,103.0
33112,-0.016097069,-0.09643364,-0.053878784,-0.058410645,-0.008496094,-0.03079834,103.0
33113,-0.016097069,-0.09643364,-0.053878784,-0.057348635,-0.004248047,-0.038232423,103.0
33114,-0.016097069,-0.09643364,-0.053878784,-0.08814698,0.0010620117,-0.045666505,103.0
33115,-0.030651093,-0.059127808,0.01966858,-0.08814698,0.0010620117,-0.045666505,103.0
33116,-0.047079563,0.006164551,0.06958008,-0.08814698,0.0010620117,-0.045666505,103.0
33117,-0.047079563,0.006164551,0.06958008,-0.11469727,0.0021240234,-0.058410645,103.0
33118,-0.064152956,0.019556046,0.11303711,-0.11469727,0.0021240234,-0.058410645,103.0
33119,-0.064152956,0.019556046,0.11303711,-0.09664307,0.011682129,-0.06903076,103.0
33120,-0.07399082,-0.00945282,0.15237427,-0.09664307,0.011682129,-0.06903076,103.0
33121,-0.07399082,-0.00945282,0.15237427,-0.0541626,0.007434082,-0.06584473,103.0
33122,-0.071070194,-0.015802383,0.14779663,-0.0541626,0.007434082,-0.06584473,103.0
33123,-0.071070194,-0.015802383,0.14779663,-0.046728518,0.004248047,-0.06478272,103.0
33124,-0.059602737,0.021184921,0.12954712,-0.046728518,0.004248047,-0.06478272,103.0
33125,-0.059602737,0.021184921,0.12954712,-0.011682129,-0.028674318,-0.05628662,103.0
33126,-0.047719,0.034965515,0.1005249,-0.011682129,-0.028674318,-0.05628662,103.0
33127,-0.047719,0.034965515,0.1005249,0.009558106,-0.04141846,-0.043542482,103.0
33128,0.008565426,0.075603485,0.14364624,0.009558106,-0.04141846,-0.043542482,103.0
33129,0.008565426,0.075603485,0.14364624,0.038232423,-0.04885254,-0.0180542,103.0
33130,0.016630173,0.08133125,0.14027405,0.038232423,-0.04885254,-0.0180542,103.0
33131,0.016630173,0.08133125,0.14027405,0.0361084,-0.04460449,-0.013806152,103.0
33132,0.014012098,0.115652084,0.12857056,0.0361084,-0.04460449,-0.013806152,103.0
33133,0.014012098,0.115652084,0.12857056,0.012744141,-0.020178223,-0.013806152,103.0
33134,0.0073890686,0.049491882,0.08856201,0.012744141,-0.020178223,-0.013806152,103.0
33135,0.0073890686,0.049491882,0.08856201,0.026550293,-0.010620117,-0.0031860352,103.0
33136,-0.006039381,-0.18954468,-0.007965088,0.026550293,-0.010620117,-0.0031860352,103.0
33137,-0.006039381,-0.18954468,-0.007965088,0.13699952,-0.007434082,0.03186035,103.0
33138,-0.012485504,-0.2002449,-0.052474976,0.13699952,-0.007434082,0.03186035,103.0
33139,-0.012485504,-0.2002449,-0.052474976,0.14124756,-0.008496094,0.039294433,103.0
33140,-0.016385078,-0.06505394,-0.10334778,0.14124756,-0.008496094,0.039294433,103.0
33141,-0.016385078,-0.06505394,-0.10334778,0.08283692,-0.0063720704,0.05522461,103.0
33142,-0.0044898987,-0.01360321,-0.07247925,0.08283692,-0.0063720704,0.05522461,103.0
33143,-0.0044898987,-0.01360321,-0.07247925,0.057348635,0.0,0.052038576,103.0
33144,0.020431519,0.100421906,0.046066284,0.057348635,0.0,0.052038576,103.0
33145,0.020431519,0.100421906,0.046066284,-0.019116212,0.033984374,0.047790527,103.0
33146,0.020068169,0.0973053,0.06819153,-0.019116212,0.033984374,0.047790527,103.0
33147,0.020068169,0.0973053,0.06819153,-0.04141846,0.04885254,0.050976563,103.0
33148,-0.026072025,0.08651161,0.110809326,-0.04141846,0.04885254,0.050976563,103.0
33149,-0.026072025,0.08651161,0.110809326,-0.06690674,0.047790527,0.0541626,103.0
33150,-0.068086624,0.04027939,0.19212341,-0.06690674,0.047790527,0.0541626,103.0
33151,-0.068086624,0.04027939,0.19212341,-0.078588866,0.05628662,0.07327881,103.0
33152,-0.05040431,0.047409058,0.28915405,-0.078588866,0.05628662,0.07327881,103.0
33153,-0.05040431,0.047409058,0.28915405,-0.1263794,0.09133301,0.08283692,103.0
33154,-0.05475235,0.14224815,0.3313446,-0.1263794,0.09133301,0.08283692,103.0
33155,-0.05475235,0.14224815,0.3313446,-0.20072022,0.11257324,0.10513916,103.0
33156,-0.09106755,0.27511406,0.30195618,-0.20072022,0.11257324,0.10513916,103.0
33157,-0.09106755,0.27511406,0.30195618,-0.3154175,0.1263794,0.10301514,103.0
33158,-0.09106755,0.27511406,0.30195618,-0.3154175,0.1263794,0.10301514,102.0
33159,-0.09106755,0.27511406,0.30195618,-0.6074707,0.1720459,0.06159668,102.0
33160,-0.0408473,0.44744682,0.24630737,-0.6074707,0.1720459,0.06159668,102.0
33161,0.083167076,0.34534836,0.13137817,-0.6074707,0.1720459,0.06159668,102.0
33162,0.083167076,0.34534836,0.13137817,-0.630835,0.24638672,0.081774905,102.0
33163,0.07432175,-0.04581642,-0.028320312,-0.630835,0.24638672,0.081774905,102.0
33164,0.07432175,-0.04581642,-0.028320312,-0.36533204,0.22196046,0.06478272,102.0
33165,-0.4416046,-0.42699814,-0.20082092,-0.36533204,0.22196046,0.06478272,102.0
33166,-0.4416046,-0.42699814,-0.20082092,1.0269654,0.42268068,1.6121339,102.0
33167,-0.668921,-0.5626316,-0.23194885,1.0269654,0.42268068,1.6121339,102.0
33168,-0.668921,-0.5626316,-0.23194885,1.356189,-0.04991455,-1.0726318,102.0
33169,0.32199192,0.8337555,-0.40525818,1.356189,-0.04991455,-1.0726318,102.0
33170,0.32199192,0.8337555,-0.40525818,-1.0078491,0.19116211,-0.08496094,102.0
33171,0.41842127,1.247509,-0.45066833,-1.0078491,0.19116211,-0.08496094,102.0
33172,0.41842127,1.247509,-0.45066833,-2.166504,0.3058594,-0.0637207,102.0
33173,0.31636524,0.32936668,-0.82232666,-2.166504,0.3058594,-0.0637207,102.0
33174,0.31636524,0.32936668,-0.82232666,-0.040356446,-0.05522461,-0.16248779,102.0
33175,0.09662247,-1.1254845,-0.8649597,-0.040356446,-0.05522461,-0.16248779,102.0
33176,0.09662247,-1.1254845,-0.8649597,0.61915284,-0.07115479,-0.30373535,102.0
33177,0.33495188,-0.81103325,-0.7895813,0.61915284,-0.07115479,-0.30373535,102.0
33178,0.33495188,-0.81103325,-0.7895813,-0.6818115,0.06478272,-0.26656494,102.0
33179,0.61743665,0.15514183,-0.9340515,-0.6818115,0.06478272,-0.26656494,102.0
33180,0.61743665,0.15514183,-0.9340515,-1.3869873,0.07965088,-0.28355715,102.0
33181,0.5730996,0.29039764,-1.0894012,-1.3869873,0.07965088,-0.28355715,102.0
33182,0.5730996,0.29039764,-1.0894012,-0.79013675,-0.093457036,-0.36108398,102.0
33183,0.315938,-0.19782066,-0.90934753,-0.79013675,-0.093457036,-0.36108398,102.0
33184,0.315938,-0.19782066,-0.90934753,-0.44073486,-0.21983643,-0.39613038,102.0
33185,0.19891739,-0.33300018,-0.34417725,-0.44073486,-0.21983643,-0.39613038,102.0
33186,0.19891739,-0.33300018,-0.34417725,-1.1225464,-0.12319336,-0.32178956,102.0
33187,0.08628225,-0.25507164,0.21408081,-1.1225464,-0.12319336,-0.32178956,102.0
33188,0.08628225,-0.25507164,0.21408081,-1.1257324,-0.1996582,-0.24638672,102.0
33189,-0.28596687,-0.22409058,0.6056366,-1.1257324,-0.1996582,-0.24638672,102.0
33190,-0.28596687,-0.22409058,0.6056366,-0.42905274,-0.40250245,-0.28568116,102.0
33191,-0.5783584,-0.29776573,0.90437317,-0.42905274,-0.40250245,-0.28568116,102.0
33192,-0.5783584,-0.29776573,0.90437317,-0.0010620117,-0.42374268,-0.30479738,102.0
33193,-0.46755743,-0.25492477,1.236206,-0.0010620117,-0.42374268,-0.30479738,102.0
33194,-0.46755743,-0.25492477,1.236206,-0.36427003,-0.3430298,-0.2538208,102.0
33195,-0.316844,-0.06695175,1.50383,-0.36427003,-0.3430298,-0.2538208,102.0
33196,-0.316844,-0.06695175,1.50383,-0.6074707,-0.29736328,-0.24744873,102.0
33197,-0.38617802,0.03247261,1.5323639,-0.6074707,-0.29736328,-0.24744873,102.0
33198,-0.38617802,0.03247261,1.5323639,-0.3462158,-0.2984253,-0.24320069,102.0
33199,-0.5004587,-0.12641525,1.3556061,-0.3462158,-0.2984253,-0.24320069,102.0
33200,-0.5004587,-0.12641525,1.3556061,0.118945315,-0.28355715,-0.22196046,102.0
33201,-0.45258856,-0.063985825,1.210968,0.118945315,-0.28355715,-0.22196046,102.0
33202,-0.45258856,-0.063985825,1.210968,-0.14124756,-0.18266602,-0.20178223,102.0
33203,-0.339854,0.09524727,1.04393,-0.14124756,-0.18266602,-0.20178223,102.0
33204,-0.339854,0.09524727,1.04393,0.015930176,-0.19647217,-0.35471192,102.0
33205,0.12192774,0.14244461,1.3873138,0.015930176,-0.19647217,-0.35471192,102.0
33206,0.12192774,0.14244461,1.3873138,-0.30479738,-0.12000733,-0.22196046,102.0
33207,0.60080147,-0.0041103363,2.240219,-0.30479738,-0.12000733,-0.22196046,102.0
33208,0.60080147,-0.0041103363,2.240219,-0.42374268,0.17523193,-0.03717041,102.0
33209,0.35407877,0.04898262,1.6080017,-0.42374268,0.17523193,-0.03717041,102.0
33210,0.35407877,0.04898262,1.6080017,-0.8931519,0.5341919,-0.25913087,102.0
33211,-4.041195E-4,0.43018913,-0.44311523,-0.8931519,0.5341919,-0.25913087,102.0
33212,-4.041195E-4,0.43018913,-0.44311523,-0.77102053,0.41099855,-0.10089111,102.0
33213,0.032550335,0.4000225,-1.5479736,-0.77102053,0.41099855,-0.10089111,102.0
33214,0.032550335,0.4000225,-1.5479736,-0.6074707,0.26656494,0.040356446,102.0
33215,0.16587186,-0.23159409,-1.1899567,-0.6074707,0.26656494,0.040356446,102.0
33216,0.16587186,-0.23159409,-1.1899567,-0.17735596,0.20496826,0.14018555,102.0
33217,0.20141101,-0.66812515,-0.46618652,-0.17735596,0.20496826,0.14018555,102.0
33218,0.20141101,-0.66812515,-0.46618652,0.032922365,0.21346436,0.21240234,102.0
33219,0.11059165,-0.39671898,-0.2247467,0.032922365,0.21346436,0.21240234,102.0
33220,0.11059165,-0.39671898,-0.2247467,0.06584473,0.17629395,0.3462158,102.0
33221,-0.0997591,-0.06743622,-0.22395325,0.06584473,0.17629395,0.3462158,102.0
33222,-0.0997591,-0.06743622,-0.22395325,0.08814698,0.17523193,0.3536499,102.0
33223,-0.3435526,-0.15980911,-0.1577301,0.08814698,0.17523193,0.3536499,102.0
33224,-0.3435526,-0.15980911,-0.1577301,0.16885987,0.087084964,0.1985962,102.0
33225,-0.3109262,-0.29870987,-0.094955444,0.16885987,0.087084964,0.1985962,102.0
33226,-0.3109262,-0.29870987,-0.094955444,0.35046387,0.050976563,0.15186767,102.0
33227,-0.05179286,0.0712738,-0.08377075,0.35046387,0.050976563,0.15186767,102.0
33228,-0.05179286,0.0712738,-0.08377075,0.17523193,0.15186767,0.081774905,102.0
33229,0.035286903,0.7215805,-0.13357544,0.17523193,0.15186767,0.081774905,102.0
33230,0.035286903,0.7215805,-0.13357544,-0.20178223,0.15930176,0.12850343,102.0
33231,-0.1263969,0.7274475,-0.09301758,-0.20178223,0.15930176,0.12850343,102.0
33232,-0.1263969,0.7274475,-0.09301758,-0.32178956,0.16673584,0.06584473,102.0
33233,-0.30399823,0.29190636,0.11114502,-0.32178956,0.16673584,0.06584473,102.0
33234,-0.30399823,0.29190636,0.11114502,-0.51188964,0.1901001,-0.1274414,102.0
33235,-0.28370166,-0.025043488,0.2793274,-0.51188964,0.1901001,-0.1274414,102.0
33236,-0.28370166,-0.025043488,0.2793274,-0.68924564,0.22727051,-0.21452637,102.0
33237,-0.15264487,-0.31223488,0.168396,-0.68924564,0.22727051,-0.21452637,102.0
33238,-0.15264487,-0.31223488,0.168396,-0.6053467,0.1529297,-0.22089843,102.0
33239,-0.046871662,-0.50214386,-0.13360596,-0.6053467,0.1529297,-0.22089843,102.0
33240,-0.046871662,-0.50214386,-0.13360596,-0.28674316,0.057348635,-0.13699952,102.0
33241,0.08600116,-0.42427444,-0.23762512,-0.28674316,0.057348635,-0.13699952,102.0
33242,0.08600116,-0.42427444,-0.23762512,-0.13699952,0.04991455,-0.1444336,102.0
33243,0.22833467,-0.13939476,-0.08885193,-0.13699952,0.04991455,-0.1444336,102.0
33244,0.22833467,-0.13939476,-0.08885193,-0.14655761,0.03079834,-0.07434082,102.0
33245,0.24246979,0.046993256,0.045639038,-0.14655761,0.03079834,-0.07434082,102.0
33246,0.24246979,0.046993256,0.045639038,-0.17523193,0.04885254,-0.015930176,102.0
33247,0.10637808,0.03425026,0.09263611,-0.17523193,0.04885254,-0.015930176,102.0
33248,0.10637808,0.03425026,0.09263611,-0.1274414,0.06265869,0.013806152,102.0
33249,-0.05353284,-0.04863739,0.10006714,-0.1274414,0.06265869,0.013806152,102.0
33250,-0.05353284,-0.04863739,0.10006714,-0.10301514,0.06690674,0.027612304,102.0
33251,-0.13975,-0.13369751,0.066482544,-0.10301514,0.06690674,0.027612304,102.0
33252,-0.13975,-0.13369751,0.066482544,-0.015930176,0.03717041,0.038232423,102.0
33253,-0.12898755,-0.18676758,-0.041732788,-0.015930176,0.03717041,0.038232423,102.0
33254,-0.12898755,-0.18676758,-0.041732788,0.1178833,-0.014868164,0.04248047,102.0
33255,-0.12898755,-0.18676758,-0.041732788,0.1178833,-0.014868164,0.04248047,102.0
33256,-0.050858498,-0.16104698,-0.17572021,0.1178833,-0.014868164,0.04248047,102.0
33257,-0.050858498,-0.16104698,-0.17572021,0.29205322,-0.04460449,0.043542482,102.0
33258,0.014794111,-0.15004158,-0.21116638,0.29205322,-0.04460449,0.043542482,102.0
33259,0.014794111,-0.15004158,-0.21116638,0.43967286,-0.078588866,0.070092775,102.0
33260,0.038446665,-0.1702652,-0.079589844,0.43967286,-0.078588866,0.070092775,102.0
33261,0.038446665,-0.1702652,-0.079589844,0.5363159,-0.10195313,0.14868164,102.0
33262,-0.0018231869,-0.10530472,0.09524536,0.5363159,-0.10195313,0.14868164,102.0
33263,-0.0018231869,-0.10530472,0.09524536,0.57242435,-0.10938721,0.12531738,102.0
33264,-0.06253052,0.14436913,0.15786743,0.57242435,-0.10938721,0.12531738,102.0
33265,-0.06253052,0.14436913,0.15786743,0.40462646,-0.09770508,0.06690674,102.0
33266,-0.13044429,0.40571594,0.034057617,0.40462646,-0.09770508,0.06690674,102.0
33267,-0.13044429,0.40571594,0.034057617,0.19222413,-0.15717773,-0.004248047,102.0
33268,-0.088852406,0.42158127,-0.095077515,0.19222413,-0.15717773,-0.004248047,102.0
33269,-0.088852406,0.42158127,-0.095077515,0.12850343,-0.15080567,-0.040356446,102.0
33270,0.02938199,0.2583828,-0.040252686,0.12850343,-0.15080567,-0.040356446,102.0
33271,0.02938199,0.2583828,-0.040252686,0.08071289,-0.14655761,-0.045666505,102.0
33272,0.06281233,0.16355324,0.08508301,0.08071289,-0.14655761,-0.045666505,102.0
33273,0.06281233,0.16355324,0.08508301,-0.098767094,-0.14549561,-0.087084964,102.0
33274,0.04539132,0.18159866,0.1381073,-0.098767094,-0.14549561,-0.087084964,102.0
33275,0.04539132,0.18159866,0.1381073,-0.23789063,-0.14018555,-0.09770508,102.0
33276,0.031027317,0.13817406,0.06628418,-0.23789063,-0.14018555,-0.09770508,102.0
33277,0.031027317,0.13817406,0.06628418,-0.33028564,-0.14337158,-0.0998291,102.0
33278,0.030693531,-0.090278625,-0.19036865,-0.33028564,-0.14337158,-0.0998291,102.0
33279,0.030693531,-0.090278625,-0.19036865,-0.21558838,-0.23151855,-0.070092775,102.0
33280,0.100445986,-0.32307816,-0.26245117,-0.21558838,-0.23151855,-0.070092775,102.0
33281,0.100445986,-0.32307816,-0.26245117,0.0021240234,-0.20603028,-0.014868164,102.0
33282,0.119553566,-0.28653908,0.06333923,0.0021240234,-0.20603028,-0.014868164,102.0
33283,0.119553566,-0.28653908,0.06333923,-0.038232423,-0.11682129,-0.025488282,102.0
33284,-0.017211199,-0.14019394,0.1847229,-0.038232423,-0.11682129,-0.025488282,102.0
33285,-0.017211199,-0.14019394,0.1847229,0.020178223,-0.087084964,-0.047790527,102.0
33286,-0.114123106,0.036769867,-0.055755615,0.020178223,-0.087084964,-0.047790527,102.0
