,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
34935,type,type,type,type,type,type,type
34936,0.5213785,-0.2144165,-0.41384888,0.18797608,0.028674318,-0.5341919,104.0
34937,0.5213785,-0.2144165,-0.41384888,0.34940186,0.03079834,-0.44073486,104.0
34938,0.55035496,-0.36048508,-0.919281,0.34940186,0.03079834,-0.44073486,104.0
34939,0.55035496,-0.36048508,-0.919281,0.38763428,0.23258057,-0.35789797,104.0
34940,0.4232793,-0.4187584,-1.0806732,0.38763428,0.23258057,-0.35789797,104.0
34941,0.4232793,-0.4187584,-1.0806732,0.32391357,0.27506104,0.20072022,104.0
34942,0.26278114,-0.83525085,-0.8276062,0.32391357,0.27506104,0.20072022,104.0
34943,0.26278114,-0.83525085,-0.8276062,0.3727661,0.21027832,0.2814331,104.0
34944,0.29975128,-1.3333015,-0.2600708,0.3727661,0.21027832,0.2814331,104.0
34945,0.29975128,-1.3333015,-0.2600708,-0.028674318,0.17523193,-0.5299439,104.0
34946,0.5126767,-1.4874668,0.21871948,-0.028674318,0.17523193,-0.5299439,104.0
34947,0.5126767,-1.4874668,0.21871948,-0.1444336,0.16567384,-0.29311523,104.0
34948,0.6977391,-1.3710785,0.22686768,-0.1444336,0.16567384,-0.29311523,104.0
34949,0.6977391,-1.3710785,0.22686768,-0.033984374,0.41843262,-0.15717773,104.0
34950,0.6355839,-0.9038582,-0.13369751,-0.033984374,0.41843262,-0.15717773,104.0
34951,0.6355839,-0.9038582,-0.13369751,0.16567384,0.54906005,0.1359375,104.0
34952,0.31570625,-0.041130066,-0.4510193,0.16567384,0.54906005,0.1359375,104.0
34953,0.31570625,-0.041130066,-0.4510193,-0.22833252,0.45878908,0.19647217,104.0
34954,-0.19146538,0.6426449,-0.46313477,-0.22833252,0.45878908,0.19647217,104.0
34955,-0.19146538,0.6426449,-0.46313477,-0.84111327,0.16354981,0.07115479,104.0
34956,-0.19146538,0.6426449,-0.46313477,-0.75615233,-0.32603762,-0.107263185,104.0
