,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
33249,type,type,type,type,type,type,type
33250,0.11068785,-0.006954193,0.37135315,-0.2516968,0.046728518,-0.045666505,113.0
33251,0.09245646,-0.0023155212,0.6854553,-0.2516968,0.046728518,-0.045666505,113.0
33252,0.017092705,-0.118515015,0.4215393,-0.2516968,0.046728518,-0.045666505,113.0
33253,0.017092705,-0.118515015,0.4215393,0.040356446,-0.016992187,0.050976563,113.0
33254,-0.037338972,-0.044395447,0.05065918,0.040356446,-0.016992187,0.050976563,113.0
33255,-0.037338972,-0.044395447,0.05065918,0.03079834,0.026550293,0.04141846,113.0
33256,-0.060144663,0.055316925,-0.07707214,0.03079834,0.026550293,0.04141846,113.0
33257,-0.060144663,0.055316925,-0.07707214,0.035046387,0.043542482,0.012744141,113.0
33258,-0.060144663,0.055316925,-0.07707214,-0.02442627,0.08283692,-0.0021240234,113.0
33259,-0.10043502,0.022026062,0.016464233,-0.02442627,0.08283692,-0.0021240234,113.0
33260,-0.10043502,0.022026062,0.016464233,-0.02442627,0.08283692,-0.0021240234,113.0
33261,-0.12373185,-0.072711945,0.07795715,-0.02442627,0.08283692,-0.0021240234,113.0
33262,-0.12373185,-0.072711945,0.07795715,0.0053100586,0.08071289,0.013806152,113.0
33263,-0.105906725,-0.11277008,-0.053710938,0.0053100586,0.08071289,0.013806152,113.0
33264,-0.105906725,-0.11277008,-0.053710938,0.043542482,0.06584473,0.023364259,113.0
33265,-0.0605433,-0.06021118,-0.23503113,0.043542482,0.06584473,0.023364259,113.0
33266,-0.0605433,-0.06021118,-0.23503113,0.038232423,0.05628662,0.028674318,113.0
33267,0.0037260056,-0.017297745,-0.30503845,0.038232423,0.05628662,0.028674318,113.0
33268,0.0037260056,-0.017297745,-0.30503845,0.032922365,0.038232423,0.038232423,113.0
33269,0.06335688,-0.024654388,-0.24832153,0.032922365,0.038232423,0.038232423,113.0
33270,0.06335688,-0.024654388,-0.24832153,0.032922365,0.02442627,0.04248047,113.0
33271,0.11930132,-0.030036926,-0.16151428,0.032922365,0.02442627,0.04248047,113.0
33272,0.11930132,-0.030036926,-0.16151428,0.0021240234,0.022302246,0.045666505,113.0
33273,0.13726234,-0.022735596,-0.11218262,0.0021240234,0.022302246,0.045666505,113.0
33274,0.13726234,-0.022735596,-0.11218262,-0.012744141,0.019116212,0.047790527,113.0
33275,0.122785926,0.0073242188,-0.08836365,-0.012744141,0.019116212,0.047790527,113.0
33276,0.122785926,0.0073242188,-0.08836365,0.014868164,-0.0031860352,0.0637207,113.0
33277,0.0971545,0.07062912,-0.05970764,0.014868164,-0.0031860352,0.0637207,113.0
33278,0.0971545,0.07062912,-0.05970764,-0.0010620117,-0.013806152,0.07327881,113.0
33279,0.06933737,0.11393738,-0.026687622,-0.0010620117,-0.013806152,0.07327881,113.0
33280,0.06933737,0.11393738,-0.026687622,-0.004248047,-0.025488282,0.0722168,113.0
33281,0.06239128,0.09875488,0.026916504,-0.004248047,-0.025488282,0.0722168,113.0
33282,0.06239128,0.09875488,0.026916504,-0.004248047,-0.027612304,0.07646485,113.0
33283,0.06486666,0.07910156,0.071777344,-0.004248047,-0.027612304,0.07646485,113.0
33284,0.06486666,0.07910156,0.071777344,0.008496094,-0.028674318,0.07434082,113.0
33285,0.07755256,0.058876038,0.07048035,0.008496094,-0.028674318,0.07434082,113.0
33286,0.07755256,0.058876038,0.07048035,0.04141846,-0.0361084,0.0722168,113.0
33287,0.10872173,0.05649948,0.07354736,0.04141846,-0.0361084,0.0722168,113.0
33288,0.10872173,0.05649948,0.07354736,0.04991455,-0.026550293,0.045666505,113.0
33289,0.14977038,0.07946396,0.12625122,0.04991455,-0.026550293,0.045666505,113.0
33290,0.14977038,0.07946396,0.12625122,-0.021240234,0.016992187,0.026550293,113.0
33291,0.13595402,0.08205032,0.14219666,-0.021240234,0.016992187,0.026550293,113.0
33292,0.13595402,0.08205032,0.14219666,-0.021240234,0.033984374,0.026550293,113.0
33293,0.07635355,0.073329926,0.0896759,-0.021240234,0.033984374,0.026550293,113.0
33294,0.07635355,0.073329926,0.0896759,0.0180542,0.033984374,0.035046387,113.0
33295,0.07635355,0.073329926,0.0896759,0.021240234,0.053100586,0.0361084,113.0
33296,0.04079473,0.06662369,0.017105103,0.021240234,0.053100586,0.0361084,113.0
33297,0.027118206,0.049232483,-0.04399109,0.021240234,0.053100586,0.0361084,113.0
33298,0.027118206,0.049232483,-0.04399109,0.04991455,0.05522461,0.032922365,113.0
33299,0.011648178,0.050056458,-0.08314514,0.04991455,0.05522461,0.032922365,113.0
33300,0.011648178,0.050056458,-0.08314514,0.039294433,0.07115479,0.022302246,113.0
33301,-0.0030105114,0.07233429,-0.11341858,0.039294433,0.07115479,0.022302246,113.0
33302,-0.0030105114,0.07233429,-0.11341858,-0.023364259,0.10089111,0.0053100586,113.0
33303,-0.0030105114,0.07233429,-0.11341858,-0.012744141,0.10938721,0.0021240234,113.0
33304,-0.030850768,0.043632507,-0.15290833,-0.012744141,0.10938721,0.0021240234,113.0
33305,-0.063730955,-0.03640747,-0.18896484,-0.012744141,0.10938721,0.0021240234,113.0
33306,-0.063730955,-0.03640747,-0.18896484,0.03079834,0.0998291,0.010620117,113.0
33307,-0.07506931,-0.06628418,-0.18400574,0.03079834,0.0998291,0.010620117,113.0
33308,-0.07506931,-0.06628418,-0.18400574,0.0180542,0.098767094,0.0021240234,113.0
33309,-0.06877136,-0.040050507,-0.15116882,0.0180542,0.098767094,0.0021240234,113.0
33310,-0.06877136,-0.040050507,-0.15116882,-0.04141846,0.11151123,0.007434082,113.0
33311,-0.058776855,-0.05260849,-0.12530518,-0.04141846,0.11151123,0.007434082,113.0
33312,-0.058776855,-0.05260849,-0.12530518,-0.050976563,0.1083252,0.015930176,113.0
33313,-0.04599607,-0.10033798,-0.11639404,-0.050976563,0.1083252,0.015930176,113.0
33314,-0.04599607,-0.10033798,-0.11639404,-0.038232423,0.095581055,0.023364259,113.0
33315,-0.012443781,-0.11139679,-0.10031128,-0.038232423,0.095581055,0.023364259,113.0
33316,-0.012443781,-0.11139679,-0.10031128,-0.06265869,0.098767094,0.022302246,113.0
33317,0.033733845,-0.10836792,-0.07077026,-0.06265869,0.098767094,0.022302246,113.0
33318,0.033733845,-0.10836792,-0.07077026,-0.1083252,0.11363526,0.025488282,113.0
33319,0.08991432,-0.15557861,-0.03742981,-0.1083252,0.11363526,0.025488282,113.0
33320,0.08991432,-0.15557861,-0.03742981,-0.12850343,0.12850343,0.023364259,113.0
33321,0.17798615,-0.2641487,0.0018615723,-0.12850343,0.12850343,0.023364259,113.0
33322,0.17798615,-0.2641487,0.0018615723,-0.16567384,0.16673584,-0.0063720704,113.0
33323,0.33757937,-0.42036438,0.06112671,-0.16567384,0.16673584,-0.0063720704,113.0
33324,0.33757937,-0.42036438,0.06112671,-0.29205322,0.2814331,-0.07646485,113.0
33325,0.54933596,-0.6561165,0.10852051,-0.29205322,0.2814331,-0.07646485,113.0
33326,0.54933596,-0.6561165,0.10852051,-0.5140137,0.46728516,-0.17947999,113.0
33327,0.7488804,-0.9778843,0.143219,-0.5140137,0.46728516,-0.17947999,113.0
33328,0.7488804,-0.9778843,0.143219,-0.725354,0.6903076,-0.31860352,113.0
33329,0.7488804,-0.9778843,0.143219,-1.0280274,0.9483765,-0.4704712,113.0
33330,0.8524246,-1.2973213,0.12586975,-1.0280274,0.9483765,-0.4704712,113.0
33331,0.7867981,-1.4461327,0.048233032,-1.0280274,0.9483765,-0.4704712,113.0
33332,0.7867981,-1.4461327,0.048233032,-1.4124756,1.2340577,-0.6446411,113.0
33333,0.49135256,-1.3558064,-0.007797241,-1.4124756,1.2340577,-0.6446411,113.0
33334,0.49135256,-1.3558064,-0.007797241,-1.8022339,1.4878784,-0.8092529,113.0
33335,-0.026974082,-1.2216568,0.030380249,-1.8022339,1.4878784,-0.8092529,113.0
33336,-0.026974082,-1.2216568,0.030380249,-2.16969,1.6949707,-1.0099732,113.0
33337,-0.6066989,-1.324604,0.28855896,-2.16969,1.6949707,-1.0099732,113.0
33338,-0.6066989,-1.324604,0.28855896,-2.438379,1.8808228,-1.2468017,113.0
33339,-1.0792556,-1.6655064,0.71131897,-2.438379,1.8808228,-1.2468017,113.0
33340,-1.0792556,-1.6655064,0.71131897,-2.6709595,2.0231323,-1.4103516,113.0
33341,-1.635902,-1.9881668,0.8849182,-2.6709595,2.0231323,-1.4103516,113.0
33342,-1.635902,-1.9881668,0.8849182,-2.788843,2.0411866,-1.5558472,113.0
33343,-2.4690487,-2.0300236,0.74201965,-2.788843,2.0411866,-1.5558472,113.0
33344,-2.4690487,-2.0300236,0.74201965,-2.6847656,1.9286133,-1.6726685,113.0
33345,-3.251362,-1.8071232,0.591095,-2.6847656,1.9286133,-1.6726685,113.0
33346,-3.251362,-1.8071232,0.591095,-2.4649293,1.7512573,-1.806482,113.0
33347,-3.658707,-1.5523643,0.568573,-2.4649293,1.7512573,-1.806482,113.0
33348,-3.658707,-1.5523643,0.568573,-2.3417358,1.5611572,-2.0093262,113.0
33349,-3.9019413,-1.5280361,0.4901886,-2.3417358,1.5611572,-2.0093262,113.0
33350,-3.9019413,-1.5280361,0.4901886,-2.2227905,1.354065,-2.1303957,113.0
33351,-4.2070146,-1.834734,0.4717102,-2.2227905,1.354065,-2.1303957,113.0
33352,-4.2070146,-1.834734,0.4717102,-1.902063,1.0428956,-2.0284424,113.0
33353,-4.2749624,-2.049305,0.83935547,-1.902063,1.0428956,-2.0284424,113.0
33354,-4.2749624,-2.049305,0.83935547,-1.4900025,0.64995116,-1.9179932,113.0
33355,-3.8483877,-1.8761635,1.3707428,-1.4900025,0.64995116,-1.9179932,113.0
