,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
31891,type,type,type,type,type,type,type
31892,0.1971879,0.0705986,0.12782288,-0.014868164,-0.038232423,0.09664307,115.0
31893,0.1971879,0.0705986,0.12782288,0.118945315,0.10301514,0.023364259,115.0
31894,0.03762102,0.15558815,-0.07141113,0.118945315,0.10301514,0.023364259,115.0
31895,0.03762102,0.15558815,-0.07141113,-0.03079834,-0.0010620117,-0.039294433,115.0
31896,0.03762102,0.15558815,-0.07141113,-0.107263185,-0.043542482,0.035046387,115.0
31897,-0.06349468,0.29660225,-0.03388977,-0.107263185,-0.043542482,0.035046387,115.0
31898,-0.07865214,0.12020397,-0.06817627,-0.107263185,-0.043542482,0.035046387,115.0
31899,-0.07865214,0.12020397,-0.06817627,-0.0541626,-0.021240234,0.03079834,115.0
31900,-0.022992611,-0.053653717,-0.09736633,-0.0541626,-0.021240234,0.03079834,115.0
31901,-0.022992611,-0.053653717,-0.09736633,-0.022302246,-0.008496094,0.060534667,115.0
31902,-0.024461031,-0.09424114,-0.10089111,-0.022302246,-0.008496094,0.060534667,115.0
31903,-0.024461031,-0.09424114,-0.10089111,0.0053100586,0.012744141,0.023364259,115.0
31904,-0.035437822,-0.035048485,-0.06248474,0.0053100586,0.012744141,0.023364259,115.0
31905,-0.035437822,-0.035048485,-0.06248474,-0.0031860352,0.0180542,0.03079834,115.0
31906,-0.02990055,0.019519806,0.018966675,-0.0031860352,0.0180542,0.03079834,115.0
31907,-0.02990055,0.019519806,0.018966675,0.0,-0.004248047,0.007434082,115.0
31908,9.086132E-4,0.0016384125,0.08073425,0.0,-0.004248047,0.007434082,115.0
31909,9.086132E-4,0.0016384125,0.08073425,0.0021240234,-0.009558106,0.014868164,115.0
31910,0.014606476,-0.018428802,0.062042236,0.0021240234,-0.009558106,0.014868164,115.0
31911,0.014606476,-0.018428802,0.062042236,0.011682129,-0.0021240234,0.007434082,115.0
31912,-0.0053801537,0.002090454,-0.020584106,0.011682129,-0.0021240234,0.007434082,115.0
31913,-0.0053801537,0.002090454,-0.020584106,0.029736329,0.0031860352,0.012744141,115.0
31914,-0.027070284,0.013708115,-0.07728577,0.029736329,0.0031860352,0.012744141,115.0
31915,-0.027070284,0.013708115,-0.07728577,0.06690674,0.011682129,-0.004248047,115.0
