,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
30452,type,type,type,type,type,type,type
30453,0.011026621,-0.31516647,-0.11678696,-0.07646485,0.052038576,0.07540283,102.0
30454,0.011026621,-0.31516647,-0.11678696,-0.07646485,0.053100586,-0.027612304,102.0
30455,-0.057939053,-0.22491074,-0.015487671,-0.07646485,0.053100586,-0.027612304,102.0
30456,-0.057939053,-0.22491074,-0.015487671,-0.24107666,0.0998291,-0.11363526,102.0
30457,-3.7908554E-5,-0.0813179,0.16306305,-0.24107666,0.0998291,-0.11363526,102.0
30458,-3.7908554E-5,-0.0813179,0.16306305,-0.30267334,0.1178833,0.027612304,102.0
30459,0.0013980865,-0.11383057,0.18611526,-0.30267334,0.1178833,0.027612304,102.0
30460,0.0013980865,-0.11383057,0.18611526,-0.29099122,0.13381349,-0.023364259,102.0
30461,-0.09764862,-0.23593903,0.114040375,-0.29099122,0.13381349,-0.023364259,102.0
30462,-0.09764862,-0.23593903,0.114040375,-0.1720459,0.090270996,-0.11044922,102.0
30463,-0.12637329,-0.17896271,0.07357788,-0.1720459,0.090270996,-0.11044922,102.0
30464,-0.12637329,-0.17896271,0.07357788,-0.13275146,0.078588866,-0.014868164,102.0
30465,-0.12637329,-0.17896271,0.07357788,-0.21452637,0.09239502,-0.10089111,102.0
30466,-0.09791255,-0.01876831,0.063682556,-0.21452637,0.09239502,-0.10089111,102.0
30467,0.046230555,0.013584137,0.0500679,-0.21452637,0.09239502,-0.10089111,102.0
30468,0.046230555,0.013584137,0.0500679,-0.2899292,0.17416993,0.025488282,102.0
30469,0.046230555,0.013584137,0.0500679,-0.2899292,0.17416993,0.025488282,101.0
30470,0.08682585,-0.1889,0.06858063,-0.2899292,0.17416993,0.025488282,101.0
30471,0.08682585,-0.1889,0.06858063,-0.12531738,0.1529297,-0.039294433,101.0
30472,-0.021371841,-0.2699051,0.2097969,-0.12531738,0.1529297,-0.039294433,101.0
30473,-0.021371841,-0.2699051,0.2097969,-0.13168946,0.16779785,0.0010620117,101.0
30474,-0.054719448,-0.13910294,0.35858536,-0.13168946,0.16779785,0.0010620117,101.0
30475,-0.054719448,-0.13910294,0.35858536,-0.22089843,0.19753419,0.0722168,101.0
