,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
35432,type,type,type,type,type,type,type
35433,-0.31324083,-0.19898987,0.49809647,-0.24001466,-0.11469727,-0.08814698,97.0
35434,-0.31324083,-0.19898987,0.49809647,0.11682129,-0.1444336,0.10938721,97.0
35435,-0.36920846,-0.5036621,0.08770752,0.11682129,-0.1444336,0.10938721,97.0
35436,-0.36920846,-0.5036621,0.08770752,0.22833252,-0.14974366,0.15186767,97.0
35437,-0.39511037,-0.40409088,-0.2323227,0.22833252,-0.14974366,0.15186767,97.0
35438,-0.39511037,-0.40409088,-0.2323227,0.30161133,-0.16354981,0.121069334,97.0
35439,-0.37536573,0.014480591,-0.22852325,0.30161133,-0.16354981,0.121069334,97.0
35440,-0.37536573,0.014480591,-0.22852325,0.23151855,-0.15823975,0.032922365,97.0
35441,-0.33115196,0.45719147,0.017658234,0.23151855,-0.15823975,0.032922365,97.0
35442,-0.33115196,0.45719147,0.017658234,0.06159668,-0.13487549,0.016992187,97.0
35443,-0.29471898,0.55384064,0.22774887,0.06159668,-0.13487549,0.016992187,97.0
35444,-0.29471898,0.55384064,0.22774887,-0.03079834,-0.10407715,0.047790527,97.0
35445,-0.29471898,0.55384064,0.22774887,-0.016992187,-0.09133301,0.093457036,97.0
35446,-0.28485966,0.3469162,0.17995071,-0.016992187,-0.09133301,0.093457036,97.0
35447,-0.23113477,0.13774109,-0.045223236,-0.016992187,-0.09133301,0.093457036,97.0
35448,-0.23113477,0.13774109,-0.045223236,0.07965088,-0.107263185,0.2177124,97.0
35449,-0.16464412,0.005050659,-0.20071793,0.07965088,-0.107263185,0.2177124,97.0
35450,-0.16464412,0.005050659,-0.20071793,0.14974366,-0.14655761,0.23151855,97.0
35451,-0.031300306,-0.084999084,-0.12352753,0.14974366,-0.14655761,0.23151855,97.0
35452,-0.031300306,-0.084999084,-0.12352753,0.18479005,-0.18585205,0.14337158,97.0
35453,0.24624884,-0.16105652,0.13531876,0.18479005,-0.18585205,0.14337158,97.0
35454,0.24624884,-0.16105652,0.13531876,0.11469727,-0.18903808,0.04991455,97.0
35455,0.5672505,-0.2514801,0.38658524,0.11469727,-0.18903808,0.04991455,97.0
