,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
32344,type,type,type,type,type,type,type
32345,0.17969894,0.012664795,-0.048534393,-0.0053100586,0.053100586,0.011682129,101.0
32346,0.17969894,0.012664795,-0.048534393,0.0180542,0.032922365,0.016992187,101.0
32347,0.13840008,0.09952545,-0.029209137,0.0180542,0.032922365,0.016992187,101.0
32348,0.13840008,0.09952545,-0.029209137,0.016992187,0.019116212,0.03079834,101.0
32349,0.10130882,0.11920929,-0.040504456,0.016992187,0.019116212,0.03079834,101.0
32350,0.10130882,0.11920929,-0.040504456,0.009558106,0.028674318,-0.0021240234,101.0
32351,0.09491444,0.082962036,-0.11518097,0.009558106,0.028674318,-0.0021240234,101.0
32352,0.09491444,0.082962036,-0.11518097,0.015930176,0.032922365,0.0063720704,101.0
32353,0.0911541,0.04550934,-0.15621948,0.015930176,0.032922365,0.0063720704,101.0
32354,0.0911541,0.04550934,-0.15621948,0.026550293,0.040356446,0.016992187,101.0
32355,0.05745697,0.009689331,-0.1120491,0.026550293,0.040356446,0.016992187,101.0
32356,0.05745697,0.009689331,-0.1120491,0.022302246,0.038232423,0.022302246,101.0
32357,0.015192032,-0.025436401,-0.038139343,0.022302246,0.038232423,0.022302246,101.0
32358,0.015192032,-0.025436401,-0.038139343,0.012744141,0.040356446,0.02442627,101.0
32359,-0.01841259,-0.044700623,-0.005607605,0.012744141,0.040356446,0.02442627,101.0
32360,-0.01841259,-0.044700623,-0.005607605,0.0063720704,0.04141846,0.020178223,101.0
32361,-0.061605453,-0.07611847,0.012809753,0.0063720704,0.04141846,0.020178223,101.0
32362,-0.061605453,-0.07611847,0.012809753,0.008496094,0.033984374,0.008496094,101.0
32363,-0.07894802,-0.086746216,0.027801514,0.008496094,0.033984374,0.008496094,101.0
32364,-0.07894802,-0.086746216,0.027801514,0.012744141,0.022302246,0.0053100586,101.0
32365,-0.07894802,-0.086746216,0.027801514,0.0010620117,0.0180542,0.0053100586,101.0
32366,-0.04401779,-0.06320953,0.02879715,0.0010620117,0.0180542,0.0053100586,101.0
32367,0.007071495,-0.030960083,0.018470764,0.0010620117,0.0180542,0.0053100586,101.0
