,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
40688,type,type,type,type,type,type,type
40689,0.03740549,0.12517548,0.008579254,-0.025488282,0.043542482,0.0031860352,99.0
40690,0.03740549,0.12517548,0.008579254,-0.21027832,0.10513916,-0.012744141,99.0
40691,0.0040700436,-0.008598328,0.07401276,-0.21027832,0.10513916,-0.012744141,99.0
40692,0.0040700436,-0.008598328,0.07401276,-0.23895264,0.09239502,0.013806152,99.0
40693,0.03778982,-0.18181992,0.13628387,-0.23895264,0.09239502,0.013806152,99.0
40694,0.03778982,-0.18181992,0.13628387,-0.09133301,0.060534667,0.025488282,99.0
40695,0.08130598,-0.18591309,0.051101685,-0.09133301,0.060534667,0.025488282,99.0
40696,0.08130598,-0.18591309,0.051101685,0.06796875,0.019116212,0.045666505,99.0
40697,0.07931471,-0.056591034,-0.0835228,0.06796875,0.019116212,0.045666505,99.0
40698,0.07931471,-0.056591034,-0.0835228,0.081774905,0.039294433,0.04460449,99.0
40699,0.07172823,0.048854828,-0.1590805,0.081774905,0.039294433,0.04460449,99.0
40700,0.07172823,0.048854828,-0.1590805,0.107263185,0.007434082,0.047790527,99.0
40701,0.08653307,0.087337494,-0.17766571,0.107263185,0.007434082,0.047790527,99.0
40702,0.08653307,0.087337494,-0.17766571,0.09133301,-0.0021240234,0.03717041,99.0
40703,0.08653307,0.087337494,-0.17766571,0.04248047,-0.0021240234,0.027612304,99.0
40704,0.07385278,0.07699585,-0.19168091,0.04248047,-0.0021240234,0.027612304,99.0
40705,0.023840666,0.032852173,-0.1891098,0.04248047,-0.0021240234,0.027612304,99.0
40706,0.023840666,0.032852173,-0.1891098,-0.007434082,0.0021240234,0.012744141,99.0
40707,-0.020514965,-0.012573242,-0.15129852,-0.007434082,0.0021240234,0.012744141,99.0
40708,-0.020514965,-0.012573242,-0.15129852,-0.015930176,-0.010620117,0.011682129,99.0
40709,-0.026458263,-0.0095825195,-0.06659317,-0.015930176,-0.010620117,0.011682129,99.0
40710,-0.026458263,-0.0095825195,-0.06659317,-0.028674318,-0.012744141,0.011682129,99.0
40711,-0.018273592,0.026672363,0.03161621,-0.028674318,-0.012744141,0.011682129,99.0
40712,-0.018273592,0.026672363,0.03161621,-0.05522461,-0.007434082,0.014868164,99.0
40713,-0.027802467,0.028270721,0.105579376,-0.05522461,-0.007434082,0.014868164,99.0
40714,-0.027802467,0.028270721,0.105579376,-0.035046387,0.0031860352,0.004248047,99.0
40715,-0.028809547,-0.029411316,0.14370728,-0.035046387,0.0031860352,0.004248047,99.0
40716,-0.028809547,-0.029411316,0.14370728,0.023364259,-0.020178223,0.009558106,99.0
40717,0.0135855675,-0.072761536,0.13785553,0.023364259,-0.020178223,0.009558106,99.0
40718,0.0135855675,-0.072761536,0.13785553,0.1083252,-0.04141846,0.008496094,99.0
40719,0.06595874,-0.046951294,0.070819855,0.1083252,-0.04141846,0.008496094,99.0
40720,0.06595874,-0.046951294,0.070819855,0.18160401,-0.053100586,0.012744141,99.0
40721,0.09139013,0.018211365,-0.041866302,0.18160401,-0.053100586,0.012744141,99.0
40722,0.09139013,0.018211365,-0.041866302,0.21027832,-0.060534667,0.015930176,99.0
40723,0.0697062,0.06098175,-0.1249733,0.21027832,-0.060534667,0.015930176,99.0
40724,0.0697062,0.06098175,-0.1249733,0.13275146,-0.008496094,0.0063720704,99.0
40725,0.0435946,0.043281555,-0.13160706,0.13275146,-0.008496094,0.0063720704,99.0
40726,0.0435946,0.043281555,-0.13160706,0.06903076,0.007434082,0.016992187,99.0
40727,-0.014709473,-0.009662628,-0.04058838,0.06903076,0.007434082,0.016992187,99.0
40728,-0.014709473,-0.009662628,-0.04058838,-0.12956543,0.033984374,0.021240234,99.0
40729,-0.022509575,-0.010158539,0.032165527,-0.12956543,0.033984374,0.021240234,99.0
40730,-0.022509575,-0.010158539,0.032165527,-0.1709839,0.033984374,0.028674318,99.0
40731,-0.030483246,-0.0619812,0.10469818,-0.1709839,0.033984374,0.028674318,99.0
40732,-0.030483246,-0.0619812,0.10469818,-0.18797608,0.039294433,0.04460449,99.0
40733,-0.013266087,-0.049915314,0.07858276,-0.18797608,0.039294433,0.04460449,99.0
40734,-0.013266087,-0.049915314,0.07858276,-0.16248779,0.03186035,0.05522461,99.0
40735,-0.005022049,-0.027870178,-0.073963165,-0.16248779,0.03186035,0.05522461,99.0
40736,-0.005022049,-0.027870178,-0.073963165,-0.21134034,0.070092775,0.08496094,99.0
40737,-8.4376335E-4,-0.01322937,-0.08999252,-0.21134034,0.070092775,0.08496094,99.0
40738,-8.4376335E-4,-0.01322937,-0.08999252,-0.26337892,0.081774905,0.107263185,99.0
40739,-0.012698889,-0.16167068,-0.1262207,-0.26337892,0.081774905,0.107263185,99.0
40740,-0.012698889,-0.16167068,-0.1262207,0.2442627,-0.08071289,0.11151123,99.0
40741,0.0100803375,-0.13191223,-0.14342117,0.2442627,-0.08071289,0.11151123,99.0
40742,0.0100803375,-0.13191223,-0.14342117,0.29948732,-0.16779785,0.12531738,99.0
40743,0.019111633,0.16069031,-0.009342194,0.29948732,-0.16779785,0.12531738,99.0
40744,0.019111633,0.16069031,-0.009342194,-0.07965088,-0.050976563,0.021240234,99.0
40745,0.019111633,0.16069031,-0.009342194,-0.012744141,-0.06903076,0.023364259,99.0
40746,0.011908054,0.15445709,0.032943726,-0.012744141,-0.06903076,0.023364259,99.0
40747,0.031242847,0.057598114,0.11639404,-0.012744141,-0.06903076,0.023364259,99.0
40748,0.031242847,0.057598114,0.11639404,-0.07115479,-0.03717041,-0.03079834,99.0
40749,0.026276112,0.009971619,0.10152435,-0.07115479,-0.03717041,-0.03079834,99.0
40750,0.026276112,0.009971619,0.10152435,-0.026550293,-0.046728518,-0.025488282,99.0
40751,0.048926115,-0.05331421,0.0681839,-0.026550293,-0.046728518,-0.025488282,99.0
40752,0.048926115,-0.05331421,0.0681839,-0.0010620117,-0.06265869,-0.020178223,99.0
40753,0.08735871,-0.038841248,0.03419876,-0.0010620117,-0.06265869,-0.020178223,99.0
40754,0.08735871,-0.038841248,0.03419876,-0.04460449,-0.052038576,-0.020178223,99.0
40755,0.113722324,-0.055057526,0.048915863,-0.04460449,-0.052038576,-0.020178223,99.0
40756,0.113722324,-0.055057526,0.048915863,-0.040356446,-0.04248047,0.008496094,99.0
40757,0.093541384,-0.09906006,0.10726166,-0.040356446,-0.04248047,0.008496094,99.0
40758,0.093541384,-0.09906006,0.10726166,-0.009558106,-0.035046387,0.043542482,99.0
40759,0.052921534,-0.07318115,0.12363815,-0.009558106,-0.035046387,0.043542482,99.0
40760,0.052921534,-0.07318115,0.12363815,-0.0031860352,-0.021240234,0.050976563,99.0
40761,0.03662443,-0.0024032593,0.091243744,-0.0031860352,-0.021240234,0.050976563,99.0
40762,0.03662443,-0.0024032593,0.091243744,-0.0031860352,-0.0021240234,0.040356446,99.0
40763,0.044228792,0.040725708,0.02533722,-0.0031860352,-0.0021240234,0.040356446,99.0
40764,0.044228792,0.040725708,0.02533722,0.009558106,0.014868164,0.03717041,99.0
40765,0.05031228,0.02331543,-0.025699615,0.009558106,0.014868164,0.03717041,99.0
40766,0.05031228,0.02331543,-0.025699615,0.028674318,0.013806152,0.038232423,99.0
40767,0.051468134,-0.0023422241,-0.020767212,0.028674318,0.013806152,0.038232423,99.0
40768,0.051468134,-0.0023422241,-0.020767212,0.03079834,0.015930176,0.040356446,99.0
40769,0.078393936,-0.0124435425,0.009654999,0.03079834,0.015930176,0.040356446,99.0
40770,0.078393936,-0.0124435425,0.009654999,0.03717041,0.028674318,0.052038576,99.0
40771,0.078393936,-0.0124435425,0.009654999,0.03079834,0.06796875,0.0637207,99.0
40772,0.1497879,-0.0051956177,0.0388031,0.03079834,0.06796875,0.0637207,99.0
40773,0.23273325,-0.02432251,0.05895996,0.03079834,0.06796875,0.0637207,99.0
40774,0.23273325,-0.02432251,0.05895996,0.04460449,0.12000733,0.09239502,99.0
40775,0.28579593,-0.08547211,0.09970474,0.04460449,0.12000733,0.09239502,99.0
40776,0.28579593,-0.08547211,0.09970474,0.1274414,0.15930176,0.12850343,99.0
40777,0.35026765,-0.18125534,0.20527649,0.1274414,0.15930176,0.12850343,99.0
40778,0.35026765,-0.18125534,0.20527649,0.19647217,0.2262085,0.20603028,99.0
40779,0.42297554,-0.26552582,0.2902832,0.19647217,0.2262085,0.20603028,99.0
40780,0.42297554,-0.26552582,0.2902832,0.30161133,0.3069214,0.29311523,99.0
40781,0.46215987,-0.24976349,0.29227448,0.30161133,0.3069214,0.29311523,99.0
40782,0.46215987,-0.24976349,0.29227448,0.33028564,0.4078125,0.36108398,99.0
40783,0.45278454,-0.19747925,0.2592125,0.33028564,0.4078125,0.36108398,99.0
40784,0.45278454,-0.19747925,0.2592125,0.42905274,0.4970215,0.42905274,99.0
40785,0.41339946,-0.18104172,0.20151138,0.42905274,0.4970215,0.42905274,99.0
40786,0.41339946,-0.18104172,0.20151138,0.5533081,0.5522461,0.50445557,99.0
40787,0.41339946,-0.18104172,0.20151138,0.5533081,0.5522461,0.50445557,99.0
40788,0.36790228,-0.13291931,0.117385864,0.5533081,0.5522461,0.50445557,99.0
40789,0.36790228,-0.13291931,0.117385864,0.59472656,0.6223389,0.5501221,99.0
40790,0.3571391,-0.098083496,0.011180878,0.59472656,0.6223389,0.5501221,99.0
40791,0.3571391,-0.098083496,0.011180878,0.64995116,0.67331547,0.6064087,99.0
40792,0.3293028,-0.014148712,-0.10209274,0.64995116,0.67331547,0.6064087,99.0
40793,0.3293028,-0.014148712,-0.10209274,0.67225343,0.7072998,0.6244629,99.0
40794,0.2307396,0.12866211,-0.2374382,0.67225343,0.7072998,0.6244629,99.0
40795,0.2307396,0.12866211,-0.2374382,0.66481936,0.72641605,0.59897465,99.0
40796,0.071774244,0.22037506,-0.39411545,0.66481936,0.72641605,0.59897465,99.0
40797,0.071774244,0.22037506,-0.39411545,0.6956177,0.725354,0.56605226,99.0
40798,-0.07020521,0.29031372,-0.54662704,0.6956177,0.725354,0.56605226,99.0
40799,-0.07020521,0.29031372,-0.54662704,0.727478,0.70198977,0.51826173,99.0
40800,-0.14108849,0.39086914,-0.6540756,0.727478,0.70198977,0.51826173,99.0
40801,-0.14108849,0.39086914,-0.6540756,0.6403931,0.68287355,0.4715332,99.0
40802,-0.18496561,0.4447403,-0.68540573,0.6403931,0.68287355,0.4715332,99.0
40803,-0.18496561,0.4447403,-0.68540573,0.58198243,0.64995116,0.40037844,99.0
40804,-0.22477913,0.40279007,-0.67232513,0.58198243,0.64995116,0.40037844,99.0
40805,-0.22477913,0.40279007,-0.67232513,0.58410645,0.5915405,0.33240968,99.0
40806,-0.24272609,0.3569336,-0.63737106,0.58410645,0.5915405,0.33240968,99.0
40807,-0.24272609,0.3569336,-0.63737106,0.5479981,0.54906005,0.25700685,99.0
40808,-0.24078727,0.32968903,-0.5865326,0.5479981,0.54906005,0.25700685,99.0
40809,-0.24078727,0.32968903,-0.5865326,0.49171144,0.4980835,0.20390625,99.0
40810,-0.19736624,0.34932327,-0.54559326,0.49171144,0.4980835,0.20390625,99.0
40811,-0.19736624,0.34932327,-0.54559326,0.33240968,0.4630371,0.17735596,99.0
40812,-0.21300793,0.35151672,-0.437706,0.33240968,0.4630371,0.17735596,99.0
40813,-0.21300793,0.35151672,-0.437706,0.12531738,0.4630371,0.13699952,99.0
40814,-0.26263046,0.24293137,-0.33187866,0.12531738,0.4630371,0.13699952,99.0
40815,-0.26263046,0.24293137,-0.33187866,0.3090454,0.36427003,0.10301514,99.0
40816,-0.20729685,0.2504959,-0.30895996,0.3090454,0.36427003,0.10301514,99.0
40817,-0.20729685,0.2504959,-0.30895996,0.14655761,0.34090576,0.02442627,99.0
40818,-0.12273431,0.32170105,-0.2952652,0.14655761,0.34090576,0.02442627,99.0
40819,-0.12273431,0.32170105,-0.2952652,0.040356446,0.3154175,-0.070092775,99.0
40820,-0.057025433,0.33797455,-0.25888062,0.040356446,0.3154175,-0.070092775,99.0
40821,-0.057025433,0.33797455,-0.25888062,0.020178223,0.25806886,-0.16354981,99.0
40822,-0.032058477,0.28282928,-0.16062164,0.020178223,0.25806886,-0.16354981,99.0
40823,-0.032058477,0.28282928,-0.16062164,-0.06159668,0.24107666,-0.271875,99.0
40824,-0.037878275,0.06299591,-0.024906158,-0.06159668,0.24107666,-0.271875,99.0
40825,-0.037878275,0.06299591,-0.024906158,-0.06478272,0.19328614,-0.33240968,99.0
40826,-0.057780504,-0.15901184,0.075401306,-0.06478272,0.19328614,-0.33240968,99.0
40827,-0.057780504,-0.15901184,0.075401306,-0.05522461,0.1539917,-0.34940186,99.0
40828,-0.11051893,-0.24814606,0.12295532,-0.05522461,0.1539917,-0.34940186,99.0
40829,-0.11051893,-0.24814606,0.12295532,-0.0998291,0.14868164,-0.35046387,99.0
40830,-0.21406198,-0.33898163,0.10089111,-0.0998291,0.14868164,-0.35046387,99.0
40831,-0.21406198,-0.33898163,0.10089111,-0.14974366,0.16567384,-0.3069214,99.0
40832,-0.4174776,-0.48809052,0.011070251,-0.14974366,0.16567384,-0.3069214,99.0
40833,-0.4174776,-0.48809052,0.011070251,-0.18903808,0.16992188,-0.3154175,99.0
40834,-0.6840067,-0.6414108,-0.077316284,-0.18903808,0.16992188,-0.3154175,99.0
40835,-0.6840067,-0.6414108,-0.077316284,-0.1731079,0.14124756,-0.39082032,99.0
40836,-0.7663703,-0.65574265,-0.064502716,-0.1731079,0.14124756,-0.39082032,99.0
40837,-0.7663703,-0.65574265,-0.064502716,-0.16779785,0.10195313,-0.5150757,99.0
40838,-0.5864849,-0.4511795,0.024009705,-0.16779785,0.10195313,-0.5150757,99.0
40839,-0.5864849,-0.4511795,0.024009705,-0.36427003,0.12319336,-0.63933104,99.0
40840,-0.41413426,-0.16984558,0.11022186,-0.36427003,0.12319336,-0.63933104,99.0
40841,-0.41413426,-0.16984558,0.11022186,-0.5586182,0.11363526,-0.73597413,99.0
40842,-0.3752284,0.17438889,0.2212944,-0.5586182,0.11363526,-0.73597413,99.0
40843,-0.3752284,0.17438889,0.2212944,-0.7954468,0.09770508,-0.80181885,99.0
40844,-0.39547086,0.6009598,0.436409,-0.7954468,0.09770508,-0.80181885,99.0
40845,-0.39547086,0.6009598,0.436409,-1.0407715,0.107263185,-0.83898926,99.0
40846,-0.4005685,0.8580742,0.6526413,-1.0407715,0.107263185,-0.83898926,99.0
40847,-0.4005685,0.8580742,0.6526413,-1.0938721,0.10195313,-0.8857178,99.0
40848,-0.36928272,0.73574066,0.72509,-1.0938721,0.10195313,-0.8857178,99.0
40849,-0.36928272,0.73574066,0.72509,-1.0067872,0.0637207,-0.8846558,99.0
40850,-0.35524082,0.41755676,0.6257744,-1.0067872,0.0637207,-0.8846558,99.0
40851,-0.35524082,0.41755676,0.6257744,-0.8421753,-0.009558106,-0.90908206,99.0
40852,-0.38276434,0.24417877,0.44495773,-0.8421753,-0.009558106,-0.90908206,99.0
40853,-0.38276434,0.24417877,0.44495773,-0.7338501,-0.095581055,-0.96430665,99.0
40854,-0.41718578,0.25798798,0.30342865,-0.7338501,-0.095581055,-0.96430665,99.0
40855,-0.41718578,0.25798798,0.30342865,-0.7720825,-0.15080567,-1.0736939,99.0
40856,-0.41991806,0.1744461,0.23145294,-0.7720825,-0.15080567,-1.0736939,99.0
40857,-0.41991806,0.1744461,0.23145294,-0.6573853,-0.25700685,-1.1108643,99.0
40858,-0.4695406,-0.04574585,0.23278046,-0.6573853,-0.25700685,-1.1108643,99.0
40859,-0.4695406,-0.04574585,0.23278046,-0.42905274,-0.4067505,-1.1618408,99.0
40860,-0.44603062,-0.060878754,0.27869034,-0.42905274,-0.4067505,-1.1618408,99.0
40861,-0.44603062,-0.060878754,0.27869034,-0.40037844,-0.51082766,-1.1087402,99.0
40862,-0.25451756,0.26889038,0.4085846,-0.40037844,-0.51082766,-1.1087402,99.0
40863,-0.25451756,0.26889038,0.4085846,-1.0503296,-0.48640138,-1.0981201,99.0
40864,-0.14812088,0.58052063,0.5603256,-1.0503296,-0.48640138,-1.0981201,99.0
40865,-0.14812088,0.58052063,0.5603256,-1.7002808,-0.38869628,-1.0089111,99.0
40866,-0.41730022,0.45362854,0.5860405,-1.7002808,-0.38869628,-1.0089111,99.0
40867,-0.41730022,0.45362854,0.5860405,-1.6907227,-0.53100586,-1.1140503,99.0
40868,-0.8763938,0.0546875,0.6385956,-1.6907227,-0.53100586,-1.1140503,99.0
40869,-0.8763938,0.0546875,0.6385956,-1.6461182,-0.61065674,-1.1979493,99.0
40870,-1.1606731,-0.3234024,0.78001785,-1.6461182,-0.61065674,-1.1979493,99.0
40871,-1.1606731,-0.3234024,0.78001785,-1.7416992,-0.6637573,-1.2287476,99.0
40872,-1.0313582,-0.79782104,0.71561813,-1.7416992,-0.6637573,-1.2287476,99.0
40873,-1.0313582,-0.79782104,0.71561813,-0.57242435,-0.99298096,-1.0949341,99.0
40874,-0.3560071,-0.72356033,0.85866165,-0.57242435,-0.99298096,-1.0949341,99.0
40875,-0.3560071,-0.72356033,0.85866165,-0.5150757,-0.9388184,-1.0577637,99.0
40876,-0.06798458,0.11330414,1.3678627,-0.5150757,-0.9388184,-1.0577637,99.0
40877,-0.06798458,0.11330414,1.3678627,-1.4156617,-0.81031495,-0.7582764,99.0
40878,-0.5596123,0.32901,1.5257225,-1.4156617,-0.81031495,-0.7582764,99.0
40879,-0.5596123,0.32901,1.5257225,-1.4910644,-0.7508423,-1.1820191,99.0
40880,-0.6245942,-0.24118423,1.1671982,-1.4910644,-0.7508423,-1.1820191,99.0
40881,-0.6245942,-0.24118423,1.1671982,-1.1490967,-0.68712157,-1.1682129,99.0
40882,-0.23253632,-0.59835815,0.71443176,-1.1490967,-0.68712157,-1.1682129,99.0
40883,-0.23253632,-0.59835815,0.71443176,-0.9547486,-0.86341554,-1.1575928,99.0
40884,-0.012066841,-0.5272331,0.4773674,-0.9547486,-0.86341554,-1.1575928,99.0
40885,-0.012066841,-0.5272331,0.4773674,-0.9547486,-0.86341554,-1.1575928,100.0
40886,-0.012066841,-0.5272331,0.4773674,-1.0269654,-0.7582764,-1.2160034,100.0
40887,0.1387353,-0.33359146,0.50533295,-1.0269654,-0.7582764,-1.2160034,100.0
40888,0.1387353,-0.33359146,0.50533295,-1.2393677,-0.7104859,-1.3328247,100.0
40889,0.29620552,-0.3546524,0.7256012,-1.2393677,-0.7104859,-1.3328247,100.0
40890,0.29620552,-0.3546524,0.7256012,-1.2563599,-0.6467652,-1.3774292,100.0
40891,0.42979908,-0.61803436,0.8726082,-1.2563599,-0.6467652,-1.3774292,100.0
40892,0.42979908,-0.61803436,0.8726082,-1.2436157,-0.58410645,-1.4528321,100.0
40893,0.54081154,-0.8767166,0.7088623,-1.2436157,-0.58410645,-1.4528321,100.0
40894,0.54081154,-0.8767166,0.7088623,-1.2956543,-0.5299439,-1.5792115,100.0
40895,0.6728349,-0.9749565,0.40594482,-1.2956543,-0.5299439,-1.5792115,100.0
40896,0.6728349,-0.9749565,0.40594482,-1.6046997,-0.4439209,-1.7491333,100.0
40897,0.8814688,-0.9667702,0.24357986,-1.6046997,-0.4439209,-1.7491333,100.0
40898,0.8814688,-0.9667702,0.24357986,-1.9817139,-0.31966552,-2.0167603,100.0
40899,1.1369619,-0.86557007,0.34988022,-1.9817139,-0.31966552,-2.0167603,100.0
40900,1.1369619,-0.86557007,0.34988022,-2.642285,-0.17735596,-2.266333,100.0
40901,1.082665,-0.74461746,0.60596466,-2.642285,-0.17735596,-2.266333,100.0
40902,1.082665,-0.74461746,0.60596466,-3.5641115,-0.033984374,-2.4256349,100.0
40903,0.5286932,-0.76366043,0.72985077,-3.5641115,-0.033984374,-2.4256349,100.0
