,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
45187,type,type,type,type,type,type,type
45188,0.019431591,-0.046295166,-0.08015823,0.014868164,0.021240234,0.012744141,84.0
45189,0.024712801,-0.07312012,-0.109062195,0.014868164,0.021240234,0.012744141,84.0
45190,0.024712801,-0.07312012,-0.109062195,0.016992187,0.025488282,0.011682129,84.0
45191,0.0013375282,-0.022590637,-0.10419464,0.016992187,0.025488282,0.011682129,84.0
45192,0.0013375282,-0.022590637,-0.10419464,-0.0053100586,0.010620117,0.0021240234,84.0
45193,-0.010831833,0.03416443,-0.08528519,-0.0053100586,0.010620117,0.0021240234,84.0
45194,-0.010831833,0.03416443,-0.08528519,-0.053100586,-0.008496094,-0.0063720704,84.0
45195,-0.036692858,0.051231384,-0.07093811,-0.053100586,-0.008496094,-0.0063720704,84.0
45196,-0.036692858,0.051231384,-0.07093811,-0.10620117,-0.026550293,-0.012744141,84.0
45197,-0.037423134,-0.008872986,-0.060302734,-0.10620117,-0.026550293,-0.012744141,84.0
45198,-0.037423134,-0.008872986,-0.060302734,-0.118945315,-0.045666505,-0.0180542,84.0
45199,5.912781E-4,-0.08291626,-0.0419693,-0.118945315,-0.045666505,-0.0180542,84.0
45200,5.912781E-4,-0.08291626,-0.0419693,-0.09133301,-0.035046387,0.0,84.0
45201,0.016281128,-0.072273254,-0.024871826,-0.09133301,-0.035046387,0.0,84.0
45202,0.016281128,-0.072273254,-0.024871826,-0.09239502,-0.013806152,0.021240234,84.0
45203,0.0055909157,-0.03868103,-0.0103645325,-0.09239502,-0.013806152,0.021240234,84.0
45204,0.0055909157,-0.03868103,-0.0103645325,-0.06796875,-0.015930176,0.021240234,84.0
45205,-0.005060911,-0.027198792,0.001461029,-0.06796875,-0.015930176,0.021240234,84.0
45206,-0.005060911,-0.027198792,0.001461029,-0.027612304,-0.0031860352,0.015930176,84.0
45207,-0.013350487,0.011528015,0.011837006,-0.027612304,-0.0031860352,0.015930176,84.0
45208,-0.013350487,0.011528015,0.011837006,-0.02442627,-0.0031860352,0.011682129,84.0
45209,-0.03106618,0.06439972,0.030342102,-0.02442627,-0.0031860352,0.011682129,84.0
45210,-0.03106618,0.06439972,0.030342102,-0.047790527,-0.011682129,0.007434082,84.0
45211,-0.034655094,0.05104065,0.023990631,-0.047790527,-0.011682129,0.007434082,84.0
45212,-0.034655094,0.05104065,0.023990631,-0.045666505,-0.022302246,-0.0031860352,84.0
45213,-0.0030536652,-0.007217407,0.016078949,-0.045666505,-0.022302246,-0.0031860352,84.0
45214,-0.0030536652,-0.007217407,0.016078949,-0.027612304,-0.015930176,0.0,84.0
45215,0.034873962,-0.019615173,0.0072021484,-0.027612304,-0.015930176,0.0,84.0
45216,0.034873962,-0.019615173,0.0072021484,-0.04248047,-0.0063720704,0.004248047,84.0
45217,0.026007175,-0.004890442,-0.0056266785,-0.04248047,-0.0063720704,0.004248047,84.0
45218,0.026007175,-0.004890442,-0.0056266785,-0.060534667,-0.0180542,0.0053100586,84.0
45219,0.021306276,-0.034233093,-0.010189056,-0.060534667,-0.0180542,0.0053100586,84.0
45220,0.021306276,-0.034233093,-0.010189056,-0.06584473,-0.022302246,0.0063720704,84.0
45221,0.044486523,-0.09365845,-0.012828827,-0.06584473,-0.022302246,0.0063720704,84.0
