,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
33280,type,type,type,type,type,type,type
33281,0.009669304,-0.05114746,0.030952454,-0.038232423,-0.014868164,0.0,106.0
33282,0.009669304,-0.05114746,0.030952454,-0.027612304,-0.03079834,0.057348635,106.0
33283,0.06814861,0.13690186,0.027824402,-0.027612304,-0.03079834,0.057348635,106.0
33284,0.06814861,0.13690186,0.027824402,-0.18479005,0.10407715,0.032922365,106.0
33285,0.045656204,0.049964905,0.019699097,-0.18479005,0.10407715,0.032922365,106.0
33286,0.045656204,0.049964905,0.019699097,-0.15930176,0.06478272,-0.0010620117,106.0
33287,0.045656204,0.049964905,0.019699097,-0.09451904,0.070092775,-0.012744141,106.0
33288,0.026417732,-0.18195343,-0.022777557,-0.09451904,0.070092775,-0.012744141,106.0
33289,0.019449234,-0.20870972,-0.072029114,-0.09451904,0.070092775,-0.012744141,106.0
33290,0.019449234,-0.20870972,-0.072029114,-0.08496094,0.03717041,-0.0031860352,106.0
33291,0.018232346,-0.1400299,-0.13667679,-0.08496094,0.03717041,-0.0031860352,106.0
33292,0.018232346,-0.1400299,-0.13667679,-0.02442627,0.011682129,-0.0031860352,106.0
33293,0.0118637085,-0.07613373,-0.18419647,-0.02442627,0.011682129,-0.0031860352,106.0
33294,0.0118637085,-0.07613373,-0.18419647,0.008496094,0.012744141,-0.022302246,106.0
33295,0.0118637085,-0.07613373,-0.18419647,0.004248047,0.009558106,-0.027612304,106.0
33296,-0.016839981,-0.014091492,-0.13037872,0.004248047,0.009558106,-0.027612304,106.0
33297,-0.016839981,-0.014091492,-0.13037872,0.007434082,-0.007434082,-0.021240234,106.0
33298,-0.02229786,0.023628235,0.0050811768,0.007434082,-0.007434082,-0.021240234,106.0
33299,0.008980751,0.044929504,0.103149414,0.007434082,-0.007434082,-0.021240234,106.0
33300,0.008980751,0.044929504,0.103149414,-0.009558106,0.007434082,-0.011682129,106.0
33301,0.015631676,0.056610107,0.13294601,-0.009558106,0.007434082,-0.011682129,106.0
