,accx,accy,accz,gyrox,gyroy,gyroz,heart rate
31554,type,type,type,type,type,type,type
31555,0.08223558,0.09028416,0.123047635,-0.2793091,0.0361084,-0.028674318,102.0
31556,0.08223558,0.09028416,0.123047635,-0.016992187,-0.029736329,-0.008496094,102.0
31557,-0.016462512,0.0035261572,0.16268371,-0.016992187,-0.029736329,-0.008496094,102.0
31558,-0.016462512,0.0035261572,0.16268371,-0.06265869,0.019116212,-0.028674318,102.0
31559,-0.07115341,0.025159793,0.16476612,-0.06265869,0.019116212,-0.028674318,102.0
31560,-0.07115341,0.025159793,0.16476612,0.013806152,0.016992187,-0.025488282,102.0
31561,-0.084193245,0.066246,0.11947158,0.013806152,0.016992187,-0.025488282,102.0
31562,-0.084193245,0.066246,0.11947158,-0.06265869,0.04141846,-0.038232423,102.0
31563,-0.07804796,0.07631223,0.08240588,-0.06265869,0.04141846,-0.038232423,102.0
31564,-0.07804796,0.07631223,0.08240588,-0.0541626,0.029736329,-0.046728518,102.0
31565,-0.05978945,0.012209449,0.023602925,-0.0541626,0.029736329,-0.046728518,102.0
31566,-0.05978945,0.012209449,0.023602925,-0.0063720704,0.016992187,-0.050976563,102.0
31567,-0.011588886,-0.040183615,-0.015541486,-0.0063720704,0.016992187,-0.050976563,102.0
31568,-0.011588886,-0.040183615,-0.015541486,-0.0021240234,0.020178223,-0.04141846,102.0
31569,-0.011588886,-0.040183615,-0.015541486,-0.0021240234,0.020178223,-0.04141846,101.0
31570,-0.011588886,-0.040183615,-0.015541486,-0.0031860352,0.016992187,-0.023364259,101.0
31571,0.025616586,-0.05880705,-0.016290613,-0.0031860352,0.016992187,-0.023364259,101.0
31572,0.038840443,-0.062072493,-0.032234155,-0.0031860352,0.016992187,-0.023364259,101.0
31573,0.038840443,-0.062072493,-0.032234155,-0.0053100586,0.014868164,-0.009558106,101.0
31574,0.012664154,-0.055712685,-0.05593869,-0.0053100586,0.014868164,-0.009558106,101.0
31575,0.012664154,-0.055712685,-0.05593869,0.010620117,0.0,-0.009558106,101.0
31576,-0.019531757,-0.020729816,-0.05944822,0.010620117,0.0,-0.009558106,101.0
31577,-0.019531757,-0.020729816,-0.05944822,0.011682129,-0.007434082,-0.004248047,101.0
31578,-0.019531757,-0.020729816,-0.05944822,-0.0053100586,-0.0063720704,-0.0010620117,101.0
31579,-0.014795318,0.020525523,-0.06645506,-0.0053100586,-0.0063720704,-0.0010620117,101.0
31580,0.004521176,0.027785165,-0.07611327,-0.0053100586,-0.0063720704,-0.0010620117,101.0
31581,0.004521176,0.027785165,-0.07611327,-0.0180542,-0.009558106,-0.011682129,101.0
31582,0.017764881,-0.012366595,-0.053212393,-0.0180542,-0.009558106,-0.011682129,101.0
31583,0.017764881,-0.012366595,-0.053212393,-0.0031860352,-0.014868164,-0.009558106,101.0
31584,0.0348662,-0.05199533,-0.019596282,-0.0031860352,-0.014868164,-0.009558106,101.0
31585,0.0348662,-0.05199533,-0.019596282,-0.0063720704,-0.0180542,-0.0063720704,101.0
31586,0.052258193,-0.04802937,-0.008291772,-0.0063720704,-0.0180542,-0.0063720704,101.0
31587,0.052258193,-0.04802937,-0.008291772,-0.025488282,-0.013806152,-0.0063720704,101.0
31588,0.03501945,-0.027669102,-0.0034717955,-0.025488282,-0.013806152,-0.0063720704,101.0
31589,0.03501945,-0.027669102,-0.0034717955,-0.025488282,-0.019116212,-0.0010620117,101.0
31590,0.0017582327,-0.014469266,0.027850006,-0.025488282,-0.019116212,-0.0010620117,101.0
31591,0.0017582327,-0.014469266,0.027850006,0.0,-0.021240234,-0.008496094,101.0
31592,-9.6157193E-4,-0.0027741417,0.045009498,0.0,-0.021240234,-0.008496094,101.0
31593,-9.6157193E-4,-0.0027741417,0.045009498,-0.02442627,-0.013806152,-0.0031860352,101.0
31594,0.008996367,-0.0023657978,0.05437918,-0.02442627,-0.013806152,-0.0031860352,101.0
31595,0.008996367,-0.0023657978,0.05437918,-0.03717041,-0.010620117,-0.0053100586,101.0
31596,0.008996367,-0.0023657978,0.05437918,-0.012744141,-0.013806152,-0.004248047,101.0
31597,0.012897775,-3.42343E-4,0.054660574,-0.012744141,-0.013806152,-0.004248047,101.0
31598,0.008438341,0.030377984,0.051394477,-0.012744141,-0.013806152,-0.004248047,101.0
31599,0.008438341,0.030377984,0.051394477,-0.019116212,-0.012744141,-0.0063720704,101.0
31600,-0.006542787,0.06211977,0.02890855,-0.019116212,-0.012744141,-0.0063720704,101.0
31601,-0.006542787,0.06211977,0.02890855,-0.032922365,-0.010620117,-0.007434082,101.0
31602,-0.022592634,0.05525002,0.0112738125,-0.032922365,-0.010620117,-0.007434082,101.0
31603,-0.022592634,0.05525002,0.0112738125,-0.019116212,-0.015930176,-0.011682129,101.0
31604,-0.022592634,0.05525002,0.0112738125,-0.020178223,-0.015930176,-0.014868164,101.0
31605,-0.024287485,0.04118488,0.008835945,-0.020178223,-0.015930176,-0.014868164,101.0
31606,-0.029867,0.030750636,0.006726958,-0.020178223,-0.015930176,-0.014868164,101.0
31607,-0.029867,0.030750636,0.006726958,-0.0180542,-0.020178223,-0.0180542,101.0
31608,-0.026273973,0.021585373,0.020530492,-0.0180542,-0.020178223,-0.0180542,101.0
31609,-0.026273973,0.021585373,0.020530492,-0.020178223,-0.015930176,-0.02442627,101.0
31610,0.0025648028,0.025276111,0.05003035,-0.020178223,-0.015930176,-0.02442627,101.0
31611,0.0025648028,0.025276111,0.05003035,-0.04248047,-0.0010620117,-0.03186035,101.0
31612,0.03338729,0.001678409,0.053622916,-0.04248047,-0.0010620117,-0.03186035,101.0
31613,0.03338729,0.001678409,0.053622916,-0.06903076,0.008496094,-0.035046387,101.0
31614,0.043824084,-0.03806157,0.0185453,-0.06903076,0.008496094,-0.035046387,101.0
31615,0.043824084,-0.03806157,0.0185453,-0.040356446,0.007434082,-0.038232423,101.0
31616,0.021692567,-0.051384315,-0.020051457,-0.040356446,0.007434082,-0.038232423,101.0
31617,0.021692567,-0.051384315,-0.020051457,-0.023364259,0.013806152,-0.04141846,101.0
31618,0.0017656684,-0.036029328,-0.036243804,-0.023364259,0.013806152,-0.04141846,101.0
31619,0.0017656684,-0.036029328,-0.036243804,-0.046728518,0.0180542,-0.0361084,101.0
31620,-0.0023838505,-0.032522194,-0.030581959,-0.046728518,0.0180542,-0.0361084,101.0
31621,-0.0023838505,-0.032522194,-0.030581959,-0.0637207,0.021240234,-0.035046387,101.0
31622,-0.0023838505,-0.032522194,-0.030581959,-0.009558106,0.0010620117,-0.029736329,101.0
31623,-0.004311867,-0.038883965,-0.028799064,-0.009558106,0.0010620117,-0.029736329,101.0
31624,-0.018354274,-0.023441156,-0.026872262,-0.009558106,0.0010620117,-0.029736329,101.0
31625,-0.018354274,-0.023441156,-0.026872262,-0.0180542,-0.0021240234,-0.022302246,101.0
